WV,Cap,Case size,tanδ,ESR 20℃@100kHz,ESR -40℃@100kHz,Rated ripple current 125℃@100kHz,Rated ripple current 135℃@100kHz,Part No.
63,2200,18 × 35,0.12,0.022,0.12,5220,3690,EGPD630E□□222MM35H
63,2400,18 × 40,0.12,0.021,0.11,5660,3820,EGPD630E□□242MM40H
80,270,12.5 × 20,0.08,0.072,0.56,1640,1420,EGPD800E□□271MK20H
80,390,12.5 × 25,0.08,0.052,0.39,2520,2050,EGPD800E□□391MK25H
80,470,16 × 20,0.08,0.053,0.34,2140,1910,EGPD800E□□471ML20H
80,510,12.5 × 30,0.08,0.042,0.3,3110,2630,EGPD800E□□511MK30H
80,620,12.5 × 35,0.08,0.035,0.25,3760,2970,EGPD800E□□621MK35H
80,620,18 × 20,0.08,0.044,0.26,2350,2100,EGPD800E□□621MM20H
80,680,16 × 25,0.08,0.038,0.23,2940,2680,EGPD800E□□681ML25H
80,750,12.5 × 40,0.08,0.031,0.22,4610,3260,EGPD800E□□751MK40H
80,750,16 × 30,0.08,0.034,0.2,3860,3050,EGPD800E□□751ML30H
80,820,18 × 25,0.08,0.033,0.19,3080,2810,EGPD800E□□821MM25H
80,1000,16 × 35,0.08,0.027,0.15,4590,3420,EGPD800E□□102ML35H
80,1100,18 × 30,0.08,0.028,0.15,4080,3220,EGPD800E□□112MM30H
80,1300,16 × 40,0.08,0.025,0.14,5190,3670,EGPD800E□□132ML40H
80,1300,18 × 35,0.08,0.022,0.12,5220,3690,EGPD800E□□132MM35H
80,1600,18 × 40,0.08,0.021,0.11,5660,3820,EGPD800E□□162MM40H
100,160,12.5 × 20,0.08,0.09,0.75,1580,1410,EGPD101E□□161MK20H
100,220,12.5 × 25,0.08,0.068,0.55,2140,1960,EGPD101E□□221MK25H
100,270,16 × 20,0.08,0.067,0.47,2050,1670,EGPD101E□□271ML20H
100,300,12.5 × 30,0.08,0.052,0.41,2950,2330,EGPD101E□□301MK30H
100,360,12.5 × 35,0.08,0.045,0.35,3530,2630,EGPD101E□□361MK35H
100,360,18 × 20,0.08,0.061,0.35,2270,1860,EGPD101E□□361MM20H
100,390,16 × 25,0.08,0.048,0.33,2790,2360,EGPD101E□□391ML25H
100,430,12.5 × 40,0.08,0.038,0.29,4140,2920,EGPD101E□□431MK40H
100,470,16 × 30,0.08,0.041,0.27,3440,2720,EGPD101E□□471ML30H
100,510,18 × 25,0.08,0.045,0.25,2920,2470,EGPD101E□□511MM25H
100,560,16 × 35,0.08,0.036,0.23,4190,2960,EGPD101E□□561ML35H
100,620,18 × 30,0.08,0.037,0.2,3920,2920,EGPD101E□□621MM30H
100,750,16 × 40,0.08,0.028,0.18,5020,3380,EGPD101E□□751ML40H
100,820,18 × 35,0.08,0.03,0.16,4710,3330,EGPD101E□□821MM35H
100,910,18 × 40,0.08,0.026,0.14,5280,3560,EGPD101E□□911MM40H
