Capacitance(µF),WV(Vdc),120Hz,1kHz,10kHz,100kHz
6.8 to 82,160 to 450,1.0,1.75,2.25,2.5
100 to 680,160 to 450,1.0,1.67,2.05,2.25
6.8 to 22,500,1.0,1.78,2.3,2.59
27 to 39,500,1.0,1.75,2.25,2.5
