WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -40℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
25,1700,12.5 × 20,0.2,0.057,0.29,1700,ELBG250E □□ 172AK20S
25,2400,12.5 × 25,0.22,0.045,0.23,2000,ELBG250E □□ 242AK25S
25,2400,14.5 × 20,0.22,0.051,0.26,2000,ELBG250E □□ 242AU20S
25,2800,12.5 × 30,0.22,0.039,0.2,2300,ELBG250E □□ 282AK30S
25,3000,16 × 20,0.24,0.044,0.22,2250,ELBG250E □□ 302AL20S
25,3400,14.5 × 25,0.24,0.041,0.21,2400,ELBG250E □□ 342AU25S
25,3500,12.5 × 35,0.24,0.033,0.17,2700,ELBG250E □□ 352AK35S
25,4200,16 × 25,0.26,0.033,0.17,2600,ELBG250E □□ 422AL25S
25,4200,18 × 20,0.26,0.042,0.21,2500,ELBG250E □□ 422AM20S
25,4500,12.5 × 40,0.26,0.027,0.14,3100,ELBG250E □□ 452AK40S
25,4600,14.5 × 31.5,0.26,0.032,0.16,2700,ELBG250E □□ 462AUN3S
25,5400,14.5 × 35.5,0.28,0.028,0.14,3100,ELBG250E □□ 542AUP1S
25,5600,16 × 31.5,0.28,0.026,0.13,3200,ELBG250E □□ 562ALN3S
25,6000,18 × 25,0.3,0.03,0.15,2800,ELBG250E □□ 602AM25S
25,6400,14.5 × 40,0.3,0.025,0.13,3400,ELBG250E □□ 642AU40S
25,6600,16 × 35.5,0.3,0.023,0.12,3500,ELBG250E □□ 662ALP1S
25,7800,16 × 40,0.32,0.021,0.11,3800,ELBG250E □□ 782AL40S
25,7900,18 × 31.5,0.32,0.024,0.12,3500,ELBG250E □□ 792AMN3S
25,9200,18 × 35.5,0.36,0.022,0.11,3700,ELBG250E □□ 922AMP1S
25,11000,18 × 40,0.4,0.02,0.1,4000,ELBG250E □□ 113AM40S
35,1000,12.5 × 20,0.16,0.057,0.29,1700,ELBG350E □□ 102AK20S
35,1400,12.5 × 25,0.16,0.045,0.23,2000,ELBG350E □□ 142AK25S
35,1400,14.5 × 20,0.16,0.051,0.26,2000,ELBG350E □□ 142AU20S
35,1600,12.5 × 30,0.16,0.039,0.2,2300,ELBG350E □□ 162AK30S
35,1800,16 × 20,0.16,0.044,0.22,2250,ELBG350E □□ 182AL20S
35,2000,14.5 × 25,0.18,0.041,0.21,2400,ELBG350E □□ 202AU25S
35,2100,12.5 × 35,0.18,0.033,0.17,2700,ELBG350E □□ 212AK35S
35,2500,16 × 25,0.18,0.033,0.17,2600,ELBG350E □□ 252AL25S
35,2500,18 × 20,0.18,0.042,0.21,2500,ELBG350E □□ 252AM20S
35,2700,12.5 × 40,0.18,0.027,0.14,3100,ELBG350E □□ 272AK40S
35,2800,14.5 × 31.5,0.18,0.032,0.16,2700,ELBG350E □□ 282AUN3S
35,3200,14.5 × 35.5,0.2,0.028,0.14,3100,ELBG350E □□ 322AUP1S
35,3400,16 × 31.5,0.2,0.026,0.13,3200,ELBG350E □□ 342ALN3S
35,3600,18 × 25,0.2,0.03,0.15,2800,ELBG350E □□ 362AM25S
35,3800,14.5 × 40,0.2,0.025,0.13,3400,ELBG350E □□ 382AU40S
35,4000,16 × 35.5,0.22,0.023,0.12,3500,ELBG350E □□ 402ALP1S
35,4700,16 × 40,0.22,0.021,0.11,3800,ELBG350E □□ 472AL40S
35,4800,18 × 31.5,0.22,0.024,0.12,3500,ELBG350E □□ 482AMN3S
35,5600,18 × 35.5,0.24,0.022,0.11,3700,ELBG350E □□ 562AMP1S
35,6700,18 × 40,0.26,0.02,0.1,4000,ELBG350E □□ 672AM40S
