Rated voltage (Vdc),Case size φD (mm),120Hz,1kHz,10kHz,100kHz
6.3 & 10,5 to 8,0.65,0.83,0.95,1.0
6.3 & 10,10 & 12.5,0.7,0.85,0.96,1.0
6.3 & 10,16 & 18,0.85,0.92,0.97,1.0
16 & 25,5 to 8,0.55,0.76,0.91,1.0
16 & 25,10 & 12.5,0.65,0.83,0.93,1.0
16 & 25,16 & 18,0.7,0.87,0.96,1.0
35 & 50,5 to 8,0.4,0.66,0.85,1.0
35 & 50,10 & 12.5,0.5,0.73,0.89,1.0
35 & 50,16 & 18,0.6,0.81,0.94,1.0
63 to 100,5 to 8,0.2,0.55,0.8,1.0
63 to 100,10 & 12.5,0.35,0.65,0.85,1.0
63 to 100,16 & 18,0.5,0.75,0.9,1.0
