WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
400,56,16×20,0.3,450,EKXQ401E□□560ML20S
400,68,18×20,0.3,530,EKXQ401E□□680MM20S
400,75,16×25,0.3,580,EKXQ401E□□750ML25S
400,100,16×31.5,0.3,730,EKXQ401E□□101MLN3S
400,100,18×25,0.3,660,EKXQ401E□□101MM25S
400,120,16×35.5,0.3,830,EKXQ401E□□121MLP1S
400,130,16×40,0.3,910,EKXQ401E□□131ML40S
400,130,18×31.5,0.3,860,EKXQ401E□□131MMN3S
400,160,18×35.5,0.3,980,EKXQ401E□□161MMP1S
400,180,18×40,0.3,1020,EKXQ401E□□181MM40S
400,180,18×45,0.3,1080,EKXQ401E□□181MM45S
420,51,16×20,0.3,400,EKXQ421E□□510ML20S
420,68,16×25,0.3,510,EKXQ421E□□680ML25S
420,68,18×20,0.3,510,EKXQ421E□□680MM20S
420,91,16×31.5,0.3,650,EKXQ421E□□910MLN3S
420,91,18×25,0.3,640,EKXQ421E□□910MM25S
420,110,16×35.5,0.3,750,EKXQ421E□□111MLP1S
420,120,18×31.5,0.3,800,EKXQ421E□□121MMN3S
420,130,16×40,0.3,860,EKXQ421E□□131ML40S
420,150,18×35.5,0.3,920,EKXQ421E□□151MMP1S
420,160,18×40,0.3,980,EKXQ421E□□161MM40S
420,180,18×45,0.3,1000,EKXQ421E□□181MM45S
450,47,16×20,0.3,400,EKXQ451E□□470ML20S
450,62,16×25,0.3,510,EKXQ451E□□620ML25S
450,62,18×20,0.3,510,EKXQ451E□□620MM20S
450,82,16×31.5,0.3,650,EKXQ451E□□820MLN3S
450,82,18×25,0.3,640,EKXQ451E□□820MM25S
450,100,16×35.5,0.3,750,EKXQ451E□□101MLP1S
450,110,18×31.5,0.3,800,EKXQ451E□□111MMN3S
450,120,16×40,0.3,860,EKXQ451E□□121ML40S
450,130,18×35.5,0.3,920,EKXQ451E□□131MMP1S
450,160,18×40,0.3,980,EKXQ451E□□161MM40S
450,180,18×45,0.3,1000,EKXQ451E□□181MM45S
