Capacitance(µF),120Hz,1kHz,10kHz,100kHz
430 to 560,0.5,0.85,0.94,1.0
"750 to 2,000",0.6,0.87,0.95,1.0
"2,700 to 3,900",0.75,0.9,0.95,1.0
"5,100",0.85,0.95,0.98,1.0
