WV(Vdc),Cap(μF),Case size φDxL(mm),ESR(Ωmax./100kHz) 20℃,ESR(Ωmax./100kHz) -40℃,Rated ripple current(mArms/125℃ 100kHz),Part No.
63,1300,16×35,0.031,0.17,3220,EGXF630E□□132ML35S
63,1500,18×30,0.037,0.18,3100,EGXF630E□□152MM30S
63,1800,16×40,0.028,0.15,3590,EGXF630E□□182ML40S
63,2000,18×35,0.028,0.13,3450,EGXF630E□□202MM35S
63,2400,18×40,0.023,0.10,3690,EGXF630E□□242MM40S
80,240,12.5×20,0.097,0.75,1310,EGXF800E□□241MK20S
80,330,12.5×25,0.072,0.55,1880,EGXF800E□□331MK25S
80,330,14.5×20,0.072,0.59,1510,EGXF800E□□331MU20S
80,390,16×20,0.062,0.39,1630,EGXF800E□□391ML20S
80,430,12.5×30,0.052,0.37,2410,EGXF800E□□431MK30S
80,470,14.5×25,0.054,0.40,2130,EGXF800E□□471MU25S
80,560,12.5×35,0.044,0.29,2760,EGXF800E□□561MK35S
80,560,16×25,0.047,0.27,2300,EGXF800E□□561ML25S
80,560,18×20,0.055,0.29,1750,EGXF800E□□561MM20S
80,620,12.5×40,0.038,0.26,3080,EGXF800E□□621MK40S
80,620,14.5×30,0.042,0.30,2700,EGXF800E□□621MU30S
80,680,14.5×35,0.037,0.24,2940,EGXF800E□□681MU35S
80,680,16×30,0.037,0.23,2940,EGXF800E□□681ML30S
80,750,18×25,0.044,0.22,2440,EGXF800E□□751MM25S
80,820,14.5×40,0.032,0.20,3350,EGXF800E□□821MU40S
80,910,16×35,0.031,0.17,3220,EGXF800E□□911ML35S
80,910,18×30,0.037,0.18,3100,EGXF800E□□911MM30S
80,1100,16×40,0.028,0.15,3590,EGXF800E□□112ML40S
80,1300,18×35,0.028,0.13,3450,EGXF800E□□132MM35S
80,1500,18×40,0.023,0.10,3690,EGXF800E□□152MM40S
100,130,12.5×20,0.12,0.94,1210,EGXF101E□□131MK20S
100,180,14.5×20,0.082,0.69,1450,EGXF101E□□181MU20S
100,200,12.5×25,0.082,0.70,1800,EGXF101E□□201MK25S
100,240,12.5×30,0.062,0.52,2290,EGXF101E□□241MK30S
100,240,16×20,0.071,0.53,1580,EGXF101E□□241ML20S
