WV (Vdc),Cap (μF),Case size φD×L (mm),tanδ,ESR (Ω max./100kHz) 20℃,ESR (Ω max./100kHz) -40℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
25,4400,16 × 20,0.26,0.03,0.095,2000,ELBV250E□□442AL20S
25,5700,18 × 20,0.28,0.028,0.08,2100,ELBV250E□□572AM20S
25,6200,16 × 25,0.3,0.024,0.073,2300,ELBV250E□□622AL25S
25,8100,18 × 25,0.34,0.022,0.06,2400,ELBV250E□□812AM25S
25,8500,16 × 31.5,0.34,0.02,0.065,2550,ELBV250E□□852ALN3S
25,9900,16 × 35.5,0.36,0.018,0.055,2700,ELBV250E□□992ALP1S
25,11000,16 × 40,0.4,0.016,0.05,2900,ELBV250E□□113AL40S
25,11000,18 × 31.5,0.4,0.018,0.045,2700,ELBV250E□□113AMN3S
25,12000,18 × 35.5,0.42,0.016,0.04,2900,ELBV250E□□123AMP1S
25,15000,18 × 40,0.48,0.015,0.035,3100,ELBV250E□□153AM40S
35,3000,16 × 20,0.2,0.03,0.095,2000,ELBV350E□□302AL20S
35,4000,18 × 20,0.22,0.028,0.08,2100,ELBV350E□□402AM20S
35,4300,16 × 25,0.22,0.024,0.073,2300,ELBV350E□□432AL25S
35,5600,18 × 25,0.24,0.022,0.06,2400,ELBV350E□□562AM25S
35,5900,16 × 31.5,0.24,0.02,0.065,2550,ELBV350E□□592ALN3S
35,6900,16 × 35.5,0.26,0.018,0.055,2700,ELBV350E□□692ALP1S
35,7600,18 × 31.5,0.28,0.018,0.045,2700,ELBV350E□□762AMN3S
35,8200,16 × 40,0.3,0.016,0.05,2900,ELBV350E□□822AL40S
35,9000,18 × 35.5,0.32,0.016,0.04,2900,ELBV350E□□902AMP1S
35,10000,18 × 40,0.34,0.015,0.035,3100,ELBV350E□□103AM40S
