WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
200,82,10×30,0.12,440,EPAG201E□□820MJ30S
200,100,10×35,0.12,510,EPAG201E□□101MJ35S
200,120,10×40,0.12,590,EPAG201E□□121MJ40S
200,150,12.5×30,0.12,650,EPAG201E□□151MK30S
200,180,12.5×35,0.12,750,EPAG201E□□181MK35S
200,220,12.5×40,0.12,830,EPAG201E□□221MK40S
200,220,14.5×30,0.12,830,EPAG201E□□221MU30S
200,270,14.5×35,0.12,960,EPAG201E□□271MU35S
200,270,16×30,0.12,960,EPAG201E□□271ML30S
200,330,16×35,0.12,1100,EPAG201E□□331ML35S
200,330,18×30,0.12,1100,EPAG201E□□331MM30S
200,390,16×40,0.12,1240,EPAG201E□□391ML40S
200,390,18×35,0.12,1240,EPAG201E□□391MM35S
200,470,18×40,0.12,1390,EPAG201E□□471MM40S
200,560,18×45,0.12,1560,EPAG201E□□561MM45S
400,27,10×30,0.15,260,EPAG401E□□270MJ30S
400,33,10×35,0.15,300,EPAG401E□□330MJ35S
400,39,10×40,0.15,340,EPAG401E□□390MJ40S
400,47,12.5×30,0.15,370,EPAG401E□□470MK30S
400,56,12.5×35,0.15,420,EPAG401E□□560MK35S
400,68,12.5×40,0.15,480,EPAG401E□□680MK40S
400,68,14.5×30,0.15,480,EPAG401E□□680MU30S
400,82,14.5×35,0.15,530,EPAG401E□□820MU35S
400,100,14.5×40,0.15,580,EPAG401E□□101MU40S
400,100,16×30,0.15,580,EPAG401E□□101ML30S
400,120,16×35,0.15,670,EPAG401E□□121ML35S
400,120,18×30,0.15,670,EPAG401E□□121MM30S
400,150,16×40,0.15,770,EPAG401E□□151ML40S
400,150,18×35,0.15,770,EPAG401E□□151MM35S
400,180,18×40,0.15,880,EPAG401E□□181MM40S
400,220,18×45,0.15,1000,EPAG401E□□221MM45S
420,22,10×30,0.2,230,EPAG421E□□220MJ30S
420,27,10×35,0.2,270,EPAG421E□□270MJ35S
420,33,10×40,0.2,310,EPAG421E□□330MJ40S
420,39,12.5×30,0.2,330,EPAG421E□□390MK30S
420,47,12.5×35,0.2,390,EPAG421E□□470MK35S
420,56,12.5×40,0.2,430,EPAG421E□□560MK40S
420,56,14.5×30,0.2,430,EPAG421E□□560MU30S
420,68,14.5×35,0.2,510,EPAG421E□□680MU35S
420,68,16×30,0.2,510,EPAG421E□□680ML30S
420,82,14.5×40,0.2,570,EPAG421E□□820MU40S
420,82,16×35,0.2,570,EPAG421E□□820ML35S
420,100,16×40,0.2,610,EPAG421E□□101ML40S
420,100,18×30,0.2,610,EPAG421E□□101MM30S
420,120,18×35,0.2,690,EPAG421E□□121MM35S
420,150,18×40,0.2,790,EPAG421E□□151MM40S
450,18,10×30,0.2,210,EPAG451E□□180MJ30S
450,22,10×35,0.2,240,EPAG451E□□220MJ35S
450,27,10×40,0.2,280,EPAG451E□□270MJ40S
450,33,12.5×30,0.2,310,EPAG451E□□330MK30S
450,39,12.5×35,0.2,350,EPAG451E□□390MK35S
450,47,12.5×40,0.2,390,EPAG451E□□470MK40S
450,47,14.5×30,0.2,390,EPAG451E□□470MU30S
450,56,14.5×35,0.2,440,EPAG451E□□560MU35S
450,56,16×30,0.2,440,EPAG451E□□560ML30S
450,68,14.5×40,0.2,500,EPAG451E□□680MU40S
450,68,16×35,0.2,500,EPAG451E□□680ML35S
450,82,16×40,0.2,550,EPAG451E□□820ML40S
450,82,18×30,0.2,550,EPAG451E□□820MM30S
450,100,18×35,0.2,650,EPAG451E□□101MM35S
450,120,18×40,0.2,740,EPAG451E□□121MM40S
450,150,18×45,0.2,810,EPAG451E□□151MM45S
