WV,Cap,Case size,Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
35.0,1800.0,16×20,0.025,0.1,2610,EKYB350E□□182ML20S
35.0,2200.0,12.5×35,0.018,0.072,3140,EKYB350E□□222MK35S
35.0,2200.0,18×20,0.021,0.084,3000,EKYB350E□□222MM20S
35.0,2700.0,12.5×40,0.017,0.068,3640,EKYB350E□□272MK40S
35.0,2700.0,16×25,0.02,0.08,3140,EKYB350E□□272ML25S
35.0,3300.0,16×31.5,0.016,0.064,3610,EKYB350E□□332MLN3S
35.0,3300.0,18×25,0.017,0.068,3530,EKYB350E□□332MM25S
35.0,3900.0,16×35.5,0.014,0.056,4080,EKYB350E□□392MLP1S
35.0,4700.0,16×40,0.013,0.052,4220,EKYB350E□□472ML40S
35.0,4700.0,18×31.5,0.014,0.056,4220,EKYB350E□□472MMN3S
35.0,5600.0,18×35.5,0.012,0.048,4280,EKYB350E□□562MMP1S
50.0,27.0,5×11,0.48,2.0,238,EKYB500E□□270ME11D
50.0,56.0,6.3×11,0.2,0.8,385,EKYB500E□□560MF11D
50.0,100.0,8×11.5,0.12,0.48,620,EKYB500E□□101MHB5D
50.0,150.0,8×15,0.093,0.38,810,EKYB500E□□151MH15D
50.0,150.0,10×12.5,0.1,0.4,810,EKYB500E□□151MJC5S
50.0,180.0,8×20,0.075,0.3,980,EKYB500E□□181MH20D
50.0,220.0,10×16,0.069,0.28,1100,EKYB500E□□221MJ16S
50.0,270.0,10×20,0.055,0.22,1300,EKYB500E□□271MJ20S
50.0,390.0,10×25,0.043,0.18,1600,EKYB500E□□391MJ25S
50.0,470.0,10×30,0.038,0.16,1820,EKYB500E□□471MJ30S
50.0,470.0,12.5×20,0.034,0.14,1820,EKYB500E□□471MK20S
50.0,680.0,12.5×25,0.03,0.12,2100,EKYB500E□□681MK25S
50.0,820.0,12.5×30,0.025,0.1,2450,EKYB500E□□821MK30S
50.0,820.0,16×20,0.028,0.12,2350,EKYB500E□□821ML20S
50.0,1000.0,12.5×35,0.021,0.084,2800,EKYB500E□□102MK35S
50.0,1000.0,18×20,0.025,0.1,2600,EKYB500E□□102MM20S
50.0,1200.0,12.5×40,0.019,0.076,3100,EKYB500E□□122MK40S
50.0,1200.0,16×25,0.024,0.096,2750,EKYB500E□□122ML25S
50.0,1500.0,16×31.5,0.019,0.076,3150,EKYB500E□□152MLN3S
50.0,1500.0,18×25,0.021,0.084,2890,EKYB500E□□152MM25S
50.0,1800.0,16×35.5,0.016,0.064,3550,EKYB500E□□182MLP1S
50.0,2200.0,16×40,0.014,0.056,3900,EKYB500E□□222ML40S
50.0,2200.0,18×31.5,0.014,0.056,3800,EKYB500E□□222MMN3S
50.0,2700.0,18×35.5,0.013,0.052,4100,EKYB500E□□272MMP1S
63.0,18.0,5×11,0.5,2.0,220,EKYB630E□□180ME11D
63.0,33.0,6.3×11,0.25,1.0,350,EKYB630E□□330MF11D
63.0,56.0,8×11.5,0.16,0.64,530,EKYB630E□□560MHB5D
63.0,82.0,8×15,0.12,0.48,700,EKYB630E□□820MH15D
63.0,120.0,8×20,0.085,0.34,880,EKYB630E□□121MH20D
63.0,120.0,10×12.5,0.11,0.44,725,EKYB630E□□121MJC5S
63.0,180.0,10×16,0.073,0.3,1050,EKYB630E□□181MJ16S
63.0,220.0,10×20,0.055,0.22,1300,EKYB630E□□221MJ20S
63.0,330.0,10×25,0.045,0.18,1550,EKYB630E□□331MJ25S
63.0,390.0,10×30,0.04,0.16,1780,EKYB630E□□391MJ30S
63.0,390.0,12.5×20,0.036,0.15,1780,EKYB630E□□391MK20S
63.0,560.0,12.5×25,0.03,0.12,2100,EKYB630E□□561MK25S
63.0,680.0,12.5×30,0.026,0.11,2415,EKYB630E□□681MK30S
63.0,680.0,16×20,0.028,0.12,2250,EKYB630E□□681ML20S
63.0,820.0,12.5×35,0.022,0.088,2700,EKYB630E□□821MK35S
63.0,820.0,18×20,0.028,0.12,2500,EKYB630E□□821MM20S
63.0,1000.0,12.5×40,0.02,0.08,3000,EKYB630E□□102MK40S
63.0,1000.0,16×25,0.025,0.1,2730,EKYB630E□□102ML25S
63.0,1200.0,16×31.5,0.02,0.08,3000,EKYB630E□□122MLN3S
63.0,1200.0,18×25,0.022,0.088,2800,EKYB630E□□122MM25S
63.0,1500.0,16×35.5,0.018,0.072,3200,EKYB630E□□152MLP1S
63.0,1500.0,18×31.5,0.018,0.072,3300,EKYB630E□□152MMN3S
63.0,1800.0,16×40,0.016,0.064,3590,EKYB630E□□182ML40S
63.0,1800.0,18×35.5,0.017,0.068,3570,EKYB630E□□182MMP1S
63.0,2200.0,18×40,0.016,0.064,3670,EKYB630E□□222MM40S
80.0,12.0,5×11,0.8,3.2,163,EKYB800E□□120ME11D
80.0,22.0,6.3×11,0.43,1.8,267,EKYB800E□□220MF11D
80.0,39.0,8×11.5,0.18,0.72,462,EKYB800E□□390MHB5D
80.0,56.0,8×15,0.14,0.56,585,EKYB800E□□560MH15D
80.0,82.0,8×20,0.11,0.44,735,EKYB800E□□820MH20D
80.0,82.0,10×12.5,0.14,0.56,624,EKYB800E□□820MJC5S
80.0,120.0,10×16,0.1,0.4,780,EKYB800E□□121MJ16S
80.0,180.0,10×20,0.075,0.3,1040,EKYB800E□□181MJ20S
80.0,220.0,10×25,0.06,0.24,1170,EKYB800E□□221MJ25S
80.0,270.0,10×30,0.053,0.22,1350,EKYB800E□□271MJ30S
80.0,270.0,12.5×20,0.048,0.2,1430,EKYB800E□□271MK20S
80.0,390.0,12.5×25,0.039,0.16,1620,EKYB800E□□391MK25S
80.0,470.0,12.5×30,0.033,0.14,1950,EKYB800E□□471MK30S
80.0,470.0,16×20,0.036,0.15,1750,EKYB800E□□471ML20S
80.0,560.0,12.5×35,0.026,0.11,2250,EKYB800E□□561MK35S
80.0,560.0,18×20,0.032,0.13,2100,EKYB800E□□561MM20S
80.0,680.0,12.5×40,0.024,0.096,2450,EKYB800E□□681MK40S
80.0,680.0,16×25,0.028,0.12,2250,EKYB800E□□681ML25S
80.0,820.0,16×31.5,0.022,0.088,2400,EKYB800E□□821MLN3S
80.0,820.0,18×25,0.027,0.11,2270,EKYB800E□□821MM25S
80.0,1000.0,16×35.5,0.02,0.08,2600,EKYB800E□□102MLP1S
