WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,ESR (Ω max./100kHz) 20℃,ESR (Ω max./100kHz) -40℃,Rated ripple current (mArms/100kHz) 150℃,Rated ripple current (mArms/100kHz) 125℃,Part No.
25,1100,12.5 × 20,0.14,0.12,1.4,1100,2620,EGQB250E□□112MK20H
25,1600,12.5 × 25,0.14,0.08,1.0,1300,2910,EGQB250E□□162MK25H
25,1800,16 × 20,0.14,0.07,1.0,1460,3590,EGQB250E□□182ML20H
25,2400,18 × 20,0.16,0.058,0.9,1560,3830,EGQB250E□□242MM20H
25,2700,16 × 25,0.16,0.05,0.8,1720,4560,EGQB250E□□272ML25H
25,3600,18 × 25,0.18,0.042,0.7,1800,4800,EGQB250E□□362MM25H
35,560,12.5 × 20,0.12,0.15,4.5,1000,2230,EGQB350E□□561MK20H
35,750,12.5 × 25,0.12,0.12,3.4,1200,2680,EGQB350E□□751MK25H
35,910,16 × 20,0.12,0.1,3.0,1260,3110,EGQB350E□□911ML20H
35,1200,18 × 20,0.12,0.084,2.0,1320,3250,EGQB350E□□122MM20H
35,1400,16 × 25,0.12,0.067,2.0,1600,4060,EGQB350E□□142ML25H
35,1800,18 × 25,0.12,0.058,1.4,1680,4500,EGQB350E□□182MM25H
