WV (Vdc),Cap (µF),Case size φD×L(mm),Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
6.3,100.0,5×11,0.9,3.6,150,EKYA6R3E□□101ME11D
6.3,180.0,5×11,0.4,1.6,250,EKYA6R3E□□181ME11D
6.3,220.0,5×11,0.4,1.6,250,EKYA6R3E□□221ME11D
6.3,330.0,6.3×11,0.22,0.87,400,EKYA6R3E□□331MF11D
6.3,470.0,6.3×11,0.22,0.87,400,EKYA6R3E□□471MF11D
6.3,820.0,8×11.5,0.13,0.52,640,EKYA6R3E□□821MHB5D
6.3,1200.0,10×12.5,0.08,0.32,865,EKYA6R3E□□122MJC5S
6.3,1200.0,8×15,0.087,0.35,840,EKYA6R3E□□122MH15D
6.3,1500.0,8×20,0.069,0.27,1050,EKYA6R3E□□152MH20D
6.3,1800.0,10×16,0.06,0.24,1300,EKYA6R3E□□182MJ16S
6.3,2700.0,10×20,0.046,0.18,1400,EKYA6R3E□□272MJ20S
6.3,3300.0,10×25,0.042,0.17,1650,EKYA6R3E□□332MJ25S
6.3,3900.0,12.5×20,0.035,0.12,1900,EKYA6R3E□□392MK20S
6.3,4700.0,12.5×25,0.027,0.089,2230,EKYA6R3E□□472MK25S
6.3,5600.0,12.5×25,0.027,0.089,2230,EKYA6R3E□□562MK25S
6.3,10000.0,16×25,0.021,0.06,2930,EKYA6R3E□□103ML25S
6.3,12000.0,16×31.5,0.017,0.05,3450,EKYA6R3E□□123MLN3S
6.3,15000.0,16×35.5,0.015,0.044,3610,EKYA6R3E□□153MLP1S
10.0,100.0,5×11,0.9,3.6,150,EKYA100E□□101ME11D
10.0,120.0,5×11,0.4,1.6,250,EKYA100E□□121ME11D
10.0,330.0,6.3×11,0.22,0.87,400,EKYA100E□□331MF11D
10.0,560.0,8×11.5,0.13,0.52,640,EKYA100E□□561MHB5D
10.0,820.0,8×15,0.087,0.35,840,EKYA100E□□821MH15D
10.0,820.0,10×12.5,0.08,0.32,865,EKYA100E□□821MJC5S
10.0,1000.0,10×12.5,0.08,0.32,865,EKYA100E□□102MJC5S
10.0,1200.0,8×20,0.069,0.27,1050,EKYA100E□□122MH20D
10.0,1200.0,10×16,0.06,0.24,1300,EKYA100E□□122MJ16S
10.0,1800.0,10×20,0.046,0.18,1400,EKYA100E□□182MJ20S
10.0,2200.0,10×25,0.042,0.17,1650,EKYA100E□□222MJ25S
10.0,3300.0,12.5×20,0.035,0.12,1900,EKYA100E□□332MK20S
10.0,3900.0,12.5×25,0.027,0.089,2230,EKYA100E□□392MK25S
10.0,6800.0,16×25,0.021,0.06,2930,EKYA100E□□682ML25S
10.0,10000.0,16×31.5,0.017,0.05,3450,EKYA100E□□103MLN3S
10.0,12000.0,16×35.5,0.015,0.044,3610,EKYA100E□□123MLP1S
16.0,47.0,5×11,0.4,1.6,250,EKYA160E□□470ME11D
16.0,100.0,5×11,0.4,1.6,250,EKYA160E□□101ME11D
16.0,220.0,6.3×11,0.22,0.87,400,EKYA160E□□221MF11D
16.0,270.0,6.3×11,0.22,0.87,400,EKYA160E□□271MF11D
16.0,470.0,8×11.5,0.13,0.52,640,EKYA160E□□471MHB5D
16.0,680.0,8×15,0.087,0.35,840,EKYA160E□□681MH15D
16.0,680.0,10×12.5,0.08,0.32,865,EKYA160E□□681MJC5S
16.0,820.0,8×20,0.069,0.27,1050,EKYA160E□□821MH20D
16.0,1000.0,10×16,0.06,0.24,1300,EKYA160E□□102MJ16S
16.0,1500.0,10×20,0.046,0.18,1400,EKYA160E□□152MJ20S
16.0,1800.0,10×25,0.042,0.17,1650,EKYA160E□□182MJ25S
16.0,2200.0,12.5×20,0.035,0.12,1900,EKYA160E□□222MK20S
16.0,3300.0,12.5×25,0.027,0.089,2230,EKYA160E□□332MK25S
16.0,4700.0,16×25,0.021,0.06,2930,EKYA160E□□472ML25S
16.0,5600.0,16×25,0.021,0.06,2930,EKYA160E□□562ML25S
16.0,6800.0,16×31.5,0.017,0.05,3450,EKYA160E□□682MLN3S
16.0,8200.0,16×31.5,0.017,0.05,3450,EKYA160E□□822MLN3S
16.0,10000.0,16×35.5,0.015,0.044,3610,EKYA160E□□103MLP1S
25.0,33.0,5×11,0.4,1.6,250,EKYA250E□□330ME11D
25.0,47.0,5×11,0.4,1.6,250,EKYA250E□□470ME11D
25.0,68.0,5×11,0.4,1.6,250,EKYA250E□□680ME11D
25.0,150.0,6.3×11,0.22,0.87,400,EKYA250E□□151MF11D
25.0,330.0,8×11.5,0.13,0.52,640,EKYA250E□□331MHB5D
25.0,390.0,8×15,0.087,0.35,840,EKYA250E□□391MH15D
25.0,470.0,10×12.5,0.08,0.32,865,EKYA250E□□471MJC5S
25.0,560.0,8×20,0.069,0.27,1050,EKYA250E□□561MH20D
25.0,680.0,10×16,0.06,0.24,1300,EKYA250E□□681MJ16S
25.0,1000.0,10×20,0.046,0.18,1400,EKYA250E□□102MJ20S
25.0,1200.0,10×25,0.042,0.17,1650,EKYA250E□□122MJ25S
25.0,1500.0,12.5×20,0.035,0.12,1900,EKYA250E□□152MK20S
25.0,2200.0,12.5×25,0.027,0.089,2230,EKYA250E□□222MK25S
25.0,3300.0,16×25,0.021,0.06,2930,EKYA250E□□332ML25S
25.0,3900.0,16×25,0.021,0.06,2930,EKYA250E□□392ML25S
25.0,4700.0,16×31.5,0.017,0.05,3450,EKYA250E□□472MLN3S
25.0,5600.0,16×35.5,0.015,0.044,3610,EKYA250E□□562MLP1S
35.0,33.0,5×11,0.4,1.6,250,EKYA350E□□330ME11D
35.0,47.0,5×11,0.4,1.6,250,EKYA350E□□470ME11D
35.0,100.0,6.3×11,0.22,0.87,400,EKYA350E□□101MF11D
35.0,220.0,8×11.5,0.13,0.52,640,EKYA350E□□221MHB5D
35.0,270.0,8×15,0.087,0.35,840,EKYA350E□□271MH15D
35.0,330.0,10×12.5,0.08,0.32,865,EKYA350E□□331MJC5S
35.0,390.0,8×20,0.069,0.27,1050,EKYA350E□□391MH20D
35.0,470.0,10×16,0.06,0.24,1300,EKYA350E□□471MJ16S
35.0,680.0,10×20,0.046,0.18,1400,EKYA350E□□681MJ20S
35.0,820.0,10×25,0.042,0.17,1650,EKYA350E□□821MJ25S
35.0,1000.0,12.5×20,0.035,0.12,1900,EKYA350E□□102MK20S
35.0,1500.0,12.5×25,0.027,0.089,2230,EKYA350E□□152MK25S
35.0,2200.0,16×25,0.021,0.06,2930,EKYA350E□□222ML25S
35.0,2700.0,16×25,0.021,0.06,2930,EKYA350E□□272ML25S
35.0,3300.0,16×31.5,0.017,0.05,3450,EKYA350E□□332MLN3S
35.0,3900.0,16×35.5,0.015,0.044,3610,EKYA350E□□392MLP1S
50.0,1.0,5×11,4.0,16.0,30,EKYA500E□□1R0ME11D
50.0,2.2,5×11,2.5,10.0,43,EKYA500E□□2R2ME11D
50.0,3.3,5×11,2.2,8.8,53,EKYA500E□□3R3ME11D
50.0,4.7,5×11,1.9,7.6,88,EKYA500E□□4R7ME11D
50.0,10.0,5×11,1.5,6.0,100,EKYA500E□□100ME11D
50.0,22.0,5×11,0.7,2.8,180,EKYA500E□□220ME11D
50.0,27.0,5×11,0.7,2.8,250,EKYA500E□□270ME11D
50.0,47.0,6.3×11,0.3,1.2,295,EKYA500E□□470MF11D
50.0,56.0,6.3×11,0.3,1.2,295,EKYA500E□□560MF11D
50.0,100.0,8×11.5,0.17,0.68,555,EKYA500E□□101MHB5D
50.0,150.0,8×15,0.12,0.48,730,EKYA500E□□151MH15D
50.0,180.0,10×12.5,0.12,0.48,760,EKYA500E□□181MJC5S
50.0,180.0,8×20,0.091,0.36,910,EKYA500E□□181MH20D
50.0,220.0,10×16,0.084,0.34,1050,EKYA500E□□221MJ16S
