Frequency(Hz),8.2 to 180,220 to 560,680 to 1800,2200 to 3900,4700 to 22000
120,0.4,0.5,0.6,0.75,0.85
1k,0.75,0.85,0.87,0.9,0.95
10k,0.9,0.94,0.95,0.95,0.98
100k,1.0,1.0,1.0,1.0,1.0
