WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
400,33,10×30,0.15,335,EKHE401E□□330MJ30S
400,39,10×35,0.15,385,EKHE401E□□390MJ35S
400,47,10×40,0.15,445,EKHE401E□□470MJ40S
400,56,10×45,0.15,505,EKHE401E□□560MJ45S
400,56,12.5×30,0.15,480,EKHE401E□□560MK30S
400,68,12.5×35,0.15,560,EKHE401E□□680MK35S
400,82,12.5×40,0.15,640,EKHE401E□□820MK40S
400,82,14.5×31.5,0.15,625,EKHE401E□□820MUN3S
400,100,12.5×45,0.15,730,EKHE401E□□101MK45S
400,100,14.5×35,0.15,715,EKHE401E□□101MU35S
400,100,16×31.5,0.15,720,EKHE401E□□101MLN3S
400,120,14.5×40,0.15,810,EKHE401E□□121MU40S
400,120,16×35,0.15,810,EKHE401E□□121ML35S
400,120,18×31.5,0.15,815,EKHE401E□□121MMN3S
420,33,10×30,0.2,335,EKHE421E□□330MJ30S
420,39,10×35,0.2,385,EKHE421E□□390MJ35S
420,47,10×40,0.2,445,EKHE421E□□470MJ40S
420,56,10×50,0.2,520,EKHE421E□□560MJ50S
420,56,12.5×30,0.2,480,EKHE421E□□560MK30S
420,68,12.5×35,0.2,560,EKHE421E□□680MK35S
420,82,12.5×40,0.2,640,EKHE421E□□820MK40S
420,82,14.5×31.5,0.2,625,EKHE421E□□820MUN3S
420,100,12.5×50,0.2,750,EKHE421E□□101MK50S
420,100,14.5×40,0.2,740,EKHE421E□□101MU40S
420,100,16×31.5,0.2,720,EKHE421E□□101MLN3S
420,120,14.5×45,0.2,835,EKHE421E□□121MU45S
420,120,16×35,0.2,810,EKHE421E□□121ML35S
420,120,18×31.5,0.2,815,EKHE421E□□121MMN3S
450,27,10×30,0.2,305,EKHE451E□□270MJ30S
450,33,10×35,0.2,355,EKHE451E□□330MJ35S
450,39,10×40,0.2,405,EKHE451E□□390MJ40S
450,47,10×45,0.2,460,EKHE451E□□470MJ45S
450,47,12.5×30,0.2,440,EKHE451E□□470MK30S
450,56,12.5×35,0.2,505,EKHE451E□□560MK35S
450,68,12.5×40,0.2,580,EKHE451E□□680MK40S
450,68,14.5×31.5,0.2,570,EKHE451E□□680MUN3S
450,82,12.5×45,0.2,660,EKHE451E□□820MK45S
450,82,14.5×35,0.2,650,EKHE451E□□820MU35S
450,82,16×31.5,0.2,655,EKHE451E□□820MLN3S
450,100,14.5×40,0.2,740,EKHE451E□□101MU40S
450,100,16×35,0.2,740,EKHE451E□□101ML35S
450,120,18×31.5,0.2,815,EKHE451E□□121MMN3S
