WV,Cap,Case size,Impedance 20C,Impedance -10C,Rated ripple current,Part No.
6.3,220,5×11,0.38,1.2,345,EKZN6R3E□□221ME11D
6.3,470,6.3×11,0.17,0.51,540,EKZN6R3E□□471MF11D
6.3,820,8×11.5,0.075,0.23,945,EKZN6R3E□□821MHB5D
6.3,1200,8×15,0.059,0.18,1250,EKZN6R3E□□122MH15D
6.3,1200,10×12.5,0.053,0.16,1330,EKZN6R3E□□122MJC5S
6.3,1500,8×20,0.041,0.13,1500,EKZN6R3E□□152MH20D
6.3,1800,10×16,0.038,0.12,1760,EKZN6R3E□□182MJ16S
6.3,2700,10×20,0.028,0.084,1960,EKZN6R3E□□272MJ20S
6.3,2700,12.5×16,0.035,0.11,1900,EKZN6R3E□□272MK16S
6.3,3300,10×25,0.026,0.072,2250,EKZN6R3E□□332MJ25S
6.3,3900,12.5×20,0.025,0.075,2480,EKZN6R3E□□392MK20S
6.3,5600,12.5×25,0.019,0.057,2900,EKZN6R3E□□562MK25S
6.3,6800,12.5×30,0.018,0.054,3450,EKZN6R3E□□682MK30S
6.3,6800,16×20,0.021,0.063,3250,EKZN6R3E□□682ML20S
6.3,8200,12.5×35,0.016,0.048,3570,EKZN6R3E□□822MK35S
6.3,8200,18×20,0.02,0.06,3450,EKZN6R3E□□822MM20S
6.3,10000,16×25,0.017,0.051,3630,EKZN6R3E□□103ML25S
6.3,12000,16×31.5,0.016,0.048,4100,EKZN6R3E□□123MLN3S
6.3,12000,18×25,0.016,0.048,3880,EKZN6R3E□□123MM25S
6.3,15000,16×35.5,0.014,0.042,4280,EKZN6R3E□□153MLP1S
6.3,15000,18×31.5,0.014,0.042,4190,EKZN6R3E□□153MMN3S
6.3,18000,16×40,0.013,0.039,4580,EKZN6R3E□□183ML40S
6.3,18000,18×35.5,0.012,0.036,4380,EKZN6R3E□□183MMP1S
6.3,22000,18×40,0.011,0.033,4960,EKZN6R3E□□223MM40S
10.0,150,5×11,0.38,1.2,450,EKZN100E□□151ME11D
10.0,330,6.3×11,0.17,0.51,700,EKZN100E□□331MF11D
10.0,560,8×11.5,0.075,0.23,1200,EKZN100E□□561MHB5D
10.0,820,8×15,0.059,0.18,1600,EKZN100E□□821MH15D
10.0,1000,8×20,0.041,0.13,1960,EKZN100E□□102MH20D
10.0,1000,10×12.5,0.053,0.16,1700,EKZN100E□□102MJC5S
10.0,1200,10×16,0.038,0.12,2000,EKZN100E□□122MJ16S
10.0,1800,10×20,0.028,0.084,2500,EKZN100E□□182MJ20S
10.0,1800,12.5×16,0.035,0.11,2400,EKZN100E□□182MK16S
10.0,2200,10×25,0.026,0.072,2900,EKZN100E□□222MJ25S
10.0,2700,12.5×20,0.025,0.075,2600,EKZN100E□□272MK20S
10.0,3900,12.5×25,0.019,0.057,3200,EKZN100E□□392MK25S
10.0,4700,12.5×30,0.018,0.054,3660,EKZN100E□□472MK30S
10.0,4700,16×20,0.021,0.063,3330,EKZN100E□□472ML20S
10.0,5600,12.5×35,0.016,0.048,4120,EKZN100E□□562MK35S
10.0,5600,18×20,0.02,0.06,3450,EKZN100E□□562MM20S
10.0,6800,16×25,0.017,0.051,3810,EKZN100E□□682ML25S
10.0,8200,16×31.5,0.016,0.048,4100,EKZN100E□□822MLN3S
10.0,8200,18×25,0.016,0.048,3880,EKZN100E□□822MM25S
10.0,10000,16×35.5,0.014,0.042,4280,EKZN100E□□103MLP1S
10.0,10000,18×31.5,0.014,0.042,4190,EKZN100E□□103MMN3S
10.0,12000,16×40,0.013,0.039,4580,EKZN100E□□123ML40S
10.0,12000,18×35.5,0.012,0.036,4380,EKZN100E□□123MMP1S
10.0,15000,18×40,0.011,0.033,4960,EKZN100E□□153MM40S
16.0,120,5×11,0.38,1.2,450,EKZN160E□□121ME11D
16.0,270,6.3×11,0.17,0.51,700,EKZN160E□□271MF11D
16.0,470,8×11.5,0.075,0.23,1200,EKZN160E□□471MHB5D
16.0,680,8×15,0.059,0.18,1600,EKZN160E□□681MH15D
16.0,680,10×12.5,0.053,0.16,1700,EKZN160E□□681MJC5S
16.0,820,8×20,0.041,0.13,1960,EKZN160E□□821MH20D
16.0,1000,10×16,0.038,0.12,2000,EKZN160E□□102MJ16S
16.0,1500,10×20,0.028,0.084,2500,EKZN160E□□152MJ20S
16.0,1500,12.5×16,0.035,0.11,2400,EKZN160E□□152MK16S
16.0,1800,10×25,0.026,0.072,2900,EKZN160E□□182MJ25S
16.0,2200,12.5×20,0.025,0.075,2600,EKZN160E□□222MK20S
16.0,2700,12.5×25,0.019,0.057,3200,EKZN160E□□272MK25S
16.0,3300,12.5×30,0.018,0.054,3660,EKZN160E□□332MK30S
16.0,3900,12.5×35,0.016,0.048,4120,EKZN160E□□392MK35S
16.0,3900,16×20,0.021,0.063,3330,EKZN160E□□392ML20S
16.0,4700,18×20,0.02,0.06,3450,EKZN160E□□472MM20S
16.0,5600,16×25,0.017,0.051,3810,EKZN160E□□562ML25S
16.0,6800,16×31.5,0.016,0.048,4100,EKZN160E□□682MLN3S
16.0,6800,18×25,0.016,0.048,3880,EKZN160E□□682MM25S
16.0,8200,16×35.5,0.014,0.042,4280,EKZN160E□□822MLP1S
16.0,8200,18×31.5,0.014,0.042,4190,EKZN160E□□822MMN3S
16.0,10000,16×40,0.013,0.039,4580,EKZN160E□□103ML40S
16.0,10000,18×35.5,0.012,0.036,4380,EKZN160E□□103MMP1S
16.0,12000,18×40,0.011,0.033,4960,EKZN160E□□123MM40S
25.0,68,5×11,0.38,1.2,450,EKZN250E□□680ME11D
25.0,150,6.3×11,0.17,0.51,700,EKZN250E□□151MF11D
25.0,270,8×11.5,0.075,0.23,1200,EKZN250E□□271MHB5D
25.0,470,8×15,0.059,0.18,1600,EKZN250E□□471MH15D
25.0,470,10×12.5,0.053,0.16,1700,EKZN250E□□471MJC5S
25.0,560,8×20,0.041,0.13,1960,EKZN250E□□561MH20D
25.0,680,10×16,0.038,0.12,2000,EKZN250E□□681MJ16S
25.0,820,10×20,0.028,0.084,2500,EKZN250E□□821MJ20S
25.0,1000,12.5×16,0.035,0.11,2400,EKZN250E□□102MK16S
25.0,1200,10×25,0.026,0.072,2900,EKZN250E□□122MJ25S
25.0,1500,12.5×20,0.025,0.075,2600,EKZN250E□□152MK20S
25.0,1800,12.5×25,0.019,0.057,3200,EKZN250E□□182MK25S
25.0,2200,12.5×30,0.018,0.054,3660,EKZN250E□□222MK30S
25.0,2200,16×20,0.021,0.063,3330,EKZN250E□□222ML20S
25.0,2700,12.5×35,0.016,0.048,4120,EKZN250E□□272MK35S
25.0,3300,16×25,0.017,0.051,3810,EKZN250E□□332ML25S
25.0,3300,18×20,0.02,0.06,3450,EKZN250E□□332MM20S
25.0,4700,16×31.5,0.016,0.048,4100,EKZN250E□□472MLN3S
25.0,4700,18×25,0.016,0.048,3880,EKZN250E□□472MM25S
25.0,5600,16×35.5,0.014,0.042,4280,EKZN250E□□562MLP1S
25.0,5600,18×31.5,0.014,0.042,4190,EKZN250E□□562MMN3S
25.0,6800,16×40,0.013,0.039,4580,EKZN250E□□682ML40S
25.0,6800,18×35.5,0.012,0.036,4380,EKZN250E□□682MMP1S
25.0,8200,18×40,0.011,0.033,4960,EKZN250E□□822MM40S
35.0,47,5×11,0.38,1.2,450,EKZN350E□□470ME11D
35.0,100,6.3×11,0.17,0.51,700,EKZN350E□□101MF11D
35.0,180,8×11.5,0.075,0.23,1200,EKZN350E□□181MHB5D
35.0,220,8×15,0.059,0.18,1600,EKZN350E□□221MH15D
35.0,270,10×12.5,0.053,0.16,1700,EKZN350E□□271MJC5S
35.0,330,8×20,0.041,0.13,1960,EKZN350E□□331MH20D
35.0,390,10×16,0.038,0.12,2000,EKZN350E□□391MJ16S
35.0,470,10×20,0.028,0.084,2500,EKZN350E□□471MJ20S
35.0,560,12.5×16,0.035,0.11,2400,EKZN350E□□561MK16S
35.0,680,10×25,0.026,0.072,2900,EKZN350E□□681MJ25S
35.0,820,12.5×20,0.025,0.075,2600,EKZN350E□□821MK20S
35.0,1200,12.5×25,0.019,0.057,3200,EKZN350E□□122MK25S
35.0,1500,12.5×30,0.018,0.054,3660,EKZN350E□□152MK30S
35.0,1500,16×20,0.021,0.063,3330,EKZN350E□□152ML20S
35.0,1800,12.5×35,0.016,0.048,4120,EKZN350E□□182MK35S
35.0,1800,16×25,0.017,0.051,3810,EKZN350E□□182ML25S
35.0,1800,18×20,0.02,0.06,3450,EKZN350E□□182MM20S
35.0,2700,16×31.5,0.016,0.048,4100,EKZN350E□□272MLN3S
35.0,2700,18×25,0.016,0.048,3880,EKZN350E□□272MM25S
35.0,3300,16×35.5,0.014,0.042,4280,EKZN350E□□332MLP1S
35.0,3300,18×31.5,0.014,0.042,4190,EKZN350E□□332MMN3S
35.0,3900,16×40,0.013,0.039,4580,EKZN350E□□392ML40S
35.0,3900,18×35.5,0.012,0.036,4380,EKZN350E□□392MMP1S
35.0,4700,18×40,0.011,0.033,4960,EKZN350E□□472MM40S
50.0,27,5×11,0.4,1.3,450,EKZN500E□□270ME11D
50.0,56,6.3×11,0.18,0.54,700,EKZN500E□□560MF11D
50.0,100,8×11.5,0.085,0.26,1200,EKZN500E□□101MHB5D
50.0,120,8×15,0.065,0.2,1600,EKZN500E□□121MH15D
50.0,150,10×12.5,0.073,0.22,1280,EKZN500E□□151MJC5S
50.0,180,8×20,0.049,0.16,1960,EKZN500E□□181MH20D
50.0,220,10×16,0.053,0.16,1650,EKZN500E□□221MJ16S
50.0,330,10×20,0.038,0.12,2060,EKZN500E□□331MJ20S
50.0,330,12.5×16,0.045,0.14,2160,EKZN500E□□331MK16S
50.0,390,10×25,0.032,0.1,2420,EKZN500E□□391MJ25S
50.0,470,12.5×20,0.032,0.1,2300,EKZN500E□□471MK20S
50.0,680,12.5×25,0.025,0.08,2800,EKZN500E□□681MK25S
50.0,820,12.5×30,0.023,0.074,3370,EKZN500E□□821MK30S
50.0,820,16×20,0.026,0.084,3070,EKZN500E□□821ML20S
50.0,1000,12.5×35,0.021,0.067,3810,EKZN500E□□102MK35S
50.0,1200,16×25,0.022,0.07,3510,EKZN500E□□122ML25S
50.0,1200,18×20,0.025,0.075,3120,EKZN500E□□122MM20S
50.0,1500,16×31.5,0.019,0.057,4030,EKZN500E□□152MLN3S
50.0,1500,18×25,0.021,0.063,3530,EKZN500E□□152MM25S
50.0,1800,16×35.5,0.016,0.048,4220,EKZN500E□□182MLP1S
50.0,2200,16×40,0.014,0.042,4500,EKZN500E□□222ML40S
50.0,2200,18×31.5,0.016,0.048,4080,EKZN500E□□222MMN3S
50.0,2700,18×35.5,0.013,0.039,4270,EKZN500E□□272MMP1S
50.0,3300,18×40,0.012,0.036,4850,EKZN500E□□332MM40S
63.0,18,5×11,0.52,2.3,240,EKZN630E□□180ME11D
63.0,39,6.3×11,0.24,1.1,420,EKZN630E□□390MF11D
63.0,68,8×11.5,0.15,0.68,720,EKZN630E□□680MHB5D
63.0,100,8×15,0.1,0.45,990,EKZN630E□□101MH15D
63.0,120,8×20,0.077,0.35,1200,EKZN630E□□121MH20D
63.0,120,10×12.5,0.09,0.36,990,EKZN630E□□121MJC5S
63.0,180,10×16,0.061,0.25,1200,EKZN630E□□181MJ16S
63.0,270,10×20,0.045,0.18,1570,EKZN630E□□271MJ20S
63.0,270,12.5×16,0.058,0.18,1570,EKZN630E□□271MK16S
63.0,330,10×25,0.037,0.12,1990,EKZN630E□□331MJ25S
63.0,390,12.5×20,0.033,0.1,1990,EKZN630E□□391MK20S
63.0,560,12.5×25,0.026,0.08,2460,EKZN630E□□561MK25S
63.0,680,12.5×30,0.024,0.075,2760,EKZN630E□□681MK30S
63.0,680,16×20,0.027,0.085,2380,EKZN630E□□681ML20S
63.0,820,12.5×35,0.022,0.068,3040,EKZN630E□□821MK35S
63.0,820,18×20,0.026,0.078,2530,EKZN630E□□821MM20S
63.0,1000,16×25,0.024,0.072,2890,EKZN630E□□102ML25S
63.0,1200,16×31.5,0.02,0.06,3280,EKZN630E□□122MLN3S
63.0,1200,18×25,0.022,0.066,2930,EKZN630E□□122MM25S
63.0,1500,16×35.5,0.018,0.054,3440,EKZN630E□□152MLP1S
63.0,1500,18×31.5,0.018,0.054,3380,EKZN630E□□152MMN3S
63.0,1800,16×40,0.016,0.048,3690,EKZN630E□□182ML40S
63.0,1800,18×35.5,0.017,0.051,3550,EKZN630E□□182MMP1S
63.0,2200,18×40,0.015,0.045,3930,EKZN630E□□222MM40S
80.0,12,5×11,0.72,3.2,235,EKZN800E□□120ME11D
80.0,27,6.3×11,0.34,1.5,390,EKZN800E□□270MF11D
80.0,47,8×11.5,0.2,0.9,650,EKZN800E□□470MHB5D
80.0,68,8×15,0.14,0.63,820,EKZN800E□□680MH15D
80.0,82,8×20,0.12,0.54,1090,EKZN800E□□820MH20D
80.0,82,10×12.5,0.14,0.56,860,EKZN800E□□820MJC5S
80.0,100,10×12.5,0.14,0.56,860,EKZN800E□□101MJC5S
80.0,120,10×16,0.09,0.36,1150,EKZN800E□□121MJ16S
80.0,150,10×16,0.09,0.36,1150,EKZN800E□□151MJ16S
80.0,180,10×20,0.068,0.28,1570,EKZN800E□□181MJ20S
80.0,180,12.5×16,0.09,0.27,1430,EKZN800E□□181MK16S
80.0,220,10×20,0.068,0.28,1570,EKZN800E□□221MJ20S
80.0,220,10×25,0.055,0.22,1780,EKZN800E□□221MJ25S
80.0,220,12.5×16,0.09,0.27,1430,EKZN800E□□221MK16S
80.0,270,10×25,0.055,0.22,1780,EKZN800E□□271MJ25S
80.0,270,12.5×20,0.048,0.15,1800,EKZN800E□□271MK20S
80.0,330,12.5×20,0.048,0.15,1800,EKZN800E□□331MK20S
80.0,390,12.5×25,0.038,0.12,2210,EKZN800E□□391MK25S
80.0,470,12.5×30,0.033,0.11,2520,EKZN800E□□471MK30S
80.0,470,16×20,0.036,0.12,2150,EKZN800E□□471ML20S
80.0,560,12.5×35,0.026,0.078,2860,EKZN800E□□561MK35S
80.0,680,12.5×40,0.026,0.078,3150,EKZN800E□□681MK40S
80.0,680,16×25,0.028,0.084,2620,EKZN800E□□681ML25S
80.0,680,18×20,0.032,0.096,2280,EKZN800E□□681MM20S
80.0,820,16×31.5,0.022,0.066,2900,EKZN800E□□821MLN3S
80.0,820,18×25,0.027,0.081,2750,EKZN800E□□821MM25S
80.0,1000,18×25,0.027,0.081,2750,EKZN800E□□102MM25S
80.0,1000,16×35.5,0.02,0.06,3150,EKZN800E□□102MLP1S
80.0,1200,16×40,0.018,0.054,3710,EKZN800E□□122ML40S
80.0,1200,18×31.5,0.02,0.06,3150,EKZN800E□□122MMN3S
80.0,1500,18×35.5,0.018,0.054,3710,EKZN800E□□152MMP1S
80.0,1800,18×40,0.017,0.051,4060,EKZN800E□□182MM40S
100,8.2,5×11,0.72,3.2,235,EKZN101E□□8R2ME11D
100,18,6.3×11,0.34,1.5,390,EKZN101E□□180MF11D
100,33,8×11.5,0.20,0.90,650,EKZN101E□□330MHB5D
100,47,8×15,0.14,0.63,820,EKZN101E□□470MH15D
100,56,8×20,0.12,0.54,1090,EKZN101E□□560MH20D
100,56,10×12.5,0.14,0.56,860,EKZN101E□□560MJC5S
100,82,10×16,0.090,0.36,1150,EKZN101E□□820MJ16S
100,100,10×20,0.068,0.28,1570,EKZN101E□□101MJ20S
100,120,10×20,0.068,0.28,1570,EKZN101E□□121MJ20S
100,120,12.5×16,0.090,0.27,1430,EKZN101E□□121MK16S
100,150,10×25,0.055,0.22,1780,EKZN101E□□151MJ25S
100,180,12.5×20,0.048,0.15,1800,EKZN101E□□181MK20S
100,220,12.5×25,0.038,0.12,2210,EKZN101E□□221MK25S
100,270,12.5×30,0.033,0.11,2520,EKZN101E□□271MK30S
100,270,16×20,0.036,0.12,2150,EKZN101E□□271ML20S
100,330,16×20,0.036,0.12,2150,EKZN101E□□331ML20S
100,390,12.5×35,0.026,0.078,2860,EKZN101E□□391MK35S
100,390,16×25,0.028,0.084,2620,EKZN101E□□391ML25S
100,390,18×20,0.032,0.096,2280,EKZN101E□□391MM20S
100,470,12.5×40,0.026,0.078,3150,EKZN101E□□471MK40S
100,470,16×31.5,0.022,0.066,2900,EKZN101E□□471MLN3S
100,560,16×31.5,0.022,0.066,2900,EKZN101E□□561MLN3S
100,560,16×35.5,0.020,0.060,3150,EKZN101E□□561MLP1S
100,560,18×25,0.027,0.081,2750,EKZN101E□□561MM25S
100,680,16×35.5,0.020,0.060,3150,EKZN101E□□681MLP1S
100,680,16×40,0.018,0.054,3710,EKZN101E□□681ML40S
100,680,18×31.5,0.020,0.060,3150,EKZN101E□□681MMN3S
100,820,16×40,0.018,0.054,3710,EKZN101E□□821ML40S
100,820,18×35.5,0.018,0.054,3710,EKZN101E□□821MMP1S
100,1000,18×40,0.017,0.051,4060,EKZN101E□□102MM40S
