WV (Vdc),Cap (µF),Case size φD×L(mm),Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,"Rated ripple current (mArms/ 105℃, 100kHz)",Part No.
6.3,820,10×12.5,0.08,0.32,865,EKY-6R3E□□821MJC5S
6.3,1200,10×16,0.06,0.24,1210,EKY-6R3E□□122MJ16S
6.3,1500,10×20,0.046,0.18,1400,EKY-6R3E□□152MJ20S
6.3,1800,12.5×15,0.049,0.16,1450,EKY-6R3E□□182MK15S
6.3,2200,10×25,0.042,0.17,1650,EKY-6R3E□□222MJ25S
6.3,2700,10×30,0.031,0.12,1910,EKY-6R3E□□272MJ30S
6.3,2700,16×15,0.042,0.12,1940,EKY-6R3E□□272ML15S
6.3,3300,12.5×20,0.035,0.12,1900,EKY-6R3E□□332MK20S
6.3,3900,12.5×25,0.027,0.089,2230,EKY-6R3E□□392MK25S
6.3,3900,18×15,0.043,0.11,2210,EKY-6R3E□□392MM15S
6.3,4700,12.5×30,0.024,0.078,2650,EKY-6R3E□□472MK30S
6.3,5600,12.5×35,0.02,0.065,2880,EKY-6R3E□□562MK35S
6.3,5600,16×20,0.027,0.078,2530,EKY-6R3E□□562ML20S
6.3,6800,12.5×40,0.017,0.056,3350,EKY-6R3E□□682MK40S
6.3,6800,16×25,0.021,0.06,2930,EKY-6R3E□□682ML25S
6.3,6800,18×20,0.026,0.067,2860,EKY-6R3E□□682MM20S
6.3,8200,16×31.5,0.017,0.05,3450,EKY-6R3E□□822MLN3S
6.3,10000,16×35.5,0.015,0.044,3610,EKY-6R3E□□103MLP1S
6.3,10000,18×25,0.019,0.049,3140,EKY-6R3E□□103MM25S
6.3,12000,16×40,0.013,0.038,4080,EKY-6R3E□□123ML40S
6.3,12000,18×31.5,0.015,0.04,4170,EKY-6R3E□□123MMN3S
6.3,15000,18×35.5,0.014,0.038,4220,EKY-6R3E□□153MMP1S
6.3,18000,18×40,0.012,0.032,4280,EKY-6R3E□□183MM40S
10.0,680,10×12.5,0.08,0.32,865,EKY-100E□□681MJC5S
10.0,1000,10×16,0.06,0.24,1210,EKY-100E□□102MJ16S
10.0,1200,10×20,0.046,0.18,1400,EKY-100E□□122MJ20S
10.0,1500,10×25,0.042,0.17,1650,EKY-100E□□152MJ25S
10.0,1500,12.5×15,0.049,0.16,1450,EKY-100E□□152MK15S
10.0,2200,10×30,0.031,0.12,1910,EKY-100E□□222MJ30S
10.0,2200,12.5×20,0.035,0.12,1900,EKY-100E□□222MK20S
10.0,2200,16×15,0.042,0.12,1940,EKY-100E□□222ML15S
10.0,2700,18×15,0.043,0.11,2210,EKY-100E□□272MM15S
10.0,3300,12.5×25,0.027,0.089,2230,EKY-100E□□332MK25S
10.0,3900,12.5×30,0.024,0.078,2650,EKY-100E□□392MK30S
10.0,3900,16×20,0.027,0.078,2530,EKY-100E□□392ML20S
10.0,4700,12.5×35,0.02,0.065,2880,EKY-100E□□472MK35S
10.0,5600,12.5×40,0.017,0.056,3350,EKY-100E□□562MK40S
10.0,5600,16×25,0.021,0.06,2930,EKY-100E□□562ML25S
10.0,5600,18×20,0.026,0.067,2860,EKY-100E□□562MM20S
10.0,6800,16×31.5,0.017,0.05,3450,EKY-100E□□682MLN3S
10.0,6800,18×25,0.019,0.049,3140,EKY-100E□□682MM25S
10.0,8200,16×35.5,0.015,0.044,3610,EKY-100E□□822MLP1S
10.0,8200,18×31.5,0.015,0.04,4170,EKY-100E□□822MMN3S
10.0,10000,16×40,0.013,0.038,4080,EKY-100E□□103ML40S
10.0,10000,18×35.5,0.014,0.038,4220,EKY-100E□□103MMP1S
10.0,12000,18×40,0.012,0.032,4280,EKY-100E□□123MM40S
16.0,470,10×12.5,0.08,0.32,865,EKY-160E□□471MJC5S
16.0,680,10×16,0.06,0.24,1210,EKY-160E□□681MJ16S
16.0,1000,10×20,0.046,0.18,1400,EKY-160E□□102MJ20S
16.0,1000,12.5×15,0.049,0.16,1450,EKY-160E□□102MK15S
16.0,1200,10×25,0.042,0.17,1650,EKY-160E□□122MJ25S
16.0,1500,10×30,0.031,0.12,1910,EKY-160E□□152MJ30S
16.0,1500,12.5×20,0.035,0.12,1900,EKY-160E□□152MK20S
16.0,1500,16×15,0.042,0.12,1940,EKY-160E□□152ML15S
16.0,2200,12.5×25,0.027,0.089,2230,EKY-160E□□222MK25S
16.0,2200,18×15,0.043,0.11,2210,EKY-160E□□222MM15S
16.0,2700,12.5×30,0.024,0.078,2650,EKY-160E□□272MK30S
16.0,2700,16×20,0.027,0.078,2530,EKY-160E□□272ML20S
16.0,3300,12.5×35,0.02,0.065,2880,EKY-160E□□332MK35S
16.0,3900,12.5×40,0.017,0.056,3350,EKY-160E□□392MK40S
16.0,3900,16×25,0.021,0.06,2930,EKY-160E□□392ML25S
16.0,3900,18×20,0.026,0.067,2860,EKY-160E□□392MM20S
16.0,4700,16×31.5,0.017,0.05,3450,EKY-160E□□472MLN3S
16.0,4700,18×25,0.019,0.049,3140,EKY-160E□□472MM25S
16.0,5600,16×35.5,0.015,0.044,3610,EKY-160E□□562MLP1S
16.0,5600,18×31.5,0.015,0.04,4170,EKY-160E□□562MMN3S
16.0,6800,16×40,0.013,0.038,4080,EKY-160E□□682ML40S
16.0,8200,18×35.5,0.014,0.038,4220,EKY-160E□□822MMP1S
16.0,10000,18×40,0.012,0.032,4280,EKY-160E□□103MM40S
25.0,330,10×12.5,0.08,0.32,865,EKY-250E□□331MJC5S
25.0,470,10×16,0.06,0.24,1210,EKY-250E□□471MJ16S
25.0,680,10×20,0.046,0.18,1400,EKY-250E□□681MJ20S
25.0,680,12.5×15,0.049,0.16,1450,EKY-250E□□681MK15S
25.0,820,10×25,0.042,0.17,1650,EKY-250E□□821MJ25S
25.0,1000,10×30,0.031,0.12,1910,EKY-250E□□102MJ30S
