WV(Vdc),Cap(µF),Case size φD×L(mm),tanδ,Rated ripple current(mArms/105℃ 120Hz),Part No.
400,33,10×30,0.2,320,EKWA401E□□330MJ30S
400,39,10×35,0.2,370,EKWA401E□□390MJ35S
400,47,10×40,0.2,420,EKWA401E□□470MJ40S
400,56,10×45,0.2,480,EKWA401E□□560MJ45S
400,56,12.5×30,0.2,460,EKWA401E□□560MK30S
400,68,12.5×35,0.2,530,EKWA401E□□680MK35S
400,82,12.5×40,0.2,610,EKWA401E□□820MK40S
400,82,14.5×31.5,0.2,590,EKWA401E□□820MUN3S
400,100,12.5×45,0.2,690,EKWA401E□□101MK45S
400,100,14.5×40,0.2,700,EKWA401E□□101MU40S
400,100,16×31.5,0.2,710,EKWA401E□□101MLN3S
400,120,14.5×45,0.2,790,EKWA401E□□121MU45S
400,120,16×35,0.2,800,EKWA401E□□121ML35S
400,120,18×31.5,0.2,800,EKWA401E□□121MMN3S
420,33,10×30,0.2,320,EKWA421E□□330MJ30S
420,39,10×35,0.2,370,EKWA421E□□390MJ35S
420,47,10×40,0.2,420,EKWA421E□□470MJ40S
420,56,10×50,0.2,500,EKWA421E□□560MJ50S
420,56,12.5×30,0.2,460,EKWA421E□□560MK30S
420,68,12.5×35,0.2,530,EKWA421E□□680MK35S
420,68,14.5×31.5,0.2,530,EKWA421E□□680MUN3S
420,82,12.5×40,0.2,610,EKWA421E□□820MK40S
420,82,14.5×35,0.2,620,EKWA421E□□820MU35S
420,100,12.5×50,0.2,680,EKWA421E□□101MK50S
420,100,14.5×40,0.2,700,EKWA421E□□101MU40S
420,100,16×31.5,0.2,710,EKWA421E□□101MLN3S
420,120,14.5×45,0.2,790,EKWA421E□□121MU45S
420,120,16×35,0.2,800,EKWA421E□□121ML35S
420,120,18×31.5,0.2,800,EKWA421E□□121MMN3S
450,27,10×30,0.2,290,EKWA451E□□270MJ30S
450,33,10×35,0.2,340,EKWA451E□□330MJ35S
450,39,10×40,0.2,380,EKWA451E□□390MJ40S
450,47,10×45,0.2,440,EKWA451E□□470MJ45S
450,47,12.5×30,0.2,420,EKWA451E□□470MK30S
450,56,12.5×35,0.2,480,EKWA451E□□560MK35S
450,68,12.5×40,0.2,550,EKWA451E□□680MK40S
450,68,14.5×31.5,0.2,530,EKWA451E□□680MUN3S
450,82,12.5×45,0.2,630,EKWA451E□□820MK45S
450,82,14.5×35,0.2,620,EKWA451E□□820MU35S
450,82,16×31.5,0.2,640,EKWA451E□□820MLN3S
450,100,14.5×45,0.2,720,EKWA451E□□101MU45S
450,100,16×35,0.2,730,EKWA451E□□101ML35S
450,120,18×31.5,0.2,800,EKWA451E□□121MMN3S
