WV (Vdc),Cap (µF),Case size φD×L(mm),Impedance (Ω max./20℃ 100kHz),Rated ripple current (mArms/105℃ 100kHz),Part No.
6.3,1500,10×12.5,0.063,960,ELZA6R3E□□152MJC5S
6.3,1800,10×16,0.049,1240,ELZA6R3E□□182MJ16S
6.3,2700,10×20,0.035,1550,ELZA6R3E□□272MJ20S
6.3,3300,10×25,0.033,1740,ELZA6R3E□□332MJ25S
6.3,4700,12.5×20,0.029,1890,ELZA6R3E□□472MK20S
6.3,6800,12.5×25,0.022,2350,ELZA6R3E□□682MK25S
6.3,6800,16×20,0.026,2330,ELZA6R3E□□682ML20S
6.3,8200,18×20,0.025,2640,ELZA6R3E□□822MM20S
6.3,10000,16×25,0.019,2760,ELZA6R3E□□103ML25S
6.3,12000,18×25,0.018,2850,ELZA6R3E□□123MM25S
10.0,1000,10×12.5,0.063,960,ELZA100E□□102MJC5S
10.0,1500,10×16,0.049,1240,ELZA100E□□152MJ16S
10.0,2200,10×20,0.035,1550,ELZA100E□□222MJ20S
10.0,2700,10×25,0.033,1740,ELZA100E□□272MJ25S
10.0,3300,12.5×20,0.029,1890,ELZA100E□□332MK20S
10.0,4700,12.5×25,0.022,2350,ELZA100E□□472MK25S
10.0,4700,16×20,0.026,2330,ELZA100E□□472ML20S
10.0,6800,16×25,0.019,2760,ELZA100E□□682ML25S
10.0,6800,18×20,0.025,2640,ELZA100E□□682MM20S
10.0,8200,18×25,0.018,2850,ELZA100E□□822MM25S
16.0,820,10×12.5,0.063,960,ELZA160E□□821MJC5S
16.0,1000,10×16,0.049,1240,ELZA160E□□102MJ16S
16.0,1500,10×20,0.035,1550,ELZA160E□□152MJ20S
16.0,1800,10×25,0.033,1740,ELZA160E□□182MJ25S
16.0,2200,12.5×20,0.029,1890,ELZA160E□□222MK20S
16.0,3300,12.5×25,0.022,2350,ELZA160E□□332MK25S
16.0,3900,16×20,0.026,2330,ELZA160E□□392ML20S
16.0,5600,16×25,0.019,2760,ELZA160E□□562ML25S
16.0,5600,18×20,0.025,2640,ELZA160E□□562MM20S
16.0,8200,18×25,0.018,2850,ELZA160E□□822MM25S
25.0,470,10×12.5,0.063,960,ELZA250E□□471MJC5S
25.0,680,10×16,0.049,1240,ELZA250E□□681MJ16S
25.0,1000,10×20,0.035,1550,ELZA250E□□102MJ20S
25.0,1200,10×25,0.033,1740,ELZA250E□□122MJ25S
25.0,1500,12.5×20,0.029,1890,ELZA250E□□152MK20S
25.0,2200,12.5×25,0.022,2350,ELZA250E□□222MK25S
25.0,2700,16×20,0.026,2330,ELZA250E□□272ML20S
25.0,3300,18×20,0.025,2640,ELZA250E□□332MM20S
25.0,3900,16×25,0.019,2760,ELZA250E□□392ML25S
25.0,4700,18×25,0.018,2850,ELZA250E□□472MM25S
35.0,330,10×12.5,0.063,960,ELZA350E□□331MJC5S
35.0,470,10×16,0.049,1240,ELZA350E□□471MJ16S
35.0,680,10×20,0.035,1550,ELZA350E□□681MJ20S
35.0,820,10×25,0.033,1740,ELZA350E□□821MJ25S
35.0,1000,12.5×20,0.029,1890,ELZA350E□□102MK20S
35.0,1500,12.5×25,0.022,2350,ELZA350E□□152MK25S
35.0,1800,16×20,0.026,2330,ELZA350E□□182ML20S
35.0,2200,18×20,0.025,2640,ELZA350E□□222MM20S
35.0,2700,16×25,0.019,2760,ELZA350E□□272ML25S
35.0,3300,18×25,0.018,2850,ELZA350E□□332MM25S
