Capacitance (µF),120Hz,300Hz,1kHz,10kHz,50kHz,100kHz
10µF,1.0,1.35,1.75,2.3,2.5,2.7
15 to 47µF,1.0,1.25,1.5,1.75,1.8,1.85
56 to 330µF,1.0,1.15,1.3,1.4,1.5,1.6
