WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
420,150.0,18×50,0.24,1060,EKXJ421E□□151MM50S
450,6.8,10×16,0.24,105,EKXJ451E□□6R8MJ16S
450,12,10×20,0.24,150,EKXJ451E□□120MJ20S
450,15,10×25,0.24,185,EKXJ451E□□150MJ25S
450,18,10×30,0.24,215,EKXJ451E□□180MJ30S
450,18,12.5×20,0.24,255,EKXJ451E□□180MK20S
450,22,10×35,0.24,250,EKXJ451E□□220MJ35S
450,27,10×40,0.24,290,EKXJ451E□□270MJ40S
450,27,10×45,0.24,305,EKXJ451E□□270MJ45S
450,27,12.5×25,0.24,340,EKXJ451E□□270MK25S
450,27,14.5×20,0.24,335,EKXJ451E□□270MU20S
450,33,12.5×30,0.24,400,EKXJ451E□□330MK30S
450,33,14.5×25,0.24,400,EKXJ451E□□330MU25S
450,33,16×20,0.24,385,EKXJ451E□□330ML20S
450,39,10×50,0.24,375,EKXJ451E□□390MJ50S
450,39,12.5×35,0.24,460,EKXJ451E□□390MK35S
450,39,18×20,0.24,440,EKXJ451E□□390MM20S
450,47,12.5×40,0.24,525,EKXJ451E□□470MK40S
450,47,14.5×31.5,0.24,515,EKXJ451E□□470MUN3S
450,47,16×25,0.24,500,EKXJ451E□□470ML25S
450,56,12.5×45,0.24,590,EKXJ451E□□560MK45S
450,56,14.5×35.5,0.24,580,EKXJ451E□□560MUP1S
450,56,16×31.5,0.24,585,EKXJ451E□□560MLN3S
450,56,18×25,0.24,560,EKXJ451E□□560MM25S
450,68,12.5×50,0.24,670,EKXJ451E□□680MK50S
450,68,14.5×40,0.24,660,EKXJ451E□□680MU40S
450,68,14.5×45,0.24,680,EKXJ451E□□680MU45S
450,68,16×35.5,0.24,660,EKXJ451E□□680MLP1S
450,82,14.5×50,0.24,765,EKXJ451E□□820MU50S
450,82,16×40,0.24,750,EKXJ451E□□820ML40S
450,82,16×45,0.24,760,EKXJ451E□□820ML45S
450,82,18×31.5,0.24,730,EKXJ451E□□820MMN3S
450,100,16×50,0.24,855,EKXJ451E□□101ML50S
450,100,18×35.5,0.24,835,EKXJ451E□□101MMP1S
450,120,18×40,0.24,930,EKXJ451E□□121MM40S
450,120,18×45,0.24,945,EKXJ451E□□121MM45S
450,150,18×50,0.24,1060,EKXJ451E□□151MM50S
500,6.8,10×20,0.24,90,EKXJ501E□□6R8MJ20S
500,8.2,10×25,0.24,110,EKXJ501E□□8R2MJ25S
500,10.0,10×30,0.24,130,EKXJ501E□□100MJ30S
500,12.0,12.5×20,0.24,135,EKXJ501E□□120MK20S
500,15.0,10×35,0.24,170,EKXJ501E□□150MJ35S
500,15.0,10×40,0.24,175,EKXJ501E□□150MJ40S
500,15.0,12.5×25,0.24,165,EKXJ501E□□150MK25S
500,18.0,10×45,0.24,190,EKXJ501E□□180MJ45S
500,18.0,12.5×30,0.24,190,EKXJ501E□□180MK30S
500,22.0,10×50,0.24,230,EKXJ501E□□220MJ50S
500,22.0,12.5×35,0.24,220,EKXJ501E□□220MK35S
500,27.0,12.5×40,0.24,260,EKXJ501E□□270MK40S
500,33.0,12.5×45,0.24,285,EKXJ501E□□330MK45S
500,39.0,12.5×50,0.24,330,EKXJ501E□□390MK50S
