Capacitance(µF),120Hz,1kHz,10kHz,100kHz
510,0.5,0.85,0.94,1.0
"680 to 2,000",0.6,0.87,0.95,1.0
"2,400 to 3,600",0.75,0.9,0.95,1.0
"4,700 to 8,200",0.85,0.95,0.98,1.0
