WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/125℃ 120Hz),Part No.
400,47,16×20,0.24,380,EGXM401E□□470ML20S
400,68,16×25,0.24,550,EGXM401E□□680ML25S
400,68,18×20,0.24,480,EGXM401E□□680MM20S
400,100,16×30,0.24,720,EGXM401E□□101ML30S
400,100,18×25,0.24,680,EGXM401E□□101MM25S
400,120,16×35,0.24,810,EGXM401E□□121ML35S
400,120,16×40,0.24,830,EGXM401E□□121ML40S
400,120,18×30,0.24,810,EGXM401E□□121MM30S
400,150,18×35,0.24,930,EGXM401E□□151MM35S
400,180,18×40,0.24,1040,EGXM401E□□181MM40S
420,47,16×20,0.24,380,EGXM421E□□470ML20S
420,56,18×20,0.24,430,EGXM421E□□560MM20S
420,68,16×25,0.24,550,EGXM421E□□680ML25S
420,82,16×30,0.24,650,EGXM421E□□820ML30S
420,82,18×25,0.24,620,EGXM421E□□820MM25S
420,100,16×35,0.24,730,EGXM421E□□101ML35S
420,120,16×40,0.24,830,EGXM421E□□121ML40S
420,120,18×30,0.24,810,EGXM421E□□121MM30S
420,120,18×35,0.24,830,EGXM421E□□121MM35S
420,150,18×40,0.24,950,EGXM421E□□151MM40S
450,39,16×20,0.24,340,EGXM451E□□390ML20S
450,56,16×25,0.24,500,EGXM451E□□560ML25S
450,56,18×20,0.24,430,EGXM451E□□560MM20S
450,82,16×30,0.24,650,EGXM451E□□820ML30S
450,82,18×25,0.24,620,EGXM451E□□820MM25S
450,100,16×35,0.24,730,EGXM451E□□101ML35S
450,100,16×40,0.24,760,EGXM451E□□101ML40S
450,100,18×30,0.24,740,EGXM451E□□101MM30S
450,120,18×35,0.24,830,EGXM451E□□121MM35S
450,150,18×40,0.24,950,EGXM451E□□151MM40S
