WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 100kHz),Part No.
10,100.0,5×11,0.45,130,ELE-100E□□101ME11D
10,220.0,6.3×11,0.45,210,ELE-100E□□221MF11D
10,330.0,8×11.5,0.45,330,ELE-100E□□331MHB5D
16,47.0,5×11,0.35,130,ELE-160E□□470ME11D
16,100.0,6.3×11,0.35,210,ELE-160E□□101MF11D
16,220.0,8×11.5,0.35,330,ELE-160E□□221MHB5D
25,33.0,5×11,0.3,130,ELE-250E□□330ME11D
25,47.0,5×11,0.3,130,ELE-250E□□470ME11D
25,100.0,6.3×11,0.3,210,ELE-250E□□101MF11D
35,33.0,5×11,0.22,130,ELE-350E□□330ME11D
35,47.0,6.3×11,0.22,210,ELE-350E□□470MF11D
35,100.0,8×11.5,0.22,330,ELE-350E□□101MHB5D
50,1.0,5×11,0.19,25,ELE-500E□□1R0ME11D
50,2.2,5×11,0.19,35,ELE-500E□□2R2ME11D
50,3.3,5×11,0.19,70,ELE-500E□□3R3ME11D
50,4.7,5×11,0.19,80,ELE-500E□□4R7ME11D
50,10.0,5×11,0.19,90,ELE-500E□□100ME11D
50,22.0,5×11,0.19,110,ELE-500E□□220ME11D
50,33.0,6.3×11,0.19,190,ELE-500E□□330MF11D
50,47.0,6.3×11,0.19,190,ELE-500E□□470MF11D
50,100.0,8×11.5,0.19,270,ELE-500E□□101MHB5D
63,10.0,5×11,0.17,80,ELE-630E□□100ME11D
63,22.0,6.3×11,0.17,170,ELE-630E□□220MF11D
63,33.0,6.3×11,0.17,170,ELE-630E□□330MF11D
63,47.0,8×11.5,0.17,240,ELE-630E□□470MHB5D
100,1.0,5×11,0.15,40,ELE-101E□□1R0ME11D
100,2.2,5×11,0.15,50,ELE-101E□□2R2ME11D
100,3.3,5×11,0.15,60,ELE-101E□□3R3ME11D
100,4.7,5×11,0.15,70,ELE-101E□□4R7ME11D
100,10.0,6.3×11,0.15,150,ELE-101E□□100MF11D
100,22.0,8×11.5,0.15,230,ELE-101E□□220MHB5D
