WV (Vdc),Cap (µF),Case size φD×L(mm),Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
10,82,5×11.5,0.75,1.5,163,ELXY100E□□820MEB5D
10,180,6.3×11.5,0.35,0.7,273,ELXY100E□□181MFB5D
10,220,6.3×15,0.25,0.5,390,ELXY100E□□221MF15D
10,330,8×12,0.17,0.34,445,ELXY100E□□331MH12D
10,390,10×12.5,0.12,0.24,625,ELXY100E□□391MJC5S
10,470,8×15,0.13,0.26,555,ELXY100E□□471MH15D
10,680,8×20,0.095,0.19,740,ELXY100E□□681MH20D
10,680,10×16,0.084,0.17,825,ELXY100E□□681MJ16S
10,1000,10×20,0.062,0.13,1040,ELXY100E□□102MJ20S
10,1200,10×25,0.052,0.11,1260,ELXY100E□□122MJ25S
10,1500,10×30,0.044,0.088,1440,ELXY100E□□152MJ30S
10,1800,12.5×20,0.046,0.092,1340,ELXY100E□□182MK20S
10,2200,12.5×25,0.034,0.068,1690,ELXY100E□□222MK25S
10,2700,12.5×30,0.03,0.06,1950,ELXY100E□□272MK30S
10,3300,12.5×35,0.024,0.048,2220,ELXY100E□□332MK35S
10,3300,16×20,0.038,0.076,1630,ELXY100E□□332ML20S
10,3900,12.5×40,0.022,0.044,2390,ELXY100E□□392MK40S
10,3900,16×25,0.028,0.056,2070,ELXY100E□□392ML25S
10,5600,16×30,0.025,0.05,2350,ELXY100E□□562ML30S
10,6800,16×35,0.022,0.044,2550,ELXY100E□□682ML35S
10,8200,16×40,0.018,0.036,2900,ELXY100E□□822ML40S
16,56,5×11.5,0.75,1.5,163,ELXY160E□□560MEB5D
16,120,6.3×11.5,0.35,0.7,273,ELXY160E□□121MFB5D
16,180,6.3×15,0.25,0.5,390,ELXY160E□□181MF15D
16,270,8×12,0.17,0.34,445,ELXY160E□□271MH12D
16,270,10×12.5,0.12,0.24,625,ELXY160E□□271MJC5S
16,330,8×15,0.13,0.26,555,ELXY160E□□331MH15D
16,470,8×20,0.095,0.19,740,ELXY160E□□471MH20D
16,470,10×16,0.084,0.17,825,ELXY160E□□471MJ16S
16,680,10×20,0.062,0.13,1040,ELXY160E□□681MJ20S
16,820,10×25,0.052,0.11,1260,ELXY160E□□821MJ25S
16,1200,10×30,0.044,0.088,1440,ELXY160E□□122MJ30S
16,1200,12.5×20,0.046,0.092,1340,ELXY160E□□122MK20S
16,1500,12.5×25,0.034,0.068,1690,ELXY160E□□152MK25S
16,2200,12.5×30,0.03,0.06,1950,ELXY160E□□222MK30S
16,2200,16×20,0.038,0.076,1630,ELXY160E□□222ML20S
16,2700,12.5×35,0.024,0.048,2220,ELXY160E□□272MK35S
16,2700,16×25,0.028,0.056,2070,ELXY160E□□272ML25S
16,3300,12.5×40,0.022,0.044,2390,ELXY160E□□332MK40S
16,3900,16×30,0.025,0.05,2350,ELXY160E□□392ML30S
16,4700,16×35,0.022,0.044,2550,ELXY160E□□472ML35S
16,5600,16×40,0.018,0.036,2900,ELXY160E□□562ML40S
25,39,5×11.5,0.75,1.5,163,ELXY250E□□390MEB5D
25,82,6.3×11.5,0.35,0.7,273,ELXY250E□□820MFB5D
25,120,6.3×15,0.25,0.5,390,ELXY250E□□121MF15D
25,150,8×12,0.17,0.34,445,ELXY250E□□151MH12D
25,180,10×12.5,0.12,0.24,625,ELXY250E□□181MJC5S
25,220,8×15,0.13,0.26,555,ELXY250E□□221MH15D
25,330,8×20,0.095,0.19,740,ELXY250E□□331MH20D
25,330,10×16,0.084,0.17,825,ELXY250E□□331MJ16S
25,470,10×20,0.062,0.13,1040,ELXY250E□□471MJ20S
25,560,10×25,0.052,0.11,1260,ELXY250E□□561MJ25S
25,820,10×30,0.044,0.088,1440,ELXY250E□□821MJ30S
25,820,12.5×20,0.046,0.092,1340,ELXY250E□□821MK20S
25,1000,12.5×25,0.034,0.068,1690,ELXY250E□□102MK25S
25,1500,12.5×30,0.03,0.06,1950,ELXY250E□□152MK30S
25,1500,16×20,0.038,0.076,1630,ELXY250E□□152ML20S
25,1800,12.5×35,0.024,0.048,2220,ELXY250E□□182MK35S
25,1800,16×25,0.028,0.056,2070,ELXY250E□□182ML25S
25,2200,12.5×40,0.022,0.044,2390,ELXY250E□□222MK40S
25,2700,16×30,0.025,0.05,2350,ELXY250E□□272ML30S
25,3300,16×35,0.022,0.044,2550,ELXY250E□□332ML35S
25,3900,16×40,0.018,0.036,2900,ELXY250E□□392ML40S
35,27,5×11.5,0.75,1.5,163,ELXY350E□□270MEB5D
35,56,6.3×11.5,0.35,0.7,273,ELXY350E□□560MFB5D
35,82,6.3×15,0.25,0.5,390,ELXY350E□□820MF15D
35,120,8×12,0.17,0.34,445,ELXY350E□□121MH12D
35,120,10×12.5,0.12,0.24,625,ELXY350E□□121MJC5S
35,180,8×15,0.13,0.26,555,ELXY350E□□181MH15D
35,220,8×20,0.095,0.19,740,ELXY350E□□221MH20D
35,220,10×16,0.084,0.17,825,ELXY350E□□221MJ16S
35,330,10×20,0.062,0.13,1040,ELXY350E□□331MJ20S
35,390,10×25,0.052,0.11,1260,ELXY350E□□391MJ25S
35,560,10×30,0.044,0.088,1440,ELXY350E□□561MJ30S
35,560,12.5×20,0.046,0.092,1340,ELXY350E□□561MK20S
35,680,12.5×25,0.034,0.068,1690,ELXY350E□□681MK25S
35,1000,12.5×30,0.03,0.06,1950,ELXY350E□□102MK30S
35,1000,16×20,0.038,0.076,1630,ELXY350E□□102ML20S
35,1200,12.5×35,0.024,0.048,2220,ELXY350E□□122MK35S
35,1200,16×25,0.028,0.056,2070,ELXY350E□□122ML25S
35,1500,12.5×40,0.022,0.044,2390,ELXY350E□□152MK40S
35,1800,16×30,0.025,0.05,2350,ELXY350E□□182ML30S
35,2200,16×35,0.022,0.044,2550,ELXY350E□□222ML35S
35,2700,16×40,0.018,0.036,2900,ELXY350E□□272ML40S
50,18,5×11.5,1.2,2.4,129,ELXY500E□□180MEB5D
50,39,6.3×11.5,0.54,1.1,219,ELXY500E□□390MFB5D
50,56,6.3×15,0.34,0.68,310,ELXY500E□□560MF15D
50,68,8×12,0.3,0.6,340,ELXY500E□□680MH12D
50,82,8×15,0.2,0.4,470,ELXY500E□□820MH15D
50,82,10×12.5,0.2,0.4,480,ELXY500E□□820MJC5S
50,120,8×20,0.14,0.28,610,ELXY500E□□121MH20D
50,120,10×16,0.13,0.26,755,ELXY500E□□121MJ16S
50,180,10×20,0.088,0.18,945,ELXY500E□□181MJ20S
50,220,10×25,0.073,0.15,1150,ELXY500E□□221MJ25S
50,330,10×30,0.054,0.11,1260,ELXY500E□□331MJ30S
50,330,12.5×20,0.059,0.12,1190,ELXY500E□□331MK20S
50,470,12.5×25,0.044,0.088,1490,ELXY500E□□471MK25S
50,560,12.5×30,0.039,0.078,1720,ELXY500E□□561MK30S
50,680,12.5×35,0.033,0.066,1890,ELXY500E□□681MK35S
50,680,16×20,0.05,0.1,1420,ELXY500E□□681ML20S
50,820,12.5×40,0.029,0.058,2030,ELXY500E□□821MK40S
50,820,16×25,0.034,0.068,1880,ELXY500E□□821ML25S
50,1000,16×30,0.03,0.06,2150,ELXY500E□□102ML30S
50,1200,16×35,0.027,0.054,2320,ELXY500E□□122ML35S
50,1500,16×40,0.024,0.048,2540,ELXY500E□□152ML40S
63,10,5×11.5,1.9,4.8,103,ELXY630E□□100MEB5D
63,18,6.3×11.5,1.0,2.5,161,ELXY630E□□180MFB5D
63,33,6.3×15,0.61,1.6,233,ELXY630E□□330MF15D
63,47,8×12,0.47,1.2,274,ELXY630E□□470MH12D
63,56,10×12.5,0.27,0.68,418,ELXY630E□□560MJC5S
63,68,8×15,0.34,0.85,360,ELXY630E□□680MH15D
63,68,10×16,0.21,0.53,525,ELXY630E□□680MJ16S
63,82,8×20,0.21,0.53,500,ELXY630E□□820MH20D
63,120,10×20,0.16,0.4,650,ELXY630E□□121MJ20S
63,150,10×25,0.13,0.33,783,ELXY630E□□151MJ25S
63,180,10×30,0.1,0.25,960,ELXY630E□□181MJ30S
63,220,12.5×20,0.11,0.28,870,ELXY630E□□221MK20S
63,270,12.5×25,0.074,0.19,1150,ELXY630E□□271MK25S
63,330,16×20,0.085,0.22,1100,ELXY630E□□331ML20S
63,390,12.5×30,0.068,0.17,1280,ELXY630E□□391MK30S
63,470,12.5×35,0.063,0.16,1390,ELXY630E□□471MK35S
63,470,16×25,0.055,0.14,1480,ELXY630E□□471ML25S
63,560,12.5×40,0.051,0.13,1530,ELXY630E□□561MK40S
63,680,16×30,0.046,0.12,1720,ELXY630E□□681ML30S
63,820,16×35,0.04,0.1,1910,ELXY630E□□821ML35S
63,1000,16×40,0.036,0.09,2070,ELXY630E□□102ML40S
