WV,Cap,Case size,Impedance (20C),Impedance (-10C),Rated ripple current,Part No.
25.0,120.0,6.3×15,0.27,0.68,330,ELXV250E□□121MF15D
25.0,150.0,8×12,0.2,0.5,415,ELXV250E□□151MH12D
25.0,180.0,10×12.5,0.12,0.3,635,ELXV250E□□181MJC5S
25.0,220.0,8×15,0.16,0.4,495,ELXV250E□□221MH15D
25.0,330.0,8×20,0.11,0.28,640,ELXV250E□□331MH20D
25.0,330.0,10×16,0.084,0.21,825,ELXV250E□□331MJ16S
25.0,470.0,10×20,0.062,0.16,1060,ELXV250E□□471MJ20S
25.0,560.0,10×25,0.052,0.13,1260,ELXV250E□□561MJ25S
25.0,820.0,10×30,0.044,0.11,1450,ELXV250E□□821MJ30S
25.0,820.0,12.5×20,0.046,0.12,1360,ELXV250E□□821MK20S
25.0,1000.0,12.5×25,0.034,0.085,1700,ELXV250E□□102MK25S
25.0,1500.0,12.5×30,0.03,0.075,1980,ELXV250E□□152MK30S
25.0,1500.0,16×20,0.038,0.095,1770,ELXV250E□□152ML20S
25.0,1800.0,12.5×35,0.027,0.068,2230,ELXV250E□□182MK35S
25.0,1800.0,16×25,0.028,0.07,2190,ELXV250E□□182ML25S
25.0,2200.0,12.5×40,0.024,0.06,2460,ELXV250E□□222MK40S
25.0,2200.0,18×20,0.036,0.09,1940,ELXV250E□□222MM20S
25.0,2700.0,16×30,0.025,0.063,2510,ELXV250E□□272ML30S
25.0,2700.0,18×25,0.027,0.068,2350,ELXV250E□□272MM25S
25.0,3300.0,16×35,0.022,0.055,2770,ELXV250E□□332ML35S
25.0,3300.0,18×30,0.024,0.06,2720,ELXV250E□□332MM30S
25.0,3900.0,16×40,0.018,0.045,3110,ELXV250E□□392ML40S
25.0,3900.0,18×35,0.021,0.053,3050,ELXV250E□□392MM35S
25.0,4700.0,18×40,0.017,0.043,3300,ELXV250E□□472MM40S
35.0,27.0,5×11.5,0.72,1.8,165,ELXV350E□□270MEB5D
35.0,56.0,6.3×11.5,0.38,0.95,255,ELXV350E□□560MFB5D
35.0,82.0,6.3×15,0.27,0.68,330,ELXV350E□□820MF15D
35.0,120.0,8×12,0.2,0.5,415,ELXV350E□□121MH12D
35.0,120.0,10×12.5,0.12,0.3,635,ELXV350E□□121MJC5S
35.0,180.0,8×15,0.16,0.4,495,ELXV350E□□181MH15D
35.0,220.0,8×20,0.11,0.28,640,ELXV350E□□221MH20D
35.0,220.0,10×16,0.084,0.21,825,ELXV350E□□221MJ16S
35.0,330.0,10×20,0.062,0.16,1060,ELXV350E□□331MJ20S
35.0,390.0,10×25,0.052,0.13,1260,ELXV350E□□391MJ25S
35.0,560.0,10×30,0.044,0.11,1450,ELXV350E□□561MJ30S
35.0,560.0,12.5×20,0.046,0.12,1360,ELXV350E□□561MK20S
35.0,680.0,12.5×25,0.034,0.085,1700,ELXV350E□□681MK25S
35.0,1000.0,12.5×30,0.03,0.075,1980,ELXV350E□□102MK30S
35.0,1000.0,16×20,0.038,0.095,1770,ELXV350E□□102ML20S
35.0,1200.0,12.5×35,0.027,0.068,2230,ELXV350E□□122MK35S
35.0,1200.0,16×25,0.028,0.07,2190,ELXV350E□□122ML25S
35.0,1500.0,12.5×40,0.024,0.06,2460,ELXV350E□□152MK40S
35.0,1500.0,18×20,0.036,0.09,1940,ELXV350E□□152MM20S
35.0,1800.0,16×30,0.025,0.063,2510,ELXV350E□□182ML30S
35.0,1800.0,18×25,0.027,0.068,2350,ELXV350E□□182MM25S
35.0,2200.0,16×35,0.022,0.055,2770,ELXV350E□□222ML35S
35.0,2200.0,18×30,0.024,0.06,2720,ELXV350E□□222MM30S
