Capacitance (µF),Voltage (Vdc),120 Hz,1 kHz,10 kHz,100 kHz,50 Hz,300 Hz
130 to 240,25 to 100,0.4,0.82,0.93,1.0,,
270 to 560,25 to 100,0.5,0.85,0.94,1.0,,
"620 to 2,000",25 to 100,0.6,0.87,0.95,1.0,,
"2,200 to 4,300",25 to 100,0.75,0.9,0.95,1.0,,
"4,700 to 11,000",25 to 100,0.85,0.95,0.98,1.0,,
12 to 33,160 to 400,0.3,0.65,0.95,1.0,0.15,0.45
36 to 270,160 to 400,0.35,0.7,0.96,1.0,0.25,0.5
