WV,Cap,Case size,Impedance (20C),Impedance (-10C),Rated ripple current,Part No.
6.3,150,5×11.5,0.5,1.0,175,ELXZ6R3E□□151MEB5D
6.3,330,6.3×11.5,0.25,0.5,290,ELXZ6R3E□□331MFB5D
6.3,470,6.3×15,0.18,0.36,400,ELXZ6R3E□□471MF15D
6.3,680,8×12,0.12,0.24,555,ELXZ6R3E□□681MH12D
6.3,820,10×12.5,0.09,0.18,760,ELXZ6R3E□□821MJC5S
6.3,1000,8×15,0.09,0.18,730,ELXZ6R3E□□102MH15D
6.3,1200,8×20,0.08,0.16,810,ELXZ6R3E□□122MH20D
6.3,1200,10×16,0.068,0.136,1050,ELXZ6R3E□□122MJ16S
6.3,1500,10×20,0.052,0.104,1220,ELXZ6R3E□□152MJ20S
6.3,2200,10×25,0.045,0.09,1440,ELXZ6R3E□□222MJ25S
6.3,2700,10×30,0.037,0.074,1690,ELXZ6R3E□□272MJ30S
6.3,3300,12.5×20,0.038,0.076,1660,ELXZ6R3E□□332MK20S
6.3,3900,12.5×25,0.03,0.06,1950,ELXZ6R3E□□392MK25S
6.3,4700,12.5×30,0.025,0.05,2310,ELXZ6R3E□□472MK30S
6.3,5600,12.5×35,0.022,0.044,2510,ELXZ6R3E□□562MK35S
6.3,5600,16×20,0.029,0.058,2210,ELXZ6R3E□□562ML20S
6.3,6800,12.5×40,0.017,0.034,2870,ELXZ6R3E□□682MK40S
6.3,6800,16×25,0.022,0.044,2560,ELXZ6R3E□□682ML25S
6.3,6800,18×20,0.028,0.056,2490,ELXZ6R3E□□682MM20S
6.3,8200,16×30,0.019,0.038,3010,ELXZ6R3E□□822ML30S
6.3,10000,16×35,0.017,0.034,3150,ELXZ6R3E□□103ML35S
6.3,10000,18×25,0.02,0.04,2740,ELXZ6R3E□□103MM25S
6.3,12000,16×40,0.015,0.03,3710,ELXZ6R3E□□123ML40S
6.3,12000,18×30,0.018,0.036,3330,ELXZ6R3E□□123MM30S
6.3,15000,18×35,0.016,0.032,3680,ELXZ6R3E□□153MM35S
6.3,18000,18×40,0.015,0.03,3800,ELXZ6R3E□□183MM40S
10.0,100,5×11.5,0.5,1.0,175,ELXZ100E□□101MEB5D
10.0,220,6.3×11.5,0.25,0.5,290,ELXZ100E□□221MFB5D
10.0,330,6.3×15,0.18,0.36,400,ELXZ100E□□331MF15D
10.0,470,8×12,0.12,0.24,555,ELXZ100E□□471MH12D
10.0,680,8×15,0.09,0.18,730,ELXZ100E□□681MH15D
10.0,680,10×12.5,0.09,0.18,760,ELXZ100E□□681MJC5S
10.0,1000,8×20,0.08,0.16,810,ELXZ100E□□102MH20D
10.0,1000,10×16,0.068,0.136,1050,ELXZ100E□□102MJ16S
10.0,1200,10×20,0.052,0.104,1220,ELXZ100E□□122MJ20S
10.0,1500,10×25,0.045,0.09,1440,ELXZ100E□□152MJ25S
10.0,1800,10×30,0.037,0.074,1690,ELXZ100E□□182MJ30S
10.0,2200,10×30,0.037,0.074,1690,ELXZ100E□□222MJ30S
10.0,2200,12.5×20,0.038,0.076,1660,ELXZ100E□□222MK20S
10.0,3300,12.5×25,0.03,0.06,1950,ELXZ100E□□332MK25S
10.0,3900,12.5×30,0.025,0.05,2310,ELXZ100E□□392MK30S
10.0,3900,16×20,0.029,0.058,2210,ELXZ100E□□392ML20S
10.0,4700,12.5×35,0.022,0.044,2510,ELXZ100E□□472MK35S
10.0,5600,12.5×40,0.017,0.034,2870,ELXZ100E□□562MK40S
10.0,5600,16×25,0.022,0.044,2560,ELXZ100E□□562ML25S
