Capacitance (µF),120Hz,1kHz,10kHz,100kHz
"1,000 to 2,000",0.6,0.87,0.95,1.0
"2,100 to 3,800",0.75,0.9,0.95,1.0
"4,000 to 11,000",0.85,0.95,0.98,1.0
