WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,"Rated ripple current (mArms/ 85℃, 120Hz)",Part No.
6.3,220,5×11,0.34,200,ESMG6R3E□□221ME11D
6.3,330,6.3×11,0.34,270,ESMG6R3E□□331MF11D
6.3,470,6.3×11,0.34,320,ESMG6R3E□□471MF11D
6.3,"1,000",8×11.5,0.34,540,ESMG6R3E□□102MHB5D
6.3,"2,200",10×20,0.36,"1,000",ESMG6R3E□□222MJ20S
6.3,"3,300",10×20,0.38,"1,185",ESMG6R3E□□332MJ20S
6.3,"4,700",12.5×20,0.4,"1,545",ESMG6R3E□□472MK20S
6.3,"6,800",12.5×25,0.44,"1,915",ESMG6R3E□□682MK25S
6.3,"10,000",16×25,0.52,"2,330",ESMG6R3E□□103ML25S
6.3,"15,000",16×35.5,0.62,"2,845",ESMG6R3E□□153MLP1S
6.3,"22,000",18×40,0.76,"3,320",ESMG6R3E□□223MM40S
10.0,220,5×11,0.24,240,ESMG100E□□221ME11D
10.0,330,6.3×11,0.24,290,ESMG100E□□331MF11D
10.0,470,6.3×11,0.24,350,ESMG100E□□471MF11D
10.0,"1,000",10×12.5,0.24,650,ESMG100E□□102MJC5S
10.0,"2,200",10×20,0.26,"1,070",ESMG100E□□222MJ20S
10.0,"3,300",12.5×20,0.28,"1,420",ESMG100E□□332MK20S
10.0,"4,700",12.5×25,0.3,"1,780",ESMG100E□□472MK25S
10.0,"6,800",16×25,0.34,"2,220",ESMG100E□□682ML25S
10.0,"10,000",16×35.5,0.42,"2,670",ESMG100E□□103MLP1S
10.0,"15,000",18×35.5,0.52,"3,080",ESMG100E□□153MMP1S
16.0,100,5×11,0.2,160,ESMG160E□□101ME11D
16.0,220,6.3×11,0.2,260,ESMG160E□□221MF11D
16.0,330,8×11.5,0.2,370,ESMG160E□□331MHB5D
16.0,470,8×11.5,0.2,440,ESMG160E□□471MHB5D
16.0,"1,000",10×16,0.2,785,ESMG160E□□102MJ16S
16.0,"2,200",12.5×20,0.22,"1,295",ESMG160E□□222MK20S
16.0,"3,300",12.5×25,0.24,"1,655",ESMG160E□□332MK25S
16.0,"4,700",16×25,0.26,"2,090",ESMG160E□□472ML25S
16.0,"6,800",16×31.5,0.3,"2,520",ESMG160E□□682MLN3S
16.0,"10,000",18×35.5,0.38,"2,920",ESMG160E□□103MMP1S
25.0,47,5×11,0.16,115,ESMG250E□□470ME11D
25.0,100,6.3×11,0.16,190,ESMG250E□□101MF11D
25.0,220,8×11.5,0.16,330,ESMG250E□□221MHB5D
25.0,330,8×11.5,0.16,440,ESMG250E□□331MHB5D
25.0,470,10×12.5,0.16,545,ESMG250E□□471MJC5S
25.0,"1,000",10×20,0.16,955,ESMG250E□□102MJ20S
25.0,"2,200",12.5×25,0.18,"1,540",ESMG250E□□222MK25S
25.0,"3,300",16×25,0.2,"1,975",ESMG250E□□332ML25S
25.0,"4,700",16×31.5,0.22,"2,420",ESMG250E□□472MLN3S
25.0,"6,800",18×35.5,0.26,"2,880",ESMG250E□□682MMP1S
35.0,47,5×11,0.14,130,ESMG350E□□470ME11D
35.0,100,6.3×11,0.14,210,ESMG350E□□101MF11D
35.0,220,8×11.5,0.14,385,ESMG350E□□221MHB5D
35.0,330,10×12.5,0.14,490,ESMG350E□□331MJC5S
35.0,470,10×16,0.14,645,ESMG350E□□471MJ16S
35.0,"1,000",12.5×20,0.14,"1,145",ESMG350E□□102MK20S
35.0,"2,200",16×25,0.16,"1,785",ESMG350E□□222ML25S
35.0,"3,300",16×35.5,0.18,"2,275",ESMG350E□□332MLP1S
35.0,"4,700",18×35.5,0.2,"2,700",ESMG350E□□472MMP1S
50.0,1.0,5×11,0.12,17,ESMG500E□□1R0ME11D
50.0,2.2,5×11,0.12,28,ESMG500E□□2R2ME11D
50.0,3.3,5×11,0.12,35,ESMG500E□□3R3ME11D
50.0,4.7,5×11,0.12,41,ESMG500E□□4R7ME11D
50.0,10,5×11,0.12,60,ESMG500E□□100ME11D
50.0,22,5×11,0.12,95,ESMG500E□□220ME11D
50.0,33,5×11,0.12,125,ESMG500E□□330ME11D
50.0,47,6.3×11,0.12,155,ESMG500E□□470MF11D
50.0,100,8×11.5,0.12,260,ESMG500E□□101MHB5D
50.0,220,10×12.5,0.12,430,ESMG500E□□221MJC5S
50.0,330,10×16,0.12,585,ESMG500E□□331MJ16S
50.0,470,10×20,0.12,755,ESMG500E□□471MJ20S
50.0,"1,000",12.5×25,0.12,"1,340",ESMG500E□□102MK25S
50.0,"2,200",16×35.5,0.14,"2,075",ESMG500E□□222MLP1S
50.0,"3,300",18×35.5,0.16,"2,500",ESMG500E□□332MMP1S
63.0,10,5×11,0.09,65,ESMG630E□□100ME11D
63.0,22,5×11,0.09,100,ESMG630E□□220ME11D
63.0,33,6.3×11,0.09,140,ESMG630E□□330MF11D
63.0,47,6.3×11,0.09,170,ESMG630E□□470MF11D
63.0,100,10×12.5,0.09,300,ESMG630E□□101MJC5S
