WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
450,56,10×50,0.24,545,EKXN451E□□560MJ50S
450,56,12.5×30,0.24,530,EKXN451E□□560MK30S
450,56,16×20,0.24,510,EKXN451E□□560ML20S
450,68,12.5×35,0.24,615,EKXN451E□□680MK35S
450,82,12.5×40,0.24,705,EKXN451E□□820MK40S
450,82,12.5×45,0.24,725,EKXN451E□□820MK45S
450,82,16×25,0.24,670,EKXN451E□□820ML25S
450,82,18×20,0.24,645,EKXN451E□□820MM20S
450,100,12.5×50,0.24,825,EKXN451E□□101MK50S
450,100,16×30,0.24,795,EKXN451E□□101ML30S
450,100,18×25,0.24,760,EKXN451E□□101MM25S
450,120,16×35,0.24,890,EKXN451E□□121ML35S
450,120,16×40,0.24,920,EKXN451E□□121ML40S
450,120,18×30,0.24,890,EKXN451E□□121MM30S
450,150,16×45,0.24,1040,EKXN451E□□151ML45S
450,150,18×35,0.24,1030,EKXN451E□□151MM35S
450,180,16×50,0.24,1160,EKXN451E□□181ML50S
450,180,18×40,0.24,1160,EKXN451E□□181MM40S
450,180,18×45,0.24,1180,EKXN451E□□181MM45S
450,220,18×50,0.24,1310,EKXN451E□□221MM50S
