WV (Vdc),Cap (µF),Case size φD×L(mm),Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
35.0,680.0,12.5×20,0.021,0.053,2360,EKZE350E□□681MK20S
35.0,1000.0,12.5×25,0.018,0.045,2770,EKZE350E□□102MK25S
35.0,1200.0,12.5×30,0.016,0.041,3290,EKZE350E□□122MK30S
35.0,1200.0,16×20,0.018,0.045,3140,EKZE350E□□122ML20S
35.0,1500.0,12.5×35,0.015,0.039,3400,EKZE350E□□152MK35S
35.0,1800.0,16×25,0.016,0.043,3460,EKZE350E□□182ML25S
50.0,22.0,5×11,0.34,1.18,238,EKZE500E□□220ME11D
50.0,56.0,6.3×11,0.14,0.5,385,EKZE500E□□560MF11D
50.0,100.0,8×11.5,0.074,0.22,724,EKZE500E□□101MHB5D
50.0,120.0,8×15,0.061,0.18,950,EKZE500E□□121MH15D
50.0,150.0,10×12.5,0.061,0.18,979,EKZE500E□□151MJC5S
50.0,180.0,8×20,0.046,0.14,1190,EKZE500E□□181MH20D
50.0,220.0,10×16,0.042,0.12,1370,EKZE500E□□221MJ16S
50.0,270.0,10×20,0.03,0.09,1580,EKZE500E□□271MJ20S
50.0,330.0,10×25,0.028,0.085,1870,EKZE500E□□331MJ25S
50.0,470.0,12.5×20,0.027,0.068,2050,EKZE500E□□471MK20S
50.0,560.0,12.5×25,0.023,0.059,2410,EKZE500E□□561MK25S
50.0,680.0,12.5×30,0.021,0.052,2860,EKZE500E□□681MK30S
50.0,820.0,12.5×35,0.019,0.051,2960,EKZE500E□□821MK35S
50.0,820.0,16×20,0.023,0.059,2730,EKZE500E□□821ML20S
50.0,1000.0,16×25,0.021,0.056,3010,EKZE500E□□102ML25S
63.0,15.0,5×11,0.88,3.5,165,EKZE630E□□150ME11D
63.0,33.0,6.3×11,0.35,1.4,265,EKZE630E□□330MF11D
63.0,56.0,8×11.5,0.22,0.88,500,EKZE630E□□560MHB5D
63.0,82.0,8×15,0.16,0.64,665,EKZE630E□□820MH15D
63.0,82.0,10×12.5,0.11,0.44,690,EKZE630E□□820MJC5S
63.0,120.0,8×20,0.12,0.48,820,EKZE630E□□121MH20D
63.0,120.0,10×16,0.076,0.31,950,EKZE630E□□121MJ16S
63.0,180.0,10×20,0.056,0.23,1150,EKZE630E□□181MJ20S
63.0,180.0,12.5×16,0.072,0.29,1150,EKZE630E□□181MK16S
63.0,220.0,10×25,0.046,0.19,1350,EKZE630E□□221MJ25S
63.0,270.0,12.5×20,0.041,0.13,1500,EKZE630E□□271MK20S
63.0,390.0,12.5×25,0.031,0.093,1900,EKZE630E□□391MK25S
63.0,470.0,12.5×30,0.028,0.084,2300,EKZE630E□□471MK30S
63.0,470.0,16×20,0.032,0.096,2000,EKZE630E□□471ML20S
63.0,560.0,12.5×35,0.024,0.072,2500,EKZE630E□□561MK35S
63.0,680.0,12.5×40,0.021,0.063,2800,EKZE630E□□681MK40S
63.0,680.0,16×25,0.025,0.075,2600,EKZE630E□□681ML25S
63.0,680.0,18×20,0.03,0.09,2500,EKZE630E□□681MM20S
63.0,820.0,16×31.5,0.021,0.063,2850,EKZE630E□□821MLN3S
63.0,820.0,18×25,0.024,0.072,2800,EKZE630E□□821MM25S
63.0,1000.0,16×35.5,0.019,0.057,2900,EKZE630E□□102MLP1S
63.0,1200.0,16×40,0.018,0.054,3400,EKZE630E□□122ML40S
63.0,1200.0,18×31.5,0.02,0.06,3300,EKZE630E□□122MMN3S
63.0,1500.0,18×35.5,0.018,0.054,3400,EKZE630E□□152MMP1S
63.0,1800.0,18×40,0.017,0.051,3500,EKZE630E□□182MM40S
80.0,68.0,10×12.5,0.17,0.66,480,EKZE800E□□680MJC5S
80.0,100.0,10×16,0.11,0.47,600,EKZE800E□□101MJ16S
80.0,120.0,10×20,0.084,0.34,800,EKZE800E□□121MJ20S
80.0,150.0,10×25,0.069,0.28,900,EKZE800E□□151MJ25S
80.0,150.0,12.5×16,0.11,0.34,750,EKZE800E□□151MK16S
