Cap. (μF),60 Hz,120 Hz,1k Hz,10k Hz,100k Hz
100 to 330,0.55,0.65,0.85,0.9,1.0
390 to 1000,0.7,0.75,0.9,0.95,1.0
1200 to 5100,0.75,0.8,0.9,0.95,1.0
