Cap. (μF),60 Hz,120 Hz,1 k Hz,10 k Hz,100 k Hz
2.2 to 330,0.55,0.65,0.85,0.9,1.0
470 to 1000,0.7,0.75,0.9,0.95,1.0
2200 to 4700,0.75,0.8,0.9,0.95,1.0
