Case size (mm) (øD×L),Impedance (Ω) +20℃,Impedance (Ω) -10℃,Impedance (Ω) +105℃,Ripple current (mA rms)
8 × 11.5,0.16,0.72,--,490
8 × 15,0.112,0.504,--,590
8 × 20,0.096,0.432,--,810
10 × 12.5,0.112,0.448,--,600
10 × 16,0.072,0.288,--,930
10 × 20,0.054,0.224,--,1120
10 × 25,0.044,0.176,--,1200
12.5 × 20,0.043,0.135,--,1400
12.5 × 25,0.034,0.108,--,1800
12.5 × 30,0.03,0.099,--,2200
12.5 × 35,0.023,0.07,--,2380
16 × 20,0.032,0.108,--,1450
16 × 25,0.025,0.076,--,2500
