Case size (mm) (øD×L),Impedance (Ω) +20℃,Impedance (Ω) -10℃,Impedance (Ω) +105℃,Ripple current (mA rms)
5 × 11,0.34,1.13,--,250
8 × 15,0.045,0.135,--,1140
8 × 20,0.033,0.099,--,1430
10 × 20,0.023,0.069,--,1890
10 × 25,0.022,0.066,--,2150
12.5 × 25,0.018,0.045,--,2660
12.5 × 30,0.016,0.04,--,3160
12.5 × 35,0.014,0.035,--,3270
16 × 25,0.016,0.04,--,3320
