Case size (mm) (øD×L),ESR (Ω) (100 kHz) +20 ℃,ESR (Ω) (100 kHz) -10 ℃,Ripple current (mA rms) (100 kHz) +105 ℃
10 × 16,0.068,0.136,2500
10 × 20,0.052,0.104,3000
12.5 × 20,0.038,0.076,3250
12.5 × 25,0.03,0.06,4000
