Feature,Description
Endurance,125 °C 2000 h to 5000 h or 135 °C 1000 h to 2000 h
Size Comparison,Smaller than series TA
Ripple Current Performance,20 to 40% higher than TA series at high frequency
Compliance 1,AEC-Q200 compliant
Compliance 2,RoHS compliant
