Freq.(Hz),60,120,1k,10k,100k
2.2 to 10,0.75,1.0,1.4,1.55,1.65
22 to 470,0.85,1.0,1.2,1.25,1.3
1000 to 3300,0.95,1.0,1.05,1.1,1.15
