Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UKA1A221MED,EOL,10.0,220.00,6.3,11.0,-55,105,2000,0.59,0.26,66,175,,,,,,,,4000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1A331MPD,MP,10.0,330.00,8.0,11.5,-55,105,2000,1.19,0.26,99,240,,,,,,,,3000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1A471MPD,MP,10.0,470.00,8.0,11.5,-55,105,2000,1.19,0.26,141,280,,,,,,,,3000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1A102MPD,MP,10.0,1000.00,10.0,16.0,-55,105,2000,1.77,0.26,300,500,,,,,,,,1800,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1A222MHD,MP,10.0,2200.00,12.5,20.0,-55,105,2000,3.43,0.28,660,810,,,,,,,,1000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1A332MHD,MP,10.0,3300.00,12.5,25.0,-55,105,2000,4.56,0.30,990,1050,,,,,,,,800,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1A472MHD,MP,10.0,4700.00,12.5,35.5,-55,105,2000,7.06,0.32,1410,1300,,,,,,,,500,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1A682MHD,MP,10.0,6800.00,12.5,40.0,-55,105,2000,7.57,0.36,2040,1570,,,,,,,,400,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1A103MHD,MP,10.0,10000.00,16.0,35.5,-55,105,2000,11.80,0.44,3000,1890,,,,,,,,300,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1A153MHD,MP,10.0,15000.00,18.0,40.0,-55,105,2000,17.70,0.54,4500,2400,,,,,,,,200,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C220MDD,EOL,16.0,22.00,5.0,11.0,-55,105,2000,0.44,0.22,11,54,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C330MDD,EOL,16.0,33.00,5.0,11.0,-55,105,2000,0.44,0.22,16,65,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C470MDD,EOL,16.0,47.00,5.0,11.0,-55,105,2000,0.44,0.22,23,79,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C101MDD,EOL,16.0,100.00,5.0,11.0,-55,105,2000,0.44,0.22,48,115,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C221MED,EOL,16.0,220.00,6.3,11.0,-55,105,2000,0.59,0.22,106,190,,,,,,,,4000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C331MPD,MP,16.0,330.00,8.0,11.5,-55,105,2000,1.19,0.22,158,265,,,,,,,,3000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C471MPD,MP,16.0,470.00,8.0,11.5,-55,105,2000,1.19,0.22,226,315,,,,,,,,3000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C102MPD,MP,16.0,1000.00,10.0,16.0,-55,105,2000,1.77,0.22,480,560,,,,,,,,1800,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C222MHD,MP,16.0,2200.00,12.5,20.0,-55,105,2000,3.43,0.24,1056,920,,,,,,,,1000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C332MHD,MP,16.0,3300.00,12.5,30.5,-55,105,2000,6.01,0.26,1584,1270,,,,,,,,600,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C472MHD,MP,16.0,4700.00,12.5,35.5,-55,105,2000,7.06,0.28,2256,1480,,,,,,,,500,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C682MHD,MP,16.0,6800.00,16.0,30.5,-55,105,2000,9.60,0.32,3264,1780,,,,,,,,300,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1C103MHD,MP,16.0,10000.00,18.0,35.5,-55,105,2000,14.20,0.40,4800,2060,,,,,,,,250,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E220MDD,EOL,25.0,22.00,5.0,11.0,-55,105,2000,0.44,0.18,17,58,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E330MDD,EOL,25.0,33.00,5.0,11.0,-55,105,2000,0.44,0.18,25,68,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E470MDD,EOL,25.0,47.00,5.0,11.0,-55,105,2000,0.44,0.18,35,83,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E101MED,EOL,25.0,100.00,6.3,11.0,-55,105,2000,0.59,0.18,75,140,,,,,,,,4000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E221MPD,MP,25.0,220.00,8.0,11.5,-55,105,2000,1.19,0.18,165,240,,,,,,,,3000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E331MPD,MP,25.0,330.00,8.0,11.5,-55,105,2000,1.19,0.18,248,290,,,,,,,,3000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E471MPD,MP,25.0,470.00,10.0,12.5,-55,105,2000,1.49,0.18,353,380,,,,,,,,2000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E102MPD,MP,25.0,1000.00,10.0,20.0,-55,105,2000,2.34,0.18,750,680,,,,,,,,1400,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E222MHD,MP,25.0,2200.00,12.5,30.5,-55,105,2000,6.01,0.20,1650,1200,,,,,,,,600,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E332MHD,MP,25.0,3300.00,12.5,35.5,-55,105,2000,7.06,0.22,2475,1400,,,,,,,,500,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E472MHD,MP,25.0,4700.00,16.0,30.5,-55,105,2000,9.60,0.24,3525,1710,,,,,,,,300,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1E682MHD,MP,25.0,6800.00,18.0,35.5,-55,105,2000,14.20,0.28,5100,2040,,,,,,,,250,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V220MDD,EOL,35.0,22.00,5.0,11.0,-55,105,2000,0.44,0.16,23,61,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V330MDD,EOL,35.0,33.00,5.0,11.0,-55,105,2000,0.44,0.16,35,75,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V470MDD,EOL,35.0,47.00,5.0,11.0,-55,105,2000,0.44,0.16,49,93,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V101MED,EOL,35.0,100.00,6.3,11.0,-55,105,2000,0.59,0.16,105,150,,,,,,,,4000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V221MPD,MP,35.0,220.00,8.0,11.5,-55,105,2000,1.19,0.16,231,260,,,,,,,,3000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V331MPD,MP,35.0,330.00,10.0,12.5,-55,105,2000,1.49,0.16,347,350,,,,,,,,2000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V471MPD,MP,35.0,470.00,10.0,16.0,-55,105,2000,1.77,0.16,494,460,,,,,,,,1800,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V102MHD,MP,35.0,1000.00,12.5,25.0,-55,105,2000,4.56,0.16,1050,860,,,,,,,,800,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V222MHD,MP,35.0,2200.00,12.5,40.0,-55,105,2000,7.57,0.18,2310,1260,,,,,,,,400,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V332MHD,MP,35.0,3300.00,16.0,35.5,-55,105,2000,11.80,0.20,3465,1610,,,,,,,,300,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1V472MHD,MP,35.0,4700.00,18.0,35.5,-55,105,2000,14.20,0.22,4935,1910,,,,,,,,250,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H220MDD,EOL,50.0,22.00,5.0,11.0,-55,105,2000,0.44,0.14,33,68,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H330MDD,EOL,50.0,33.00,5.0,11.0,-55,105,2000,0.44,0.14,50,90,,,,,,,,6000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H470MED,EOL,50.0,47.00,6.3,11.0,-55,105,2000,0.59,0.14,71,115,,,,,,,,4000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H101MPD,MP,50.0,100.00,8.0,11.5,-55,105,2000,1.19,0.14,150,190,,,,,,,,3000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H221MPD,MP,50.0,220.00,10.0,12.5,-55,105,2000,1.49,0.14,330,300,,,,,,,,2000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H331MPD,MP,50.0,330.00,10.0,16.0,-55,105,2000,1.77,0.14,495,410,,,,,,,,1800,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H471MHD,MP,50.0,470.00,12.5,20.0,-55,105,2000,3.43,0.14,705,530,,,,,,,,1000,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H102MHD,MP,50.0,1000.00,12.5,30.5,-55,105,2000,6.01,0.14,1500,1040,,,,,,,,600,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H222MHD,MP,50.0,2200.00,16.0,35.5,-55,105,2000,11.80,0.16,3300,1470,,,,,,,,300,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
UKA1H332MHD,MP,50.0,3300.00,18.0,35.5,-55,105,2000,14.20,0.18,4950,1770,,,,,,,,250,Radial Lead,105degC Hi-Grade,Uni-Polar,Normal
