Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPA1A102MPD,MP,10.0,1000.00,8.0,20.0,-55,105,3000,1.66,0.19,300,1220,,,,,,0.088,0.044,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A102MPD6,MP,10.0,1000.00,10.0,12.5,-55,105,4000,1.49,0.19,300,900,,,,,,0.126,0.063,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A102MPD3,MP,10.0,1000.00,10.0,16.0,-55,105,4000,1.77,0.19,300,1240,,,,,,0.098,0.049,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A122MPD,MP,10.0,1200.00,8.0,20.0,-55,105,3000,1.66,0.19,360,1220,,,,,,0.088,0.044,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A122MPD6,MP,10.0,1200.00,10.0,16.0,-55,105,4000,1.77,0.19,360,1240,,,,,,0.098,0.049,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A152MPD,MP,10.0,1500.00,10.0,20.0,-55,105,4000,2.34,0.19,450,1490,,,,,,0.07,0.035,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A182MPD,MP,10.0,1800.00,10.0,20.0,-55,105,4000,2.34,0.19,540,1490,,,,,,0.07,0.035,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A182MPD6,MP,10.0,1800.00,10.0,25.0,-55,105,4000,3.07,0.19,540,1680,,,,,,0.066,0.033,1200,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A222MPD,MP,10.0,2200.00,10.0,25.0,-55,105,4000,3.07,0.21,660,1680,,,,,,0.066,0.033,1200,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A222MHD3,MP,10.0,2200.00,12.5,20.0,-55,105,5000,3.43,0.21,660,1890,,,,,,0.058,0.029,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A272MHD,MP,10.0,2700.00,12.5,20.0,-55,105,5000,3.43,0.21,810,1890,,,,,,0.058,0.029,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A332MHD,MP,10.0,3300.00,12.5,25.0,-55,105,5000,4.56,0.23,990,2280,,,,,,0.044,0.022,800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A392MHD,MP,10.0,3900.00,12.5,25.0,-55,105,5000,4.56,0.23,1170,2280,,,,,,0.044,0.022,800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A472MHD,MP,10.0,4700.00,12.5,30.5,-55,105,5000,6.01,0.25,1410,2720,,,,,,0.036,0.018,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A472MHD6,MP,10.0,4700.00,16.0,20.0,-55,105,5000,6.60,0.25,1410,2330,,,,,,0.052,0.026,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A562MHD,MP,10.0,5600.00,12.5,35.5,-55,105,5000,7.06,0.27,1680,2940,,,,,,0.032,0.016,500,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A682MHD,MP,10.0,6800.00,16.0,25.0,-55,105,5000,8.20,0.29,2040,2760,,,,,,0.038,0.019,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A822MHD,MP,10.0,8200.00,16.0,30.5,-55,105,5000,9.60,0.33,2460,2810,,,,,,0.034,0.017,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1A822MHD6,MP,10.0,8200.00,18.0,25.0,-55,105,5000,10.60,0.33,2460,2850,,,,,,0.036,0.018,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C331MPD,MP,16.0,330.00,8.0,11.5,-55,105,3000,1.19,0.16,158,630,,,,,,0.18,0.09,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C391MPD,MP,16.0,390.00,8.0,11.5,-55,105,3000,1.19,0.16,187,630,,,,,,0.18,0.09,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C471MPD,MP,16.0,470.00,10.0,12.5,-55,105,4000,1.49,0.16,226,900,,,,,,0.126,0.063,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
