Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,150,0.22,0.58,5,11,-40,105,1.945,4000,2.3,9,6000,UHE0J151MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,210,146.85,199.72,177.69,126.29,EOL,945,Normal,0.44
6.3,330,0.22,0.22,6.3,11,-40,105,0.884,4000,0.87,21,4000,UHE0J331MED,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,340,340,237.76,323.36,287.69,204.48,EOL,2079,Normal,0.59
6.3,680,0.22,0.13,8,11.5,-40,105,0.429,6000,0.52,43,3000,UHE0J681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,640,640,481.2,630.38,577.44,418.65,MP,4284,Normal,1.19
6.3,820,0.22,0.08,10,12.5,-40,105,0.356,6000,0.32,52,2000,UHE0J821MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,865,865,650.38,851.99,780.45,565.83,MP,5166,Normal,1.49
6.3,1000,0.22,0.087,8,15,-40,105,0.318,6000,0.35,63,2000,UHE0J102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,840,840,631.58,827.37,757.89,549.47,MP,6300,Normal,1.36
6.3,1200,0.22,0.069,8,20,-40,105,0.265,6000,0.27,76,2000,UHE0J122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1050,1050,840,1050,999.6,789.6,MP,7560,Normal,1.66
6.3,1200,0.22,0.06,10,16,-40,105,0.265,6000,0.24,76,1800,UHE0J122MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1210,1210,968,1210,1151.92,909.92,MP,7560,Normal,1.77
6.3,1500,0.22,0.046,10,20,-40,105,0.212,6000,0.18,95,1400,UHE0J152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1400,1400,1120,1400,1332.8,1052.8,MP,9450,Normal,2.34
6.3,1800,0.22,0.049,12.5,15,-40,105,0.177,8000,0.16,113,1200,UHE0J182MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1450,1450,1160,1450,1380.4,1090.4,MP,11340,Normal,2.96
6.3,2200,0.24,0.042,10,25,-40,105,0.169,6000,0.17,139,1200,UHE0J222MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1650,1650,1320,1650,1570.8,1240.8,MP,13860,Normal,3.07
