Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current
50,1200,0.111,0.023,16,20,0.1,0.069,3100
50,1500,0.088,0.019,12.5,40,0.1,0.057,4500
50,1500,0.088,0.018,16,25,0.1,0.054,3600
50,1500,0.088,0.029,18,20,0.1,0.087,3200
50,2200,0.06,0.018,16,31.5,0.1,0.054,4100
50,2200,0.06,0.022,18,25,0.1,0.066,3700
50,2700,0.049,0.016,16,35.5,0.1,0.048,4400
50,2700,0.049,0.014,16,40,0.1,0.042,4800
50,2700,0.049,0.019,18,31.5,0.1,0.057,4200
50,3300,0.04,0.016,18,35.5,0.1,0.048,4600
50,3900,0.034,0.014,18,40,0.1,0.042,5000
63,18,6.631,0.71,5,11,0.09,3.2,240
63,47,2.54,0.28,6.3,11,0.09,1.3,420
63,82,1.456,0.18,8,11.5,0.09,0.79,720
63,100,1.194,0.13,8,11.5,0.09,0.39,1000
63,100,1.194,0.13,8,16,0.09,0.58,990
63,120,0.995,0.095,8,16,0.09,0.29,1300
63,120,0.995,0.11,10,12.5,0.09,0.44,990
63,150,0.796,0.096,8,20,0.09,0.43,1200
63,150,0.796,0.08,10,12.5,0.09,0.24,1300
63,180,0.663,0.069,8,20,0.09,0.21,1600
63,180,0.663,0.076,10,16,0.09,0.31,1200
63,220,0.543,0.058,10,16,0.09,0.17,1700
63,270,0.442,0.056,10,20,0.09,0.23,1570
63,270,0.442,0.072,12.5,16,0.09,0.27,1570
63,330,0.362,0.042,10,20,0.09,0.13,2000
63,330,0.362,0.046,10,25,0.09,0.19,1990
63,330,0.362,0.045,12.5,16,0.09,0.14,1900
63,390,0.306,0.035,10,25,0.09,0.11,2400
63,390,0.306,0.041,12.5,20,0.09,0.13,1990
63,470,0.254,0.033,12.5,20,0.09,0.099,2400
63,470,0.254,0.031,12.5,25,0.09,0.093,2460
63,560,0.213,0.028,12.5,30,0.09,0.084,2760
63,560,0.213,0.032,16,20,0.09,0.096,2380
63,680,0.176,0.025,12.5,25,0.09,0.075,2800
63,680,0.176,0.024,12.5,35,0.09,0.072,3040
63,820,0.146,0.022,12.5,30,0.09,0.066,3200
63,820,0.146,0.025,16,20,0.09,0.075,2900
63,820,0.146,0.025,16,25,0.09,0.075,2890
63,1000,0.119,0.018,12.5,35,0.09,0.054,3500
63,1000,0.119,0.02,16,25,0.09,0.06,3200
63,1200,0.099,0.021,12.5,40,0.09,0.063,3800
63,1200,0.099,0.032,18,20,0.09,0.096,3000
63,1500,0.08,0.02,16,31.5,0.09,0.06,3500
