Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
6.3,100,2.918,0.9,5,11,0.22,3.6,EKYA6R3E□□101ME11D,150
6.3,180,1.621,0.4,5,11,0.22,1.6,EKYA6R3E□□181ME11D,250
6.3,220,1.326,0.4,5,11,0.22,1.6,EKYA6R3E□□221ME11D,250
6.3,330,0.884,0.22,6.3,11,0.22,0.87,EKYA6R3E□□331MF11D,400
6.3,470,0.621,0.22,6.3,11,0.22,0.87,EKYA6R3E□□471MF11D,400
6.3,820,0.356,0.13,8,11.5,0.22,0.52,EKYA6R3E□□821MHB5D,640
6.3,1200,0.243,0.08,10,12.5,0.22,0.32,EKYA6R3E□□122MJC5S,865
6.3,1200,0.243,0.087,8,15,0.22,0.35,EKYA6R3E□□122MH15D,840
6.3,1500,0.195,0.069,8,20,0.22,0.27,EKYA6R3E□□152MH20D,1050
6.3,1800,0.162,0.06,10,16,0.22,0.24,EKYA6R3E□□182MJ16S,1300
6.3,2700,0.108,0.046,10,20,0.22,0.18,EKYA6R3E□□272MJ20S,1400
6.3,3300,0.088,0.042,10,25,0.22,0.17,EKYA6R3E□□332MJ25S,1650
6.3,3900,0.075,0.035,12.5,20,0.22,0.12,EKYA6R3E□□392MK20S,1900
6.3,4700,0.062,0.027,12.5,25,0.22,0.089,EKYA6R3E□□472MK25S,2230
6.3,5600,0.052,0.027,12.5,25,0.22,0.089,EKYA6R3E□□562MK25S,2230
6.3,10000,0.029,0.021,16,25,0.22,0.06,EKYA6R3E□□103ML25S,2930
6.3,12000,0.024,0.017,16,31.5,0.22,0.05,EKYA6R3E□□123MLN3S,3450
6.3,15000,0.019,0.015,16,35.5,0.22,0.044,EKYA6R3E□□153MLP1S,3610
10,100,2.52,0.9,5,11,0.19,3.6,EKYA100E□□101ME11D,150
10,120,2.1,0.4,5,11,0.19,1.6,EKYA100E□□121ME11D,250
10,330,0.764,0.22,6.3,11,0.19,0.87,EKYA100E□□331MF11D,400
10,560,0.45,0.13,8,11.5,0.19,0.52,EKYA100E□□561MHB5D,640
10,820,0.307,0.087,8,15,0.19,0.35,EKYA100E□□821MH15D,840
10,820,0.307,0.08,10,12.5,0.19,0.32,EKYA100E□□821MJC5S,865
10,1000,0.252,0.08,10,12.5,0.19,0.32,EKYA100E□□102MJC5S,865
10,1200,0.21,0.069,8,20,0.19,0.27,EKYA100E□□122MH20D,1050
10,1200,0.21,0.06,10,16,0.19,0.24,EKYA100E□□122MJ16S,1300
10,1800,0.14,0.046,10,20,0.19,0.18,EKYA100E□□182MJ20S,1400
10,2200,0.115,0.042,10,25,0.19,0.17,EKYA100E□□222MJ25S,1650
10,3300,0.076,0.035,12.5,20,0.19,0.12,EKYA100E□□332MK20S,1900
10,3900,0.065,0.027,12.5,25,0.19,0.089,EKYA100E□□392MK25S,2230
10,6800,0.037,0.021,16,25,0.19,0.06,EKYA100E□□682ML25S,2930
10,10000,0.025,0.017,16,31.5,0.19,0.05,EKYA100E□□103MLN3S,3450
10,12000,0.021,0.015,16,35.5,0.19,0.044,EKYA100E□□123MLP1S,3610
16,47,4.515,0.4,5,11,0.16,1.6,EKYA160E□□470ME11D,250
16,100,2.122,0.4,5,11,0.16,1.6,EKYA160E□□101ME11D,250
16,220,0.965,0.22,6.3,11,0.16,0.87,EKYA160E□□221MF11D,400
16,270,0.786,0.22,6.3,11,0.16,0.87,EKYA160E□□271MF11D,400
16,470,0.452,0.13,8,11.5,0.16,0.52,EKYA160E□□471MHB5D,640
16,680,0.312,0.087,8,15,0.16,0.35,EKYA160E□□681MH15D,840
16,680,0.312,0.08,10,12.5,0.16,0.32,EKYA160E□□681MJC5S,865
16,820,0.259,0.069,8,20,0.16,0.27,EKYA160E□□821MH20D,1050
16,1000,0.212,0.06,10,16,0.16,0.24,EKYA160E□□102MJ16S,1300
16,1500,0.141,0.046,10,20,0.16,0.18,EKYA160E□□152MJ20S,1400
16,1800,0.118,0.042,10,25,0.16,0.17,EKYA160E□□182MJ25S,1650
16,2200,0.096,0.035,12.5,20,0.16,0.12,EKYA160E□□222MK20S,1900
16,3300,0.064,0.027,12.5,25,0.16,0.089,EKYA160E□□332MK25S,2230
16,4700,0.045,0.021,16,25,0.16,0.06,EKYA160E□□472ML25S,2930
16,5600,0.038,0.021,16,25,0.16,0.06,EKYA160E□□562ML25S,2930
16,6800,0.031,0.017,16,31.5,0.16,0.05,EKYA160E□□682MLN3S,3450
16,8200,0.026,0.017,16,31.5,0.16,0.05,EKYA160E□□822MLN3S,3450
16,10000,0.021,0.015,16,35.5,0.16,0.044,EKYA160E□□103MLP1S,3610
25,33,5.627,0.4,5,11,0.14,1.6,EKYA250E□□330ME11D,250
25,47,3.951,0.4,5,11,0.14,1.6,EKYA250E□□470ME11D,250
25,68,2.731,0.4,5,11,0.14,1.6,EKYA250E□□680ME11D,250
25,150,1.238,0.22,6.3,11,0.14,0.87,EKYA250E□□151MF11D,400
25,330,0.563,0.13,8,11.5,0.14,0.52,EKYA250E□□331MHB5D,640
25,390,0.476,0.087,8,15,0.14,0.35,EKYA250E□□391MH15D,840
25,470,0.395,0.08,10,12.5,0.14,0.32,EKYA250E□□471MJC5S,865
25,560,0.332,0.069,8,20,0.14,0.27,EKYA250E□□561MH20D,1050
25,680,0.273,0.06,10,16,0.14,0.24,EKYA250E□□681MJ16S,1300
25,1000,0.186,0.046,10,20,0.14,0.18,EKYA250E□□102MJ20S,1400
25,1200,0.155,0.042,10,25,0.14,0.17,EKYA250E□□122MJ25S,1650
25,1500,0.124,0.035,12.5,20,0.14,0.12,EKYA250E□□152MK20S,1900
25,2200,0.084,0.027,12.5,25,0.14,0.089,EKYA250E□□222MK25S,2230
25,3300,0.056,0.021,16,25,0.14,0.06,EKYA250E□□332ML25S,2930
25,3900,0.048,0.021,16,25,0.14,0.06,EKYA250E□□392ML25S,2930
25,4700,0.04,0.017,16,31.5,0.14,0.05,EKYA250E□□472MLN3S,3450
25,5600,0.033,0.015,16,35.5,0.14,0.044,EKYA250E□□562MLP1S,3610
35,33,4.823,0.4,5,11,0.12,1.6,EKYA350E□□330ME11D,250
35,47,3.386,0.4,5,11,0.12,1.6,EKYA350E□□470ME11D,250
35,100,1.592,0.22,6.3,11,0.12,0.87,EKYA350E□□101MF11D,400
35,220,0.723,0.13,8,11.5,0.12,0.52,EKYA350E□□221MHB5D,640
35,270,0.589,0.087,8,15,0.12,0.35,EKYA350E□□271MH15D,840
35,330,0.482,0.08,10,12.5,0.12,0.32,EKYA350E□□331MJC5S,865
35,390,0.408,0.069,8,20,0.12,0.27,EKYA350E□□391MH20D,1050
35,470,0.339,0.06,10,16,0.12,0.24,EKYA350E□□471MJ16S,1300
35,680,0.234,0.046,10,20,0.12,0.18,EKYA350E□□681MJ20S,1400
35,820,0.194,0.042,10,25,0.12,0.17,EKYA350E□□821MJ25S,1650
35,1000,0.159,0.035,12.5,20,0.12,0.12,EKYA350E□□102MK20S,1900
35,1500,0.106,0.027,12.5,25,0.12,0.089,EKYA350E□□152MK25S,2230
35,2200,0.072,0.021,16,25,0.12,0.06,EKYA350E□□222ML25S,2930
35,2700,0.059,0.021,16,25,0.12,0.06,EKYA350E□□272ML25S,2930
35,3300,0.048,0.017,16,31.5,0.12,0.05,EKYA350E□□332MLN3S,3450
35,3900,0.041,0.015,16,35.5,0.12,0.044,EKYA350E□□392MLP1S,3610
50,1,132.629,4,5,11,0.1,16.0,EKYA500E□□1R0ME11D,30
50,2.2,60.286,2.5,5,11,0.1,10.0,EKYA500E□□2R2ME11D,43
50,3.3,40.191,2.2,5,11,0.1,8.8,EKYA500E□□3R3ME11D,53
50,4.7,28.219,1.9,5,11,0.1,7.6,EKYA500E□□4R7ME11D,88
50,10,13.263,1.5,5,11,0.1,6.0,EKYA500E□□100ME11D,100
50,22,6.029,0.7,5,11,0.1,2.8,EKYA500E□□220ME11D,180
50,27,4.912,0.7,5,11,0.1,2.8,EKYA500E□□270ME11D,250
50,47,2.822,0.3,6.3,11,0.1,1.2,EKYA500E□□470MF11D,295
50,56,2.368,0.3,6.3,11,0.1,1.2,EKYA500E□□560MF11D,295
50,100,1.326,0.17,8,11.5,0.1,0.68,EKYA500E□□101MHB5D,555
50,150,0.884,0.12,8,15,0.1,0.48,EKYA500E□□151MH15D,730
50,180,0.737,0.12,10,12.5,0.1,0.48,EKYA500E□□181MJC5S,760
50,180,0.737,0.091,8,20,0.1,0.36,EKYA500E□□181MH20D,910
50,220,0.603,0.084,10,16,0.1,0.34,EKYA500E□□221MJ16S,1050
50,330,0.402,0.06,10,20,0.1,0.24,EKYA500E□□331MJ20S,1220
50,470,0.282,0.055,10,25,0.1,0.22,EKYA500E□□471MJ25S,1440
50,470,0.282,0.045,12.5,20,0.1,0.15,EKYA500E□□471MK20S,1660
50,560,0.237,0.045,12.5,20,0.1,0.15,EKYA500E□□561MK20S,1660
50,820,0.162,0.034,12.5,25,0.1,0.11,EKYA500E□□821MK25S,1950
50,1000,0.133,0.025,16,25,0.1,0.075,EKYA500E□□102ML25S,2555
50,1200,0.111,0.025,16,25,0.1,0.075,EKYA500E□□122ML25S,2555
