Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
10,100,0.24,5,11,-55,105,3.183,1000,30,6000,UVZ1A101MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,157.5,157.5,105,140.7,129.15,84,EOL,6.3 to 100,1000,Normal,0.44
10,100,0.24,5,11,-55,105,3.183,1000,30,6000,UVZ1A101MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,168,168,105,147,131.25,84,EOL,160 to 450,1000,Normal,0.44
10,220,0.24,6.3,11,-55,105,1.447,1000,66,4000,UVZ1A221MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,262.5,262.5,175,234.5,215.25,140,EOL,6.3 to 100,2200,Normal,0.59
10,220,0.24,6.3,11,-55,105,1.447,1000,66,4000,UVZ1A221MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,280,280,175,245,218.75,140,EOL,160 to 450,2200,Normal,0.59
10,330,0.24,6.3,11,-55,105,0.965,1000,99,4000,UVZ1A331MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,315,315,210,281.4,258.3,168,EOL,6.3 to 100,3300,Normal,0.59
10,330,0.24,6.3,11,-55,105,0.965,1000,99,4000,UVZ1A331MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,241.5,241.5,210,237.3,231,189,EOL,160 to 450,3300,Normal,0.59
10,470,0.24,6.3,11,-55,105,0.677,1000,141,4000,UVZ1A471MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,375,375,250,335,307.5,200,EOL,6.3 to 100,4700,Normal,0.59
10,1000,0.24,10,12.5,-55,105,0.345,2000,300,2000,UVZ1A102MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,529,529,460,519.8,506,391,MP,6.3 to 100,10000,Normal,1.49
10,2200,0.26,10,20,-55,105,0.181,2000,660,1400,UVZ1A222MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,874,874,760,858.8,836,646,MP,6.3 to 100,22000,Normal,2.34
10,3300,0.28,12.5,20,-55,105,0.137,2000,990,1000,UVZ1A332MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1150,1150,1000,1130,1100,850,MP,6.3 to 100,33000,Normal,3.43
10,4700,0.3,12.5,25,-55,105,0.107,2000,1410,800,UVZ1A472MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1449,1449,1260,1423.8,1386,1071,MP,6.3 to 100,47000,Normal,4.56
10,6800,0.34,16,25,-55,105,0.09,2000,2040,400,UVZ1A682MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1805.5,1805.5,1570,1774.1,1727,1334.5,MP,6.3 to 100,68000,Normal,8.2
10,10000,0.42,16,35.5,-55,105,0.082,2000,3000,300,UVZ1A103MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,2173.5,2173.5,1890,2135.7,2079,1606.5,MP,6.3 to 100,100000,Normal,11.8
