Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
200,33,,,16,15,-40,105,0.2,8.038,1000,364,700,URZ2D330MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,250,,,,LTB,6600,Normal,4.74
200,47,1.411,,16,20,-40,105,0.2,5.644,1000,476,600,URZ2D470MHD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,600,300,471,405,225,LTB,9400,Normal,6.6
200,47,1.411,,18,15,-40,105,0.2,5.644,1000,476,400,URZ2D470MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,600,300,471,405,225,LTB,9400,Normal,6.31
200,68,,,18,20,-40,105,0.2,3.901,1000,644,400,URZ2D680MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,350,,,,LTB,13600,Normal,9
200,68,,,20,15,-40,105,0.2,3.901,1000,644,300,URZ2D680MRD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,350,,,,EOL,13600,Normal,7.32
200,100,1.179,,18,25,-40,105,0.2,2.653,1000,900,300,URZ2D101MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,630,420,562.8,516.6,336,LTB,20000,Normal,10.6
200,100,1.179,,20,20,-40,105,0.2,2.653,1000,900,250,URZ2D101MRD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,630,420,562.8,516.6,336,EOL,20000,Normal,9.81
200,150,0.786,,18,25,-40,105,0.2,1.768,1000,1300,300,URZ2D151MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,765,510,683.4,627.3,408,LTB,30000,Normal,10.6
250,22,,,16,15,-40,105,0.2,12.057,1000,320,700,URZ2E220MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,200,,,,LTB,5500,Normal,4.74
250,33,,,16,20,-40,105,0.2,8.038,1000,430,600,URZ2E330MHD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,250,,,,LTB,8250,Normal,6.6
250,33,,,18,15,-40,105,0.2,8.038,1000,430,400,URZ2E330MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,250,,,,LTB,8250,Normal,6.31
250,47,1.411,,18,20,-40,105,0.2,5.644,1000,570,400,URZ2E470MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,600,300,471,405,225,LTB,11750,Normal,9
250,47,1.411,,20,15,-40,105,0.2,5.644,1000,570,300,URZ2E470MRD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,600,300,471,405,225,EOL,11750,Normal,7.32
250,68,,,18,20,-40,105,0.2,3.901,1000,780,400,URZ2E680MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,350,,,,LTB,17000,Normal,9
250,100,1.179,,18,25,-40,105,0.2,2.653,1000,1100,300,URZ2E101MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,630,420,562.8,516.6,336,LTB,25000,Normal,10.6
400,10,,,16,15,-40,105,0.25,33.157,1000,260,700,URZ2G100MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,100,,,,LTB,4000,Normal,4.74
400,22,,,16,20,-40,105,0.25,15.072,1000,452,600,URZ2G220MHD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,200,,,,LTB,8800,Normal,6.6
400,22,,,18,15,-40,105,0.25,15.072,1000,452,400,URZ2G220MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,200,,,,LTB,8800,Normal,6.31
400,33,,,18,20,-40,105,0.25,10.048,1000,628,400,URZ2G330MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,250,,,,LTB,13200,Normal,9
400,47,1.764,,18,25,-40,105,0.25,7.055,1000,852,300,URZ2G470MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,600,300,471,405,225,LTB,18800,Normal,10.6
400,47,1.764,,20,20,-40,105,0.25,7.055,1000,852,250,URZ2G470MRD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,600,300,471,405,225,EOL,18800,Normal,9.81
400,68,,,20,25,-40,105,0.25,4.876,1000,1188,250,URZ2G680MRD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,350,,,,EOL,27200,Normal,11.5
