Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
10,82,,,0.75,5,11.5,,,1.5,ELXY100E□□820MEB5D,163,146.7,65.2,122.58,820
10,180,,,0.35,6.3,11.5,,,0.7,ELXY100E□□181MFB5D,273,245.7,109.2,205.3,1800
10,220,,,0.25,6.3,15,,,0.5,ELXY100E□□221MF15D,390,366.6,195,331.5,2200
10,330,,,0.17,8,12,,,0.34,ELXY100E□□331MH12D,445,418.3,222.5,378.25,3300
10,390,,,0.12,10,12.5,,,0.24,ELXY100E□□391MJC5S,625,587.5,312.5,531.25,3900
10,470,,,0.13,8,15,,,0.26,ELXY100E□□471MH15D,555,521.7,277.5,471.75,4700
10,680,,,0.095,8,20,,,0.19,ELXY100E□□681MH20D,740,700.12,443.11,642.51,6800
10,680,,,0.084,10,16,,,0.17,ELXY100E□□681MJ16S,825,780.54,494.01,716.32,6800
10,1000,,,0.062,10,20,,,0.13,ELXY100E□□102MJ20S,1040,983.95,622.75,902.99,10000
10,1200,,,0.052,10,25,,,0.11,ELXY100E□□122MJ25S,1260,1192.1,754.49,1094.01,12000
10,1500,,,0.044,10,30,,,0.088,ELXY100E□□152MJ30S,1440,1362.4,862.28,1250.3,15000
10,1800,,,0.046,12.5,20,,,0.092,ELXY100E□□182MK20S,1340,1267.78,802.4,1163.47,18000
10,2200,,,0.034,12.5,25,,,0.068,ELXY100E□□222MK25S,1690,1613.76,1270.68,1524.81,22000
10,2700,,,0.03,12.5,30,,,0.06,ELXY100E□□272MK30S,1950,1862.03,1466.17,1759.4,27000
10,3300,,,0.024,12.5,35,,,0.048,ELXY100E□□332MK35S,2220,2119.85,1669.17,2003.01,33000
10,3300,,,0.038,16,20,,,0.076,ELXY100E□□332ML20S,1630,1556.47,1225.56,1470.68,33000
10,3900,,,0.022,12.5,40,,,0.044,ELXY100E□□392MK40S,2390,2282.18,1796.99,2156.39,39000
10,3900,,,0.028,16,25,,,0.056,ELXY100E□□392ML25S,2070,1976.62,1556.39,1867.67,39000
10,5600,,,0.025,16,30,,,0.05,ELXY100E□□562ML30S,2350,2290.25,1991.53,2230.51,56000
10,6800,,,0.022,16,35,,,0.044,ELXY100E□□682ML35S,2550,2485.17,2161.02,2420.34,68000
10,8200,,,0.018,16,40,,,0.036,ELXY100E□□822ML40S,2900,2826.27,2457.63,2752.54,82000
