Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Size Code
35,1000,0.159,0.017,12.5,20,0.12,0.043,2600,G20
35,1200,0.133,0.015,12.5,25,0.12,0.038,3200,G25
35,1500,0.106,0.013,12.5,30,0.12,0.033,3795,G30
35,1800,0.088,0.012,12.5,35,0.12,0.031,4120,G35
35,2200,0.072,0.013,16,25,0.12,0.035,3810,J25
50,27,4.912,0.34,5,11.5,0.1,1.18,238,C11
50,39,3.401,0.14,6.3,11.5,0.1,0.5,385,D11
50,56,2.368,0.14,6.3,11.5,0.1,0.5,385,D11
50,100,1.326,0.074,8,12,0.1,0.22,724,E12
50,120,1.105,0.061,8,15,0.1,0.18,950,E15
50,150,0.884,0.061,10,12.5,0.1,0.18,1250,F12
50,180,0.737,0.046,8,20,0.1,0.14,1190,E20
50,220,0.603,0.042,10,16,0.1,0.12,1650,F16
50,270,0.491,0.03,10,20,0.1,0.09,2060,F20
50,330,0.402,0.028,10,25,0.1,0.084,2420,F25
50,470,0.282,0.027,12.5,20,0.1,0.068,2300,G20
50,560,0.237,0.023,12.5,25,0.1,0.059,2800,G25
50,680,0.195,0.021,12.5,30,0.1,0.052,3500,G30
50,820,0.162,0.019,12.5,35,0.1,0.051,3810,G35
50,820,0.162,0.023,16,20,0.1,0.059,3070,J20
50,1000,0.133,0.021,16,25,0.1,0.056,3270,J25
50,1500,0.088,0.015,16,20,0.1,0.038,3575,J20
50,2200,0.06,0.015,16,20,0.1,0.038,3575,J20
