Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,VC
50,4.7,0.12,5,11,33.863,EKMQ500E□□4R7ME11D,75,69,30,52.5,40.5,19.5,235
50,10,0.12,5,11,15.916,EKMQ500E□□100ME11D,82.8,80.5,46,69,57.5,34.5,500
50,22,0.12,5,11,7.234,EKMQ500E□□220ME11D,122.4,119,68,102,85,51,1100
50,33,0.12,5,11,4.823,EKMQ500E□□330ME11D,162,157.5,90,135,112.5,67.5,1650
50,47,0.12,6.3,11,3.386,EKMQ500E□□470MF11D,207,201.25,115,172.5,143.75,86.25,2350
50,68,0.12,6.3,11,2.341,EKMQ500E□□680MF11D,270,262.5,150,225,187.5,112.5,3400
50,100,0.12,8,11.5,1.592,EKMQ500E□□101MHB5D,285,266,190,247,218.5,152,5000
50,220,0.12,10,12.5,0.723,EKMQ500E□□221MJC5S,450,420,300,390,345,240,11000
50,330,0.12,10,16,0.482,EKMQ500E□□331MJ16S,615,574,410,533,471.5,328,16500
50,470,0.12,10,20,0.339,EKMQ500E□□471MJ20S,810,756,540,702,621,432,23500
50,1000,0.12,12.5,25,0.186,EKMQ500E□□102MK25S,1425,1330,950,1235,1092.5,760,50000
50,2200,0.14,16,31.5,0.109,EKMQ500E□□222MLN3S,1522.8,1522.8,1410,1480.5,1452.3,1198.5,110000
50,3300,0.16,18,35.5,0.088,EKMQ500E□□332MMP1S,1911.6,1911.6,1770,1858.5,1823.1,1504.5,165000
63,22,0.1,5,11,6.029,EKMQ630E□□220ME11D,127.8,124.25,71,106.5,88.75,53.25,1386
63,33,0.1,6.3,11,4.019,EKMQ630E□□330MF11D,180,175,100,150,125,75,2079
63,47,0.1,6.3,11,2.822,EKMQ630E□□470MF11D,216,210,120,180,150,90,2961
63,68,0.1,8,11.5,1.95,EKMQ630E□□680MHB5D,279,271.25,155,232.5,193.75,116.25,4284
63,100,0.1,8,11.5,1.326,EKMQ630E□□101MHB5D,300,280,200,260,230,160,6300
63,220,0.1,10,16,0.603,EKMQ630E□□221MJ16S,502.5,469,335,435.5,385.25,268,13860
63,330,0.1,10,20,0.402,EKMQ630E□□331MJ20S,765,714,510,663,586.5,408,20790
63,470,0.1,12.5,20,0.282,EKMQ630E□□471MK20S,960,896,640,832,736,512,29610
63,1000,0.1,16,25,0.159,EKMQ630E□□102ML25S,1395,1302,930,1209,1069.5,744,63000
63,2200,0.12,18,35.5,0.096,EKMQ630E□□222MMP1S,1782,1782,1650,1732.5,1699.5,1402.5,138600
100,1,0.08,5,11,106.103,EKMQ101E□□1R0ME11D,37.5,34.5,15,26.25,20.25,9.75,100
100,2.2,0.08,5,11,48.229,EKMQ101E□□2R2ME11D,52.5,48.3,21,36.75,28.35,13.65,220.00000000000003
100,3.3,0.08,5,11,32.153,EKMQ101E□□3R3ME11D,72.5,66.7,29,50.75,39.15,18.85,330
100,4.7,0.08,5,11,22.575,EKMQ101E□□4R7ME11D,80,73.6,32,56,43.2,20.8,470
100,10,0.08,5,11,10.61,EKMQ101E□□100ME11D,90,87.5,50,75,62.5,37.5,1000
100,22,0.08,6.3,11,4.823,EKMQ101E□□220MF11D,167.4,162.75,93,139.5,116.25,69.75,2200
100,33,0.08,8,11.5,3.215,EKMQ101E□□330MHB5D,234,227.5,130,195,162.5,97.5,3300
100,47,0.08,8,11.5,2.258,EKMQ101E□□470MHB5D,252,245,140,210,175,105,4700
100,68,0.08,10,12.5,1.56,EKMQ101E□□680MJC5S,342,332.5,190,285,237.5,142.5,6800
100,100,0.08,10,16,1.061,EKMQ101E□□101MJ16S,360,336,240,312,276,192,10000
100,220,0.08,12.5,20,0.482,EKMQ101E□□221MK20S,585,546,390,507,448.5,312,22000
100,330,0.08,12.5,25,0.322,EKMQ101E□□331MK25S,810,756,540,702,621,432,33000
100,470,0.08,16,25,0.226,EKMQ101E□□471ML25S,1072.5,1001,715,929.5,822.25,572,47000
100,1000,0.08,18,35.5,0.133,EKMQ101E□□102MMP1S,1440,1344,960,1248,1104,768,100000
160,68,0.2,12.5,20,3.901,EKMQ161E□□680MK20S,450,437.5,250,375,312.5,187.5,10880
160,100,0.2,12.5,25,2.653,EKMQ161E□□101MK25S,465,434,310,403,356.5,248,16000
160,220,0.2,16,31.5,1.206,EKMQ161E□□221MLN3S,810,756,540,702,621,432,35200
160,330,0.2,18,35.5,0.804,EKMQ161E□□331MMP1S,1057.5,987,705,916.5,810.75,564,52800
160,470,0.2,18,40,0.564,EKMQ161E□□471MM40S,1282.5,1197,855,1111.5,983.25,684,75200
200,47,0.2,12.5,20,5.644,EKMQ201E□□470MK20S,351,341.25,195,292.5,243.75,146.25,9400
200,68,0.2,12.5,25,3.901,EKMQ201E□□680MK25S,450,437.5,250,375,312.5,187.5,13600
200,100,0.2,16,25,2.653,EKMQ201E□□101ML25S,502.5,469,335,435.5,385.25,268,20000
200,220,0.2,16,35.5,1.206,EKMQ201E□□221MLP1S,750,700,500,650,575,400,44000
200,330,0.2,18,40,0.804,EKMQ201E□□331MM40S,1012.5,945,675,877.5,776.25,540,66000
250,47,0.2,12.5,20,5.644,EKMQ251E□□470MK20S,342,332.5,190,285,237.5,142.5,11750
250,68,0.2,16,25,3.901,EKMQ251E□□680ML25S,486,472.5,270,405,337.5,202.5,17000
250,100,0.2,16,25,2.653,EKMQ251E□□101ML25S,465,434,310,403,356.5,248,25000
250,220,0.2,18,35.5,1.206,EKMQ251E□□221MMP1S,727.5,679,485,630.5,557.75,388,55000
350,22,0.24,12.5,20,14.469,EKMQ351E□□220MK20S,234,227.5,130,195,162.5,97.5,7700
350,33,0.24,12.5,25,9.646,EKMQ351E□□330MK25S,306,297.5,170,255,212.5,127.5,11550
350,47,0.24,16,25,6.773,EKMQ351E□□470ML25S,414,402.5,230,345,287.5,172.5,16450
350,68,0.24,16,25,4.681,EKMQ351E□□680ML25S,513,498.75,285,427.5,356.25,213.75,23800
350,100,0.24,18,31.5,3.183,EKMQ351E□□101MMN3S,562.5,525,375,487.5,431.25,300,35000
400,22,0.24,12.5,25,14.469,EKMQ401E□□220MK25S,261,253.75,145,217.5,181.25,108.75,8800
400,33,0.24,16,25,9.646,EKMQ401E□□330ML25S,351,341.25,195,292.5,243.75,146.25,13200
400,47,0.24,16,25,6.773,EKMQ401E□□470ML25S,360,350,200,300,250,150,18800
400,68,0.24,16,31.5,4.681,EKMQ401E□□680MLN3S,432,420,240,360,300,180,27200
400,100,0.24,18,35.5,3.183,EKMQ401E□□101MMP1S,465,434,310,403,356.5,248,40000
450,22,0.24,12.5,25,14.469,EKMQ451E□□220MK25S,180,175,100,150,125,75,9900
450,33,0.24,16,25,9.646,EKMQ451E□□330ML25S,225,218.75,125,187.5,156.25,93.75,14850
450,47,0.24,16,31.5,6.773,EKMQ451E□□470MLN3S,279,271.25,155,232.5,193.75,116.25,21150
450,68,0.24,18,35.5,4.681,EKMQ451E□□680MMP1S,333,323.75,185,277.5,231.25,138.75,30600
450,100,0.24,18,40,3.183,EKMQ451E□□101MM40S,300,280,200,260,230,160,45000
