Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
400,120,0.631,0.524,16,30,0.24,2.653,EKXN401E□□121ML30S,1957.5,1783.5,870,1452.9,48000
400,120,0.631,0.524,18,25,0.24,2.653,EKXN401E□□121MM25S,1867.5,1701.5,830,1386.1,48000
400,150,0.505,0.419,16,35,0.24,2.122,EKXN401E□□151ML35S,2238.75,2039.75,995,1661.65,60000
400,150,0.505,0.419,16,40,0.24,2.122,EKXN401E□□151ML40S,2317.5,2111.5,1030,1720.1,60000
400,150,0.505,0.419,18,30,0.24,2.122,EKXN401E□□151MM30S,2238.75,2039.75,995,1661.65,60000
400,180,0.421,0.349,16,45,0.24,1.768,EKXN401E□□181ML45S,2565,2337,1140,1903.8,72000
400,180,0.421,0.349,18,35,0.24,1.768,EKXN401E□□181MM35S,2542.5,2316.5,1130,1887.1,72000
400,220,0.344,0.286,16,50,0.24,1.447,EKXN401E□□221ML50S,2902.5,2644.5,1290,2154.3,88000
400,220,0.344,0.286,18,40,0.24,1.447,EKXN401E□□221MM40S,2880,2624,1280,2137.6,88000
400,220,0.344,0.286,18,45,0.24,1.447,EKXN401E□□221MM45S,2947.5,2685.5,1310,2187.7,88000
400,270,0.281,0.233,18,50,0.24,1.179,EKXN401E□□271MM50S,3262.5,2972.5,1450,2421.5,108000
420,15,4.192,3.395,10,16,0.24,21.221,EKXN421E□□150MJ16S,462.5,416.25,185,323.75,6300
420,22,2.858,2.315,10,20,0.24,14.469,EKXN421E□□220MJ20S,612.5,551.25,245,428.75,9240
420,27,2.329,1.886,10,25,0.24,11.789,EKXN421E□□270MJ25S,737.5,663.75,295,516.25,11340
420,27,2.329,1.886,12.5,16,0.24,11.789,EKXN421E□□270MK16S,712.5,641.25,285,498.75,11340
420,33,1.905,1.543,10,30,0.24,9.646,EKXN421E□□330MJ30S,875,787.5,350,612.5,13860
420,39,1.612,1.306,10,35,0.24,8.162,EKXN421E□□390MJ35S,1012.5,911.25,405,708.75,16380
420,39,1.612,1.306,12.5,20,0.24,8.162,EKXN421E□□390MK20S,950,855,380,665,16380
420,39,1.612,1.306,16,16,0.24,8.162,EKXN421E□□390ML16S,1000,900,400,700,16380
420,47,1.338,1.084,10,40,0.24,6.773,EKXN421E□□470MJ40S,1162.5,1046.25,465,813.75,19740
420,56,1.123,0.909,10,45,0.24,5.684,EKXN421E□□560MJ45S,1325,1192.5,530,927.5,23520
420,56,1.123,0.909,10,50,0.24,5.684,EKXN421E□□560MJ50S,1362.5,1226.25,545,953.75,23520
420,56,1.123,0.909,12.5,25,0.24,5.684,EKXN421E□□560MK25S,1250,1125,500,875,23520
420,56,1.123,0.909,18,16,0.24,5.684,EKXN421E□□560MM16S,1250,1125,500,875,23520
420,68,0.925,0.749,12.5,30,0.24,4.681,EKXN421E□□680MK30S,1462.5,1316.25,585,1023.75,28560
420,68,0.925,0.749,16,20,0.24,4.681,EKXN421E□□680ML20S,1400,1260,560,980,28560
420,82,0.767,0.621,12.5,35,0.24,3.882,EKXN421E□□820MK35S,1687.5,1518.75,675,1181.25,34440
