Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@500Hz,Ripple Current 85°C@50Hz,Ripple Current 85°C@60Hz,VC
50,0.1,0.12,5,11,1591.551,1.5,1.1,1.3,1.2,0.5,0.5,5
50,0.15,0.12,5,11,1061.034,1.5,1.5,1.3,1.2,0.5,0.5,7.5
50,0.22,0.12,5,11,723.432,3,2.5,2.6,2.4,1,1,11
50,0.33,0.12,5,11,482.288,6,4,5.2,4.8,2,2,16.5
50,0.47,0.12,5,11,338.628,10.5,7,9.1,8.4,3.5,3.5,23.5
50,1,0.12,5,11,159.155,19.5,13,16.9,15.6,6.5,6.5,50
50,2.2,0.12,5,11,72.343,34.5,23,29.9,27.6,14.95,14.95,110.00000000000001
50,3.3,0.12,5,11,48.229,52.5,35,45.5,42,22.75,22.75,165
50,4.7,0.12,5,11,33.863,61.5,41,53.3,49.2,26.65,26.65,235
50,10,0.12,5,11,15.916,90,60,78,72,48,48,500
50,22,0.12,5,11,7.234,142.5,95,123.5,114,76,76,1100
50,33,0.12,5,11,4.823,195,130,169,156,104,104,1650
50,47,0.12,5,11,3.386,202.5,135,175.5,162,108,108,2350
50,100,0.12,6.3,11,1.592,258,215,247.25,236.5,172,172,5000
50,220,0.12,8,11.5,0.723,444,370,425.5,407,296,296,11000
50,330,0.12,10,12.5,0.482,600,500,575,550,400,400,16500
50,470,0.12,10,16,0.339,816,680,782,748,544,544,23500
50,1000,0.12,10,20,0.186,1164,970,1115.5,1067,776,776,50000
50,2200,0.12,12.5,20,0.096,1357,1180,1298,1239,944,944,110000
50,3300,0.12,16,25,0.072,2300,2000,2200,2100,1600,1600,165000
50,4700,0.12,16,31.5,0.056,2806,2440,2684,2562,1952,1952,235000
50,6800,0.12,18,35.5,0.047,3335,2900,3190,3045,2320,2320,340000
63,10,0.1,5,11,13.263,105,70,91,84,56,56,630
63,22,0.1,5,11,6.029,165,110,143,132,88,88,1386
63,33,0.1,6.3,11,4.019,210,140,182,168,112,112,2079
63,47,0.1,6.3,11,2.822,285,190,247,228,152,152,2961
63,100,0.1,8,11.5,1.326,324,270,310.5,297,216,216,6300
63,220,0.1,10,12.5,0.603,522,435,500.25,478.5,348,348,13860
63,330,0.1,10,16,0.402,708,590,678.5,649,472,472,20790
63,470,0.1,10,20,0.282,912,760,874,836,608,608,29610
63,1000,0.1,12.5,25,0.159,1620,1350,1552.5,1485,1080,1080,63000
63,2200,0.1,16,35.5,0.084,2426.5,2110,2321,2215.5,1688,1688,138600
63,3300,0.1,18,35.5,0.064,2921,2540,2794,2667,2032,2032,207900
63,4700,0.1,18,35.5,0.051,3151,2740,3014,2877,2192,2192,296100
100,0.47,0.08,5,11,225.752,12,8,10.4,9.6,4,4,47
100,1,0.08,5,11,106.103,24,16,20.8,19.2,8,8,100
100,2.2,0.08,5,11,48.229,52.5,35,45.5,42,22.75,22.75,220.00000000000003
100,3.3,0.08,5,11,32.153,67.5,45,58.5,54,29.25,29.25,330
100,4.7,0.08,5,11,22.575,75,50,65,60,32.5,32.5,470
100,10,0.08,5,11,10.61,112.5,75,97.5,90,60,60,1000
100,22,0.08,6.3,11,4.823,202.5,135,175.5,162,108,108,2200
100,33,0.08,8,11.5,3.215,277.5,185,240.5,222,148,148,3300
100,47,0.08,10,12.5,2.258,352.5,235,305.5,282,188,188,4700
100,100,0.08,10,20,1.061,456,380,437,418,304,304,10000
100,220,0.08,12.5,25,0.482,754.8,629,723.35,691.9,503.2,503.2,22000
100,330,0.08,12.5,25,0.322,912,760,874,836,608,608,33000
100,470,0.08,16,25,0.226,1140,950,1092.5,1045,760,760,47000
