Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -10°C@100kHz,Ripple Current 105°C@100kHz,Size Code
6.3,150,1.945,0.5,5,11.5,0.22,1.0,182,C11
6.3,330,0.884,0.25,6.3,11.5,0.22,0.5,295,D11
6.3,470,0.621,0.117,8,12,0.22,0.234,567,E12
6.3,560,0.521,0.117,8,12,0.22,0.234,567,E12
6.3,680,0.429,0.117,8,12,0.22,0.234,567,E12
6.3,1000,0.292,0.085,8,15,0.22,0.17,733,E15
6.3,1000,0.292,0.09,10,12.5,0.22,0.18,764,F12
6.3,1200,0.243,0.09,10,12.5,0.22,0.18,764,F12
6.3,1200,0.243,0.068,10,16,0.22,0.136,1060,F16
6.3,1500,0.195,0.065,8,20,0.22,0.13,996,E20
6.3,1500,0.195,0.068,10,16,0.22,0.136,1060,F16
6.3,1800,0.162,0.062,12.5,15,0.22,0.124,1210,G15
6.3,2200,0.133,0.052,10,20,0.22,0.104,1230,F20
6.3,2200,0.133,0.045,10,25,0.22,0.09,1450,F25
6.3,2700,0.108,0.045,10,25,0.22,0.09,1450,F25
6.3,3300,0.088,0.035,10,30,0.22,0.07,1830,F30
6.3,3300,0.088,0.038,12.5,20,0.22,0.076,1700,G20
6.3,3900,0.075,0.03,12.5,25,0.22,0.06,1950,G25
6.3,4700,0.062,0.03,12.5,25,0.22,0.06,1950,G25
6.3,4700,0.062,0.038,18,16,0.22,0.076,2010,K16
6.3,5600,0.052,0.025,12.5,30,0.22,0.05,2330,G30
6.3,5600,0.052,0.029,16,20,0.22,0.058,2230,J20
6.3,6800,0.043,0.022,12.5,35,0.22,0.044,2620,G35
6.3,8200,0.036,0.017,12.5,40,0.22,0.034,3160,G40
6.3,8200,0.036,0.022,16,25,0.22,0.044,2650,J25
6.3,8200,0.036,0.028,18,20,0.22,0.056,2500,K20
6.3,10000,0.029,0.018,16,31.5,0.22,0.036,3210,J31
6.3,10000,0.029,0.02,18,25,0.22,0.04,3000,K25
6.3,12000,0.024,0.02,18,25,0.22,0.04,3000,K25
6.3,15000,0.019,0.015,18,35.5,0.22,0.03,3960,K35
6.3,18000,0.016,0.014,18,40,0.22,0.028,4300,K40
10,100,2.52,0.5,5,11.5,0.19,1.0,182,C11
10,180,1.4,0.25,6.3,11.5,0.19,0.5,295,D11
10,220,1.145,0.25,6.3,11.5,0.19,0.5,295,D11
10,330,0.764,0.117,8,12,0.19,0.234,567,E12
10,470,0.536,0.117,8,12,0.19,0.234,567,E12
10,560,0.45,0.117,8,12,0.19,0.234,567,E12
10,820,0.307,0.085,8,15,0.19,0.17,733,E15
10,820,0.307,0.09,10,12.5,0.19,0.18,764,F12
10,1000,0.252,0.065,8,20,0.19,0.13,996,E20
10,1000,0.252,0.09,10,12.5,0.19,0.18,764,F12
10,1000,0.252,0.068,10,16,0.19,0.136,1060,F16
10,1200,0.21,0.052,10,20,0.19,0.104,1230,F20
10,1200,0.21,0.068,10,16,0.19,0.136,1060,F16
10,1500,0.168,0.052,10,20,0.19,0.104,1230,F20
10,1500,0.168,0.062,12.5,15,0.19,0.124,1210,G15
10,1800,0.14,0.052,10,20,0.19,0.104,1230,F20
10,1800,0.14,0.045,10,25,0.19,0.09,1450,F25
10,2200,0.115,0.045,10,25,0.19,0.09,1450,F25
10,2200,0.115,0.038,12.5,20,0.19,0.076,1700,G20
10,2700,0.093,0.035,10,30,0.19,0.07,1830,F30
10,2700,0.093,0.038,12.5,20,0.19,0.076,1700,G20
10,3300,0.076,0.03,12.5,25,0.19,0.06,1950,G25
10,3300,0.076,0.029,16,20,0.19,0.058,2230,J20
10,3900,0.065,0.03,12.5,25,0.19,0.06,1950,G25
10,3900,0.065,0.038,18,16,0.19,0.076,2010,K16
10,4700,0.054,0.025,12.5,30,0.19,0.05,2330,G30
10,4700,0.054,0.029,16,20,0.19,0.058,2230,J20
10,5600,0.045,0.022,12.5,35,0.19,0.044,2620,G35
10,5600,0.045,0.022,16,25,0.19,0.044,2650,J25
10,6800,0.037,0.017,12.5,40,0.19,0.034,3160,G40
10,6800,0.037,0.018,16,31.5,0.19,0.036,3210,J31
10,8200,0.031,0.018,16,31.5,0.19,0.036,3210,J31
10,8200,0.031,0.02,18,25,0.19,0.04,3000,K25
10,10000,0.025,0.015,16,40,0.19,0.03,3880,J40
10,10000,0.025,0.015,18,35.5,0.19,0.03,3960,K35
10,12000,0.021,0.014,18,40,0.19,0.028,4300,K40
10,15000,0.017,0.014,18,40,0.19,0.028,4300,K40
16,22,9.646,0.5,5,11.5,0.16,1.0,182,C11
16,33,6.431,0.5,5,11.5,0.16,1.0,182,C11
16,47,4.515,0.5,5,11.5,0.16,1.0,182,C11
16,82,2.588,0.5,5,11.5,0.16,1.0,182,C11
16,100,2.122,0.25,6.3,11.5,0.16,0.5,295,D11
16,150,1.415,0.25,6.3,11.5,0.16,0.5,295,D11
16,180,1.179,0.117,8,12,0.16,0.234,567,E12
16,220,0.965,0.117,8,12,0.16,0.234,567,E12
16,330,0.643,0.117,8,12,0.16,0.234,567,E12
16,390,0.544,0.117,8,12,0.16,0.234,567,E12
16,470,0.452,0.085,8,15,0.16,0.17,733,E15
16,470,0.452,0.09,10,12.5,0.16,0.18,764,F12
16,560,0.379,0.065,8,20,0.16,0.13,996,E20
16,680,0.312,0.085,8,15,0.16,0.17,733,E15
16,680,0.312,0.09,10,12.5,0.16,0.18,764,F12
16,820,0.259,0.065,8,20,0.16,0.13,996,E20
16,820,0.259,0.068,10,16,0.16,0.136,1060,F16
16,1000,0.212,0.068,10,16,0.16,0.136,1060,F16
16,1000,0.212,0.052,10,20,0.16,0.104,1230,F20
16,1200,0.177,0.052,10,20,0.16,0.104,1230,F20
16,1200,0.177,0.045,10,25,0.16,0.09,1450,F25
16,1500,0.141,0.045,10,25,0.16,0.09,1450,F25
16,1500,0.141,0.035,10,30,0.16,0.07,1830,F30
16,1800,0.118,0.035,10,30,0.16,0.07,1830,F30
16,1800,0.118,0.038,12.5,20,0.16,0.076,1700,G20
16,1800,0.118,0.043,16,16,0.16,0.086,1700,J16
16,2200,0.096,0.035,10,30,0.16,0.07,1830,F30
16,2200,0.096,0.038,12.5,20,0.16,0.076,1700,G20
16,2200,0.096,0.043,16,16,0.16,0.086,1700,J16
16,2700,0.079,0.03,12.5,25,0.16,0.06,1950,G25
16,2700,0.079,0.038,18,16,0.16,0.076,2010,K16
16,3300,0.064,0.025,12.5,30,0.16,0.05,2330,G30
16,3300,0.064,0.029,16,20,0.16,0.058,2230,J20
16,3900,0.054,0.022,12.5,35,0.16,0.044,2620,G35
16,3900,0.054,0.029,16,20,0.16,0.058,2230,J20
16,4700,0.045,0.017,12.5,40,0.16,0.034,3160,G40
16,4700,0.045,0.022,16,25,0.16,0.044,2650,J25
16,4700,0.045,0.028,18,20,0.16,0.056,2500,K20
16,5600,0.038,0.022,16,25,0.16,0.044,2650,J25
16,5600,0.038,0.018,16,31.5,0.16,0.036,3210,J31
16,6800,0.031,0.018,16,31.5,0.16,0.036,3210,J31
16,6800,0.031,0.02,18,25,0.16,0.04,3000,K25
16,8200,0.026,0.015,18,35.5,0.16,0.03,3960,K35
16,10000,0.021,0.014,18,40,0.16,0.028,4300,K40
25,10,18.568,0.5,5,11.5,0.14,1.0,182,C11
25,22,8.44,0.5,5,11.5,0.14,1.0,182,C11
25,27,6.877,0.5,5,11.5,0.14,1.0,182,C11
25,33,5.627,0.5,5,11.5,0.14,1.0,182,C11
25,47,3.951,0.5,5,11.5,0.14,1.0,182,C11
25,56,3.316,0.5,5,11.5,0.14,1.0,182,C11
25,82,2.264,0.25,6.3,11.5,0.14,0.5,295,D11
25,100,1.857,0.25,6.3,11.5,0.14,0.5,295,D11
25,150,1.238,0.117,8,12,0.14,0.234,567,E12
25,180,1.032,0.117,8,12,0.14,0.234,567,E12
25,220,0.844,0.117,8,12,0.14,0.234,567,E12
25,270,0.688,0.117,8,12,0.14,0.234,567,E12
25,330,0.563,0.117,8,12,0.14,0.234,567,E12
25,330,0.563,0.09,10,12.5,0.14,0.18,764,F12
25,390,0.476,0.085,8,15,0.14,0.17,733,E15
25,470,0.395,0.085,8,15,0.14,0.17,733,E15
25,470,0.395,0.09,10,12.5,0.14,0.18,764,F12
25,560,0.332,0.065,8,20,0.14,0.13,996,E20
25,560,0.332,0.068,10,16,0.14,0.136,1060,F16
25,680,0.273,0.068,10,16,0.14,0.136,1060,F16
25,680,0.273,0.052,10,20,0.14,0.104,1230,F20
25,680,0.273,0.062,12.5,15,0.14,0.124,1210,G15
25,820,0.226,0.052,10,20,0.14,0.104,1230,F20
25,820,0.226,0.062,12.5,15,0.14,0.124,1210,G15
25,1000,0.186,0.045,10,25,0.14,0.09,1450,F25
25,1000,0.186,0.038,12.5,20,0.14,0.076,1700,G20
25,1200,0.155,0.038,12.5,20,0.14,0.076,1700,G20
25,1200,0.155,0.038,18,16,0.14,0.076,2010,K16
25,1500,0.124,0.035,10,30,0.14,0.07,1830,F30
25,1500,0.124,0.043,16,16,0.14,0.086,1700,J16
25,1800,0.103,0.03,12.5,25,0.14,0.06,1950,G25
25,1800,0.103,0.043,16,16,0.14,0.086,1700,J16
25,1800,0.103,0.038,18,16,0.14,0.076,2010,K16
25,2200,0.084,0.025,12.5,30,0.14,0.05,2330,G30
25,2200,0.084,0.029,16,20,0.14,0.058,2230,J20
25,2200,0.084,0.038,18,16,0.14,0.076,2010,K16
25,2700,0.069,0.022,12.5,35,0.14,0.044,2620,G35
25,2700,0.069,0.028,18,20,0.14,0.056,2500,K20
25,3300,0.056,0.017,12.5,40,0.14,0.034,3160,G40
25,3300,0.056,0.022,16,25,0.14,0.044,2650,J25
25,3300,0.056,0.028,18,20,0.14,0.056,2500,K20
25,3900,0.048,0.02,18,25,0.14,0.04,3000,K25
25,4700,0.04,0.02,18,25,0.14,0.04,3000,K25
25,5600,0.033,0.015,18,35.5,0.14,0.03,3960,K35
25,6800,0.027,0.015,18,35.5,0.14,0.03,3960,K35
25,8200,0.023,0.014,18,40,0.14,0.028,4300,K40
25,10000,0.019,0.014,18,40,0.14,0.028,4300,K40
35,10,15.916,0.5,5,11.5,0.12,1.0,182,C11
35,22,7.234,0.5,5,11.5,0.12,1.0,182,C11
35,27,5.895,0.5,5,11.5,0.12,1.0,182,C11
35,33,4.823,0.5,5,11.5,0.12,1.0,182,C11
35,47,3.386,0.25,6.3,11.5,0.12,0.5,295,D11
35,56,2.842,0.25,6.3,11.5,0.12,0.5,295,D11
35,82,1.941,0.25,6.3,11.5,0.12,0.5,295,D11
35,100,1.592,0.117,8,12,0.12,0.234,567,E12
35,150,1.061,0.117,8,12,0.12,0.234,567,E12
35,180,0.884,0.117,8,12,0.12,0.234,567,E12
35,220,0.723,0.085,8,15,0.12,0.17,733,E15
35,270,0.589,0.085,8,15,0.12,0.17,733,E15
35,330,0.482,0.065,8,20,0.12,0.13,996,E20
35,330,0.482,0.068,10,16,0.12,0.136,1060,F16
35,390,0.408,0.068,10,16,0.12,0.136,1060,F16
35,470,0.339,0.052,10,20,0.12,0.104,1230,F20
35,560,0.284,0.052,10,20,0.12,0.104,1230,F20
35,560,0.284,0.062,12.5,15,0.12,0.124,1210,G15
35,680,0.234,0.045,10,25,0.12,0.09,1450,F25
35,820,0.194,0.038,12.5,20,0.12,0.076,1700,G20
35,1000,0.159,0.035,10,30,0.12,0.07,1830,F30
35,1000,0.159,0.038,12.5,20,0.12,0.076,1700,G20
35,1200,0.133,0.03,12.5,25,0.12,0.06,1950,G25
35,1200,0.133,0.038,18,16,0.12,0.076,2010,K16
35,1500,0.106,0.025,12.5,30,0.12,0.05,2330,G30
35,1500,0.106,0.029,16,20,0.12,0.058,2230,J20
35,1800,0.088,0.022,12.5,35,0.12,0.044,2620,G35
35,1800,0.088,0.029,16,20,0.12,0.058,2230,J20
35,2200,0.072,0.017,12.5,40,0.12,0.034,3160,G40
35,2200,0.072,0.022,16,25,0.12,0.044,2650,J25
35,2200,0.072,0.028,18,20,0.12,0.056,2500,K20
35,2700,0.059,0.018,16,31.5,0.12,0.036,3210,J31
35,2700,0.059,0.02,18,25,0.12,0.04,3000,K25
35,3300,0.048,0.02,18,25,0.12,0.04,3000,K25
35,3900,0.041,0.016,18,31.5,0.12,0.032,3660,K31
35,4700,0.034,0.015,18,35.5,0.12,0.03,3960,K35
35,5600,0.028,0.014,18,40,0.12,0.028,4300,K40
35,6800,0.023,0.014,18,40,0.12,0.028,4300,K40
35,8200,0.019,0.014,18,40,0.12,0.028,4300,K40
50,10,13.263,0.9,5,11.5,0.1,1.8,173,C11
50,22,6.029,0.9,5,11.5,0.1,1.8,173,C11
50,27,4.912,0.9,5,11.5,0.1,1.8,173,C11
50,33,4.019,0.4,6.3,11.5,0.1,0.8,285,D11
50,47,2.822,0.4,6.3,11.5,0.1,0.8,285,D11
50,56,2.368,0.4,6.3,11.5,0.1,0.8,285,D11
50,82,1.617,0.19,8,12,0.1,0.38,508,E12
50,100,1.326,0.155,8,15,0.1,0.31,636,E15
50,150,0.884,0.17,10,12.5,0.1,0.34,628,F12
50,180,0.737,0.17,10,12.5,0.1,0.34,628,F12
50,220,0.603,0.119,10,16,0.1,0.238,850,F16
50,270,0.491,0.081,10,20,0.1,0.162,1120,F20
