Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current 125°C@100kHz,Size Code
10,220,1.206,0.153,8,12,0.2,501,E12
10,330,0.804,0.153,8,12,0.2,501,E12
10,330,0.804,0.098,10,12.5,0.2,732,F12
10,470,0.564,0.098,10,12.5,0.2,732,F12
10,1000,0.265,0.057,10,20,0.2,1140,F20
10,1000,0.265,0.059,12.5,15,0.2,1380,G15
10,2200,0.121,0.032,12.5,25,0.2,2400,G25
10,2200,0.121,0.032,16,20,0.2,2280,J20
10,2200,0.121,0.041,18,16,0.2,2170,K16
10,3300,0.08,0.024,16,25,0.2,3100,J25
10,3300,0.08,0.029,18,20,0.2,2490,K20
10,4700,0.056,0.02,16,31.5,0.2,3160,J31
10,4700,0.056,0.022,18,25,0.2,3200,K25
16,100,2.122,0.153,8,12,0.16,501,E12
16,220,0.965,0.153,8,12,0.16,501,E12
16,220,0.965,0.098,10,12.5,0.16,732,F12
16,330,0.643,0.153,8,12,0.16,501,E12
16,330,0.643,0.098,10,12.5,0.16,732,F12
16,470,0.452,0.075,10,16,0.16,953,F16
16,1000,0.212,0.057,10,20,0.16,1140,F20
16,1000,0.212,0.04,12.5,20,0.16,1820,G20
16,1000,0.212,0.044,16,16,0.16,1930,J16
16,2200,0.096,0.032,12.5,25,0.16,2400,G25
16,2200,0.096,0.024,16,25,0.16,3100,J25
16,2200,0.096,0.029,18,20,0.16,2490,K20
16,3300,0.064,0.02,16,31.5,0.16,3160,J31
16,3300,0.064,0.022,18,25,0.16,3200,K25
16,4700,0.045,0.019,16,35.5,0.16,3590,J35
16,4700,0.045,0.018,18,31.5,0.16,3410,K31
25,100,1.857,0.153,8,12,0.14,501,E12
25,220,0.844,0.153,8,12,0.14,501,E12
25,220,0.844,0.098,10,12.5,0.14,732,F12
25,330,0.563,0.098,10,12.5,0.14,732,F12
25,330,0.563,0.075,10,16,0.14,953,F16
25,470,0.395,0.075,10,16,0.14,953,F16
25,470,0.395,0.057,10,20,0.14,1140,F20
25,470,0.395,0.04,12.5,20,0.14,1820,G20
25,1000,0.186,0.04,12.5,20,0.14,1820,G20
25,1000,0.186,0.032,12.5,25,0.14,2400,G25
25,1000,0.186,0.044,16,16,0.14,1930,J16
25,1200,0.155,0.04,12.5,20,0.14,1820,G20
25,1800,0.103,0.032,12.5,25,0.14,2400,G25
25,1800,0.103,0.032,16,20,0.14,2280,J20
25,2200,0.084,0.029,12.5,30,0.14,2560,G30
25,2200,0.084,0.024,16,25,0.14,3100,J25
25,2200,0.084,0.029,18,20,0.14,2490,K20
25,2700,0.069,0.023,12.5,35,0.14,2970,G35
25,2700,0.069,0.024,16,25,0.14,3100,J25
25,2700,0.069,0.029,18,20,0.14,2490,K20
25,3300,0.056,0.02,12.5,40,0.14,3600,G40
25,3300,0.056,0.02,16,31.5,0.14,3160,J31
25,3900,0.048,0.019,16,35.5,0.14,3590,J35
25,3900,0.048,0.022,18,25,0.14,3200,K25
25,4700,0.04,0.017,18,35.5,0.14,4200,K35
25,5600,0.033,0.017,16,40,0.14,4300,J40
25,5600,0.033,0.017,18,35.5,0.14,4200,K35
25,6800,0.027,0.016,18,40,0.14,4600,K40
35,100,1.592,0.153,8,12,0.12,501,E12
35,220,0.723,0.098,10,12.5,0.12,732,F12
35,220,0.723,0.075,10,16,0.12,953,F16
35,330,0.482,0.075,10,16,0.12,953,F16
35,330,0.482,0.057,10,20,0.12,1140,F20
35,470,0.339,0.057,10,20,0.12,1140,F20
35,470,0.339,0.04,12.5,20,0.12,1820,G20
35,470,0.339,0.044,16,16,0.12,1930,J16
35,1000,0.159,0.032,12.5,25,0.12,2400,G25
35,1000,0.159,0.024,16,25,0.12,3100,J25
35,1000,0.159,0.029,18,20,0.12,2490,K20
35,1200,0.133,0.029,12.5,30,0.12,2560,G30
35,1200,0.133,0.032,16,20,0.12,2280,J20
35,1500,0.106,0.023,12.5,35,0.12,2970,G35
35,1500,0.106,0.02,16,31.5,0.12,3160,J31
35,1500,0.106,0.022,18,25,0.12,3200,K25
35,1800,0.088,0.02,12.5,40,0.12,3600,G40
35,1800,0.088,0.024,16,25,0.12,3100,J25
35,1800,0.088,0.02,16,31.5,0.12,3160,J31
35,2200,0.072,0.019,16,35.5,0.12,3590,J35
35,2200,0.072,0.022,18,25,0.12,3200,K25
35,2700,0.059,0.019,16,35.5,0.12,3590,J35
35,2700,0.059,0.018,18,31.5,0.12,3410,K31
35,3300,0.048,0.017,16,40,0.12,4300,J40
35,3300,0.048,0.017,18,35.5,0.12,4200,K35
35,4700,0.034,0.016,18,40,0.12,4600,K40
50,220,0.603,0.081,10,20,0.1,960,F20
50,470,0.282,0.057,12.5,20,0.1,1500,G20
50,820,0.162,0.038,12.5,30,0.1,2150,G30
50,1000,0.133,0.031,16,25,0.1,2620,J25
50,1800,0.074,0.025,18,31.5,0.1,3140,K31
50,2200,0.06,0.022,18,35.5,0.1,3510,K35
63,820,0.162,0.08,16,31.5,0.1,1910,J31
63,1000,0.133,0.066,16,35.5,0.1,2110,J35
63,1800,0.074,0.051,18,40,0.1,2470,K40
80,330,0.322,0.19,16,20,0.08,1200,J20
80,470,0.226,0.11,16,25,0.08,1530,J25
80,560,0.189,0.094,18,25,0.08,1640,K25
80,820,0.129,0.062,18,35.5,0.08,2180,K35
80,1000,0.106,0.051,18,40,0.08,2470,K40
