Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Size Code,VC
25,39,1.406,1.19,0.22,5,11.5,0.14,4.761,0.8,345,317.4,172.5,251.85,C11,975
25,56,0.979,0.829,0.22,5,11.5,0.14,3.316,0.8,345,317.4,172.5,251.85,C11,1400
25,68,0.807,0.683,0.22,5,11.5,0.14,2.731,0.8,345,317.4,172.5,251.85,C11,1700
25,82,0.669,0.566,0.22,5,11.5,0.14,2.264,0.8,345,317.4,172.5,251.85,C11,2050
25,100,0.548,0.464,0.094,6.3,11.5,0.14,1.857,0.35,540,496.8,270,394.2,D11,2500
25,120,0.457,0.387,0.094,6.3,11.5,0.14,1.547,0.35,540,496.8,270,394.2,D11,3000
25,150,0.366,0.309,0.094,6.3,11.5,0.14,1.238,0.35,540,496.8,270,394.2,D11,3750
25,330,0.192,0.17,0.056,8,12,0.14,0.563,0.19,945,887.88,519.23,726.92,E12,8250
25,390,0.163,0.144,0.045,8,15,0.14,0.476,0.15,1250,1174.45,686.81,961.54,E15,9750
25,470,0.135,0.119,0.039,10,12.5,0.14,0.395,0.14,1560,1465.71,857.14,1200,F12,11750
25,560,0.113,0.1,0.029,8,20,0.14,0.332,0.11,1500,1409.34,824.18,1153.85,E20,14000
25,680,0.093,0.082,0.028,10,16,0.14,0.273,0.1,2000,1879.12,1098.9,1538.46,F16,17000
25,820,0.088,0.081,0.02,10,20,0.14,0.226,0.06,2500,2395.21,1497.01,1991.02,F20,20500
25,1000,0.083,0.076,0.017,10,25,0.14,0.212,0.051,2900,2778.44,1736.53,2309.58,F25,25000
25,1500,0.055,0.051,0.017,12.5,20,0.14,0.141,0.043,2600,2491.02,1556.89,2070.66,G20,37500
25,1800,0.046,0.042,0.015,12.5,25,0.14,0.118,0.038,3200,3065.87,1916.17,2548.5,G25,45000
25,2200,0.055,0.053,0.013,12.5,30,0.14,0.109,0.033,3795,3715.38,2653.85,3211.15,G30,55000
25,2200,0.055,0.053,0.015,16,20,0.14,0.109,0.038,3575,3500,2500,3025,J20,55000
25,2700,0.045,0.043,0.012,12.5,35,0.14,0.088,0.031,4120,4033.57,2881.12,3486.15,G35,67500
25,3300,0.041,0.039,0.013,16,25,0.14,0.08,0.035,3810,3730.07,2664.34,3223.85,J25,82500
35,39,1.205,1.02,0.22,5,11.5,0.12,4.081,0.8,345,317.4,172.5,251.85,C11,1365
35,47,1,0.847,0.22,5,11.5,0.12,3.386,0.8,345,317.4,172.5,251.85,C11,1645
35,82,0.573,0.485,0.094,6.3,11.5,0.12,1.941,0.35,540,496.8,270,394.2,D11,2870
35,100,0.47,0.398,0.094,6.3,11.5,0.12,1.592,0.35,540,496.8,270,394.2,D11,3500
35,220,0.214,0.181,0.056,8,12,0.12,0.723,0.19,945,869.4,472.5,689.85,E12,7700
35,270,0.174,0.147,0.045,8,15,0.12,0.589,0.15,1250,1150,625,912.5,E15,9450
35,330,0.165,0.146,0.039,10,12.5,0.12,0.482,0.14,1560,1465.71,857.14,1200,F12,11550
35,390,0.14,0.123,0.029,8,20,0.12,0.408,0.11,1500,1409.34,824.18,1153.85,E20,13650
35,470,0.116,0.102,0.028,10,16,0.12,0.339,0.1,2000,1879.12,1098.9,1538.46,F16,16450
35,560,0.097,0.086,0.02,10,20,0.12,0.284,0.06,2500,2348.9,1373.63,1923.08,F20,19600
35,680,0.08,0.071,0.017,10,25,0.12,0.234,0.051,2900,2724.73,1593.41,2230.77,F25,23800
35,1000,0.073,0.067,0.017,12.5,20,0.12,0.186,0.043,2600,2491.02,1556.89,2070.66,G20,35000
35,1200,0.06,0.055,0.015,12.5,25,0.12,0.155,0.038,3200,3065.87,1916.17,2548.5,G25,42000
35,1500,0.048,0.044,0.013,12.5,30,0.12,0.124,0.033,3795,3635.93,2272.46,3022.37,G30,52500
35,1800,0.04,0.037,0.012,12.5,35,0.12,0.103,0.031,4120,3947.31,2467.07,3281.2,G35,63000
35,2200,0.049,0.047,0.013,16,25,0.12,0.096,0.035,3810,3730.07,2664.34,3223.85,J25,77000
50,27,1.073,0.867,0.34,5,11.5,0.1,4.912,1.18,238,214,100,167,C11,1350
50,39,1.004,0.85,0.14,6.3,11.5,0.1,3.401,0.5,385,354.2,192.5,281.05,D11,1950
50,56,0.7,0.592,0.14,6.3,11.5,0.1,2.368,0.5,385,354.2,192.5,281.05,D11,2800
