Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Surge Voltage
16,10,0.95,5,11,16,2122.068,ESL106M016AC3(1),150,20
16,15,0.95,5,11,16,1414.712,ESL156M016AC3(1),155,20
16,22,0.36,5,11,16,964.576,ESL226M016AC3(1),170,20
16,33,0.36,5,11,16,643.051,ESL336M016AC3(1),185,20
16,39,0.36,5,11,16,544.12,ESL396M016AC3(1),225,20
16,47,0.23,5,11,16,451.504,ESL476M016AC3(1),245,20
16,56,0.23,5,11,16,378.941,ESL566M016AC3(1),280,20
16,68,0.23,5,11,16,312.069,ESL686M016AC3(1),305,20
16,100,0.23,5,11,16,212.207,ESL107M016AC3(1),345,20
16,120,0.098,6.3,11,16,176.839,ESL127M016AE3(1),485,20
16,150,0.098,6.3,11,16,141.471,ESL157M016AE3(1),510,20
16,180,0.098,6.3,11,16,117.893,ESL187M016AE3(1),525,20
16,220,0.098,6.3,11,16,96.458,ESL227M016AE3(1),555,20
16,270,0.061,8,11.5,16,78.595,ESL277M016AGM(1),870,20
16,330,0.061,8,11.5,16,64.305,ESL337M016AGM(1),920,20
16,390,0.061,8,11.5,16,54.412,ESL397M016AGM(1),940,20
16,470,0.061,8,11.5,16,45.15,ESL477M016AGM(1),960,20
16,560,0.043,10,12.5,16,37.894,ESL567M016AH9(1),1340,20
16,560,0.049,8,16,16,37.894,ESL567M016AG8(1),1230,20
16,680,0.043,10,12.5,16,31.207,ESL687M016AH9(1),1340,20
16,680,0.049,8,16,16,31.207,ESL687M016AG8(1),1280,20
16,820,0.031,10,16,16,25.879,ESL827M016AH8(1),1770,20
16,820,0.031,8,20,16,25.879,ESL827M016AG6(1),1540,20
16,1000,0.031,10,16,16,21.247,ESL108M016AH8(1),1770,20
16,1000,0.031,8,20,16,21.247,ESL108M016AG6(1),1540,20
16,1200,0.022,10,20,16,17.706,ESL128M016AH4(1),1970,20
16,1200,0.02,12.5,15,16,17.706,ESL128M016AK7(1),2340,20
16,1500,0.022,10,20,16,14.165,ESL158M016AH4(1),1970,20
16,1500,0.02,12.5,15,16,14.165,ESL158M016AK7(1),2340,20
16,1800,0.02,10,25,16,11.804,ESL188M016AH5(1),2260,20
16,1800,0.019,12.5,20,16,11.804,ESL188M016AK5(1),2490,20
16,2200,0.019,12.5,20,18,10.876,ESL228M016AK5(1),2490,20
16,2700,0.017,12.5,25,18,8.862,ESL278M016AK1(1),2710,20
16,3300,0.014,12.5,30,20,8.062,ESL338M016AK2(1),2960,20
16,3300,0.017,16,20,20,8.062,ESL338M016AM5AA,2960,20
16,3900,0.014,12.5,30,20,6.822,ESL398M016AK2(1),3060,20
16,3900,0.017,16,20,20,6.822,ESL398M016AM5AA,3060,20
16,4700,0.013,12.5,35,22,6.231,ESL478M016AK3(1),3280,20
16,4700,0.014,16,25,22,6.231,ESL478M016AM7AA,3240,20
16,5600,0.012,16,30,24,5.708,ESL568M016AM9AA,3700,20
16,5600,0.013,18,25,24,5.708,ESL568M016AN5AA,3660,20
16,6800,0.012,16,30,26,5.095,ESL688M016AM9AA,3900,20
16,6800,0.013,18,25,26,5.095,ESL688M016AN5AA,3860,20
25,10,0.95,5,11,14,1856.809,ESL106M025AC3(1),160,32
25,15,0.95,5,11,14,1237.873,ESL156M025AC3(1),170,32
25,22,0.36,5,11,14,844.004,ESL226M025AC3(1),185,32
25,33,0.36,5,11,14,562.669,ESL336M025AC3(1),200,32
25,39,0.36,5,11,14,476.105,ESL396M025AC3(1),225,32
25,47,0.23,5,11,14,395.066,ESL476M025AC3(1),315,32
25,56,0.23,5,11,14,331.573,ESL566M025AC3(1),335,32
25,68,0.23,5,11,14,273.06,ESL686M025AC3(1),355,32
25,100,0.098,6.3,11,14,185.681,ESL107M025AE3(1),485,32
25,120,0.098,6.3,11,14,154.734,ESL127M025AE3(1),525,32
25,150,0.098,6.3,11,14,123.787,ESL157M025AE3(1),555,32
25,180,0.061,8,11.5,14,103.156,ESL187M025AGM(1),875,32
25,220,0.061,8,11.5,14,84.4,ESL227M025AGM(1),905,32
25,270,0.061,8,11.5,14,68.771,ESL277M025AGM(1),965,32
