Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Size Code,VC
63,10,2.358,1.91,0.55,6.3,11.5,0.09,11.937,1.7,148,133.2,59.2,111.3,D11,630
63,22,1.072,0.868,0.55,6.3,11.5,0.09,5.426,1.7,148,133.2,59.2,111.3,D11,1386
63,33,0.715,0.579,0.32,8,12,0.09,3.617,0.96,360,324,144,270.72,E12,2079
63,47,0.502,0.406,0.23,10,12.5,0.09,2.54,0.69,448,403.2,179.2,336.9,F12,2961
63,100,0.236,0.191,0.12,10,20,0.09,1.194,0.36,676,608.4,270.4,508.35,F20,6300
63,220,0.15,0.136,0.075,12.5,20,0.09,0.543,0.23,979,930.05,489.5,832.15,G20,13860
63,330,0.1,0.09,0.065,12.5,25,0.09,0.362,0.2,1180,1121,590,1003,G25,20790
63,470,0.099,0.091,0.042,16,31.5,0.09,0.254,0.13,1890,1810.78,1131.74,1663.65,J31,29610
100,3.3,6.351,5.144,1.9,5,11.5,0.08,32.153,7.6,57,51.3,22.8,42.86,C11,330
100,4.7,4.459,3.612,1.9,5,11.5,0.08,22.575,7.6,57,51.3,22.8,42.86,C11,470
100,10,2.096,1.698,1.1,6.3,11.5,0.08,10.61,4.4,78,70.2,31.2,58.66,D11,1000
100,22,0.953,0.772,0.53,8,12,0.08,4.823,2.1,275,247.5,110,206.8,E12,2200
100,33,0.635,0.514,0.47,10,12.5,0.08,3.215,1.9,319,287.1,127.6,239.89,F12,3300
100,47,0.446,0.361,0.32,10,16,0.08,2.258,1.3,424,381.6,169.6,318.85,F16,4700
100,100,0.21,0.17,0.13,12.5,20,0.08,1.061,0.52,805,724.5,322,605.36,G20,10000
100,220,0.134,0.121,0.081,16,25,0.08,0.482,0.32,1290,1225.5,645,1096.5,J25,22000
100,330,0.089,0.08,0.081,16,25,0.08,0.322,0.32,1290,1225.5,645,1096.5,J25,33000
100,470,0.088,0.081,0.059,16,31.5,0.08,0.226,0.23,1630,1561.68,976.05,1434.79,J31,47000
