Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
10,4700,0.058,0.055,0.022,12.5,35,0.19,0.076,0.044,ELXZ100E□□472MK35S,2510,2446.19,2127.12,2382.37,47000
10,5600,0.052,0.049,0.017,12.5,40,0.19,0.069,0.034,ELXZ100E□□562MK40S,2870,2797.03,2432.2,2724.07,56000
10,5600,0.052,0.049,0.022,16,25,0.19,0.069,0.044,ELXZ100E□□562ML25S,2560,2494.92,2169.49,2429.83,56000
10,5600,0.052,0.049,0.028,18,20,0.19,0.069,0.056,ELXZ100E□□562MM20S,2490,2426.69,2110.17,2363.39,56000
10,6800,0.046,0.043,0.019,16,30,0.19,0.06,0.038,ELXZ100E□□682ML30S,3010,2933.47,2550.85,2856.95,68000
10,6800,0.046,0.043,0.02,18,25,0.19,0.06,0.04,ELXZ100E□□682MM25S,2740,2670.34,2322.03,2600.68,68000
10,8200,0.043,0.041,0.017,16,35,0.19,0.057,0.034,ELXZ100E□□822ML35S,3150,3069.92,2669.49,2989.83,82000
10,8200,0.043,0.041,0.018,18,30,0.19,0.057,0.036,ELXZ100E□□822MM30S,3330,3245.34,2822.03,3160.68,82000
10,10000,0.039,0.037,0.015,16,40,0.19,0.052,0.03,ELXZ100E□□103ML40S,3710,3615.68,3144.07,3521.36,100000
10,10000,0.039,0.037,0.016,18,35,0.19,0.052,0.032,ELXZ100E□□103MM35S,3680,3586.44,3118.64,3492.88,100000
10,12000,0.036,0.034,0.015,18,40,0.19,0.048,0.03,ELXZ100E□□123MM40S,3800,3703.39,3220.34,3606.78,120000
16,47,0.892,0.722,0.5,5,11.5,0.16,4.515,1,ELXZ160E□□470MEB5D,175,157.5,70,131.6,752
16,100,0.419,0.34,0.25,6.3,11.5,0.16,2.122,0.5,ELXZ160E□□101MFB5D,290,261,116,218.08,1600
16,220,0.273,0.241,0.18,6.3,15,0.16,0.965,0.36,ELXZ160E□□221MF15D,400,376,200,340,3520
16,330,0.182,0.161,0.12,8,12,0.16,0.643,0.24,ELXZ160E□□331MH12D,555,521.7,277.5,471.75,5280
16,470,0.128,0.113,0.09,8,15,0.16,0.452,0.18,ELXZ160E□□471MH15D,730,686.2,365,620.5,7520
16,470,0.128,0.113,0.09,10,12.5,0.16,0.452,0.18,ELXZ160E□□471MJC5S,760,714.4,380,646,7520
16,560,0.107,0.095,0.08,8,20,0.16,0.379,0.16,ELXZ160E□□561MH20D,810,761.4,405,688.5,8960
16,680,0.125,0.112,0.068,10,16,0.16,0.312,0.136,ELXZ160E□□681MJ16S,1050,993.41,628.74,911.68,10880
16,1000,0.096,0.086,0.052,10,20,0.16,0.239,0.104,ELXZ160E□□102MJ20S,1220,1154.25,730.54,1059.28,16000
16,1200,0.08,0.071,0.045,10,25,0.16,0.199,0.09,ELXZ160E□□122MJ25S,1440,1362.4,862.28,1250.3,19200
16,1500,0.064,0.057,0.037,10,30,0.16,0.159,0.074,ELXZ160E□□152MJ30S,1690,1598.92,1011.98,1467.37,24000
16,1500,0.064,0.057,0.038,12.5,20,0.16,0.159,0.076,ELXZ160E□□152MK20S,1660,1570.54,994.01,1441.32,24000
16,2200,0.075,0.068,0.03,12.5,25,0.16,0.121,0.06,ELXZ160E□□222MK25S,1950,1862.03,1466.17,1759.4,35200
