Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESL,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,330,0.007,6.3,8,-55,105,0.1,2.0,2000,500,3200,RS80E331MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,330,0.007,6.3,8,-55,105,0.1,2.0,5000,500,3200,RS80E331MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,330,0.007,6.3,8,-55,105,0.1,2.0,2000,500,3200,RS80E331MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,330,0.007,6.3,8,-55,105,0.1,2.0,5000,500,3200,RS80E331MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,470,0.007,6.3,8,-55,105,0.1,2.0,2000,500,3200,RS80E471MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,470,0.007,6.3,8,-55,105,0.1,2.0,5000,500,3200,RS80E471MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,470,0.007,6.3,8,-55,105,0.1,2.0,2000,500,3200,RS80E471MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,470,0.007,6.3,8,-55,105,0.1,2.0,5000,500,3200,RS80E471MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,560,0.007,6.3,8,-55,105,0.1,2.0,2000,500,3200,RS80E561MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,560,0.007,6.3,8,-55,105,0.1,2.0,5000,500,3200,RS80E561MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,560,0.007,6.3,8,-55,105,0.1,2.0,2000,500,3200,RS80E561MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,560,0.007,6.3,8,-55,105,0.1,2.0,5000,500,3200,RS80E561MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,820,0.007,6.3,8,-55,105,0.1,2.0,2000,512,3200,RS80E821MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
