Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Leakage Current,Part Number,Ripple Current,Surge Voltage
6.3,150,194.523,5,11,22,9.5,ESW157M6R3AC3(1),210,8
6.3,330,88.419,6.3,11,22,20.8,ESW337M6R3AE3(1),340,8
6.3,470,62.082,6.3,11,22,29.6,ESW477M6R3AE3(1),510,8
6.3,680,42.909,8,11,22,42.8,ESW687M6R3AG3(1),640,8
6.3,820,35.583,10,12.5,22,51.7,ESW827M6R3AH9(1),865,8
6.3,1000,29.178,8,15,22,63.0,ESW108M6R3AG4(1),840,8
6.3,1200,24.315,8,20,22,75.6,ESW128M6R3AG6(1),1050,8
6.3,1200,24.315,10,16,22,75.6,ESW128M6R3AH8(1),1210,8
6.3,1500,19.452,8,20,22,94.5,ESW158M6R3AG6(1),1050,8
6.3,1500,19.452,10,16,22,94.5,ESW158M6R3AH8(1),1210,8
6.3,1500,19.452,10,20,22,94.5,ESW158M6R3AH4(1),1400,8
6.3,1800,16.21,13,16,22,113.4,ESW188M6R3AL2(1),1450,8
6.3,2200,13.263,10,20,22,138.6,ESW228M6R3AH4(1),1400,8
6.3,2200,13.263,10,25,22,138.6,ESW228M6R3AH5(1),1650,8
6.3,2700,10.807,10,30,22,170.1,ESW278M6R3AH6(1),1910,8
6.3,2700,10.807,16,16,22,170.1,ESW278M6R3AM8(1),1940,8
6.3,3300,8.842,10,25,22,207.9,ESW338M6R3AH5(1),1650,8
6.3,3300,8.842,13,20,22,207.9,ESW338M6R3AL3(1),1900,8
6.3,3900,7.482,13,25,22,245.7,ESW398M6R3AL4(1),2230,8
6.3,3900,7.482,18,16,22,245.7,ESW398M6R3AN6(1),2210,8
6.3,4700,6.208,13,30,22,296.1,ESW478M6R3AL8(1),2650,8
6.3,5600,5.21,13,35,22,352.8,ESW568M6R3AL6(1),2880,8
6.3,5600,5.21,16,20,22,352.8,ESW568M6R3AM5(1),2530,8
6.3,6800,4.291,13,40,22,428.4,ESW688M6R3AL7(1),3350,8
6.3,6800,4.291,16,25,22,428.4,ESW688M6R3AM7(1),2930,8
6.3,6800,4.291,18,20,22,428.4,ESW688M6R3AN4(1),2860,8
6.3,8200,3.558,16,32,22,516.6,ESW828M6R3AM2(1),3450,8
6.3,10000,2.918,16,36,22,630.0,ESW109M6R3AM3(1),3610,8
6.3,10000,2.918,18,25,22,630.0,ESW109M6R3AN5(1),3140,8
6.3,12000,2.432,18,32,22,756.0,ESW129M6R3AN1(1),4170,8
6.3,15000,1.945,18,36,22,945.0,ESW159M6R3AN2(1),4220,8
10,100,251.996,5,11,19,10.0,ESW107M010AC3(1),210,13
10,220,114.543,6.3,11,19,22.0,ESW227M010AE3(1),340,13
