Voltage,Capacitance,Case Size Diameter,Case Size Length,1 k Hz,10 k Hz to,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 120Hz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 85°C@120Hz,Straight leads,Taping,VC
35,4.7,4,5,1.3,1.7,0.12,33.863,1.0,0.7,0.7,0.45,1.5,5.0,2.5,ECEA1VKS4R7( ),22,200,2000,164.5
35,10,5,5,1.3,1.7,0.12,15.916,1.0,0.7,0.7,0.45,2.0,5.0,2.5,ECEA1VKS100( ),30,200,2000,350.0
35,22,6.3,5,1.3,1.7,0.12,7.234,1.0,0.7,0.7,0.45,2.5,5.0,2.5,ECEA1VKS220( ),60,200,2000,770.0
35,33,8,5,1.3,1.7,0.12,4.823,1.0,0.7,0.7,0.45,2.5,nan,2.5,ECEA1VKS330( ),65,200,1000,1155.0
35,33,8,5,1.3,1.7,0.12,4.823,1.0,0.7,0.7,0.45,nan,5.0,nan,ECEA1VKS330Q,65,nan,1000,1155.0
35,47,8,5,1.3,1.7,0.12,3.386,1.0,0.7,0.7,0.45,2.5,nan,2.5,ECEA1VKS470( ),85,200,1000,1645.0
35,47,8,5,1.3,1.7,0.12,3.386,1.0,0.7,0.7,0.45,nan,5.0,nan,ECEA1VKS470Q,85,nan,1000,1645.0
50,2.2,4,5,1.3,1.7,0.1,60.286,1.0,0.7,0.7,0.45,1.5,5.0,2.5,ECEA1HKS2R2( ),16,200,2000,110.00000000000001
50,3.3,4,5,1.3,1.7,0.1,40.191,1.0,0.7,0.7,0.45,1.5,5.0,2.5,ECEA1HKS3R3( ),16,200,2000,165.0
50,4.7,5,5,1.3,1.7,0.1,28.219,1.0,0.7,0.7,0.45,2.0,5.0,2.5,ECEA1HKS4R7( ),23,200,2000,235.0
50,10,6.3,5,1.3,1.7,0.1,13.263,1.0,0.7,0.7,0.45,2.5,5.0,2.5,ECEA1HKS100( ),35,200,2000,500.0
50,22,8,5,1.3,1.7,0.1,6.029,1.0,0.7,0.7,0.45,2.5,nan,2.5,ECEA1HKS220( ),60,200,1000,1100.0
50,22,8,5,1.3,1.7,0.1,6.029,1.0,0.7,0.7,0.45,nan,5.0,nan,ECEA1HKS220Q,60,nan,1000,1100.0
