Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 150°C@100kHz,Ripple Current 150°C@10kHz,Ripple Current 150°C@120Hz,Ripple Current 150°C@1kHz,Ripple Current 150°C@300Hz,Ripple Current 150°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
50,100,,,10,12.5,-55,150,0.1,1.326,1000,150,2000,UBX1H101MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,380,,,,,,EOL,,5000,Normal,1.49
50,220,,,10,20,-55,150,0.1,0.603,1000,330,1400,UBX1H221MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,640,,,,,,EOL,,11000,Normal,2.34
50,330,,,12.5,20,-55,150,0.1,0.402,1000,495,1000,UBX1H331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,770,,,,,,MP,,16500,Normal,3.43
50,470,,,12.5,25,-55,150,0.1,0.282,1000,705,800,UBX1H471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,960,,,,,,MP,,23500,Normal,4.56
50,560,,,12.5,30.5,-55,150,0.1,0.237,1000,840,600,UBX1H561MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1080,,,,,,MP,,28000,Normal,6.01
50,680,,,16,25,-55,150,0.1,0.195,2000,1020,400,UBX1H681MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1190,,,,,,MP,,34000,Normal,8.2
50,1000,,,16,30.5,-55,150,0.1,0.159,2000,1500,300,UBX1H102MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1420,,,,,,MP,,50000,Normal,9.6
63,56,,,10,12.5,-55,150,0.1,2.368,1000,106,2000,UBX1J560MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,430,,,,,,EOL,,3528,Normal,1.49
63,68,,,10,16,-55,150,0.1,1.95,1000,129,1800,UBX1J680MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,560,,,,,,EOL,,4284,Normal,1.77
63,100,,,10,20,-55,150,0.1,1.326,1000,189,1400,UBX1J101MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,710,,,,,,EOL,,6300,Normal,2.34
63,220,,,12.5,25,-55,150,0.1,0.603,1000,416,800,UBX1J221MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1040,,,,,,MP,,13860,Normal,4.56
63,330,,,12.5,30.5,-55,150,0.1,0.402,1000,624,600,UBX1J331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1170,,,,,,MP,,20790,Normal,6.01
63,470,,,16,25,-55,150,0.1,0.282,2000,888,400,UBX1J471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1280,,,,,,MP,,29610,Normal,8.2
63,560,,,16,30.5,-55,150,0.1,0.237,2000,1058,300,UBX1J561MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1520,,,,,,MP,,35280,Normal,9.6
63,680,,,16,35.5,-55,150,0.1,0.195,2000,1285,300,UBX1J681MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1520,,,,,,MP,,42840,Normal,11.8
80,33,,,10,12.5,-55,150,0.08,3.215,1000,79,2000,UBX1K330MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,420,,,,,,EOL,,2640,Normal,1.49
80,47,,,10,16,-55,150,0.08,2.258,1000,113,1800,UBX1K470MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,550,,,,,,EOL,,3760,Normal,1.77
80,56,,,10,20,-55,150,0.08,1.895,1000,134,1400,UBX1K560MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,690,,,,,,EOL,,4480,Normal,2.34
