Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance,Leakage Current,Part Number,Ripple Current,Surge Voltage
6.3,150,194.523,5,11,22,0.58,9.5,ETA157M6R3AC3(1),210,8
6.3,330,88.419,6.3,11,22,0.22,20.8,ETA337M6R3AE3(1),340,8
6.3,680,42.909,8,11,22,0.13,42.8,ETA687M6R3AG3(1),640,8
6.3,820,35.583,10,12.5,22,0.08,51.7,ETA827M6R3AH9(1),865,8
6.3,1000,29.178,8,15,22,0.087,63.0,ETA108M6R3AG4(1),840,8
6.3,1200,24.315,8,20,22,0.069,75.6,ETA128M6R3AG6(1),1050,8
6.3,1200,24.315,10,15,22,0.06,75.6,ETA128M6R3AH2(1),1210,8
6.3,1500,19.452,10,20,22,0.046,94.5,ETA158M6R3AH4(1),1400,8
6.3,1800,16.21,13,16,22,0.049,113.4,ETA188M6R3AL2(1),1450,8
6.3,2200,13.263,10,25,22,0.042,138.6,ETA228M6R3AH5(1),1650,8
6.3,2700,10.807,10,30,22,0.031,170.1,ETA278M6R3AH6(1),1910,8
6.3,3300,8.842,13,20,22,0.035,207.9,ETA338M6R3AL3(1),1900,8
6.3,3900,7.482,13,25,22,0.027,245.7,ETA398M6R3AL4(1),2230,8
6.3,4700,6.208,13,30,22,0.024,296.1,ETA478M6R3AL8(1),2650,8
6.3,5600,5.21,13,35,22,0.02,352.8,ETA568M6R3AL6(1),2880,8
6.3,5600,5.21,16,20,22,0.027,352.8,ETA568M6R3AM5(1),2530,8
6.3,6800,4.291,13,40,22,0.017,428.4,ETA688M6R3AL7(1),3350,8
6.3,6800,4.291,16,25,22,0.021,428.4,ETA688M6R3AM7(1),2930,8
6.3,6800,4.291,18,20,22,0.026,428.4,ETA688M6R3AN4(1),2860,8
6.3,8200,3.558,16,32,22,0.017,516.6,ETA828M6R3AM2(1),3450,8
10,100,251.996,5,11,19,0.58,10.0,ETA107M010AC3(1),210,13
10,220,114.543,6.3,11,19,0.22,22.0,ETA227M010AE3(1),340,13
10,470,53.616,8,11,19,0.13,47.0,ETA477M010AG3(1),640,13
10,680,37.058,8,15,19,0.087,68.0,ETA687M010AG4(1),840,13
10,680,37.058,10,12.5,19,0.08,68.0,ETA687M010AH9(1),865,13
10,1000,25.2,8,20,19,0.069,100.0,ETA108M010AG6(1),1050,13
10,1000,25.2,10,15,19,0.06,100.0,ETA108M010AH2(1),1210,13
10,1200,21,10,20,19,0.046,120.0,ETA128M010AH4(1),1400,13
10,1500,16.8,10,25,19,0.042,150.0,ETA158M010AH5(1),1650,13
10,1500,16.8,13,16,19,0.049,150.0,ETA158M010AL2(1),1450,13
10,2200,11.454,10,30,19,0.031,220.0,ETA228M010AH6(1),1910,13
10,2200,11.454,13,20,19,0.035,220.0,ETA228M010AL3(1),1900,13
10,3300,7.636,13,25,19,0.027,330.0,ETA338M010AL4(1),2230,13
10,3900,6.461,13,30,19,0.024,390.0,ETA398M010AL8(1),2650,13
10,3900,6.461,16,20,19,0.027,390.0,ETA398M010AM5(1),2530,13
10,4700,5.362,13,35,19,0.02,470.0,ETA478M010AL6(1),2880,13
10,5600,4.5,13,40,19,0.017,560.0,ETA568M010AL7(1),3350,13
10,5600,4.5,16,25,19,0.021,560.0,ETA568M010AM7(1),2930,13
10,5600,4.5,18,20,19,0.026,560.0,ETA568M010AN4(1),2860,13
10,6800,3.706,16,32,19,0.017,680.0,ETA688M010AM2(1),3450,13
10,6800,3.706,18,25,19,0.019,680.0,ETA688M010AN5(1),3140,13
10,8200,3.073,16,36,19,0.015,820.0,ETA828M010AM3(1),3610,13
10,8200,3.073,18,32,19,0.015,820.0,ETA828M010AN1(1),4170,13
16,56,378.941,5,11,16,0.58,9.0,ETA566M016AC3(1),210,20
16,120,176.839,6.3,11,16,0.22,19.2,ETA127M016AE3(1),340,20
16,330,64.305,8,11,16,0.13,52.8,ETA337M016AG3(1),640,20
16,470,45.15,8,15,16,0.087,75.2,ETA477M016AG4(1),840,20
16,470,45.15,10,12.5,16,0.08,75.2,ETA477M016AH9(1),865,20
16,680,31.207,8,20,16,0.069,108.8,ETA687M016AG6(1),1050,20
16,680,31.207,10,15,16,0.06,108.8,ETA687M016AH2(1),1210,20
16,1000,21.221,10,20,16,0.046,160.0,ETA108M016AH4(1),1400,20
16,1000,21.221,13,16,16,0.049,160.0,ETA108M016AL2(1),1450,20
16,1200,17.684,10,25,16,0.042,192.0,ETA128M016AH5(1),1650,20
16,1500,14.147,10,30,16,0.031,240.0,ETA158M016AH6(1),1910,20
16,1500,14.147,13,20,16,0.035,240.0,ETA158M016AL3(1),1900,20
16,2200,9.646,13,25,16,0.027,352.0,ETA228M016AL4(1),2230,20
16,2700,7.86,13,30,16,0.024,432.0,ETA278M016AL8(1),2650,20
16,2700,7.86,16,20,16,0.027,432.0,ETA278M016AM5(1),2530,20
16,3300,6.431,13,35,16,0.02,528.0,ETA338M016AL6(1),2880,20
16,3900,5.441,13,40,16,0.017,624.0,ETA398M016AL7(1),3350,20
16,3900,5.441,16,25,16,0.021,624.0,ETA398M016AM7(1),2930,20
16,3900,5.441,18,20,16,0.026,624.0,ETA398M016AN4(1),2860,20
16,4700,4.515,16,32,16,0.017,752.0,ETA478M016AM2(1),3450,20
16,4700,4.515,18,25,16,0.019,752.0,ETA478M016AN5(1),3140,20
