Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 85°C@120Hz,Straight leads,Taping,VC
25,2200,0.046,12.5,25,0.18,0.133,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1EM222( ),1200,200,500,55000.0
25,3300,0.036,16,25,0.2,0.104,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,7.5,nan,ECA1EM332( ),1300,100,250,82500.0
25,4700,0.029,16,31.5,0.22,0.085,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA1EM472,1500,100,nan,117500.0
25,6800,0.026,18,35.5,0.26,0.074,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA1EM682,1750,50,nan,170000.0
35,10,5.507,5,11,0.12,15.916,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1VM100( ),60,200,2000,350.0
35,47,1.367,5,11,0.14,3.951,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1VM470( ),130,200,2000,1645.0
35,100,0.642,6.3,11.2,0.14,1.857,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.5,5.0,2.5,ECA1VM101( ),210,200,2000,3500.0
35,220,0.292,8,11.5,0.14,0.844,1.7,1.7,1.0,1.3,0.7,0.7,0.6,3.5,5.0,nan,ECA1VM221( ),350,200,1000,7700.0
35,330,0.195,10,12.5,0.14,0.563,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1VM331( ),440,200,500,11550.0
35,470,0.137,10,16,0.14,0.395,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1VM471( ),550,200,500,16450.0
35,1000,0.073,12.5,20,0.14,0.212,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1VM102( ),900,200,500,35000.0
35,2200,0.042,16,25,0.16,0.121,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,7.5,nan,ECA1VM222( ),1250,100,250,77000.0
35,3300,0.033,16,31.5,0.18,0.096,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA1VM332,1400,100,nan,115500.0
35,4700,0.027,18,35.5,0.2,0.079,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA1VM472,1600,50,nan,164500.0
50,2.2,25.032,5,11,0.12,72.343,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1HM2R2( ),20,200,2000,110.00000000000001
50,3.3,16.688,5,11,0.12,48.229,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1HM3R3( ),35,200,2000,165.0
50,4.7,11.717,5,11,0.12,33.863,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1HM4R7( ),45,200,2000,235.0
50,10,5.507,5,11,0.12,15.916,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1HM100( ),65,200,2000,500.0
50,22,2.503,5,11,0.12,7.234,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1HM220( ),100,200,2000,1100.0
