Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
16,1200,0.16,0.084,10,16,0.76,0.199,1180,1130.54,706.59,939.76,19200
16,1800,0.16,0.062,10,20,0.55,0.133,1470,1408.38,880.24,1170.72,28800
16,2400,0.16,0.047,10,25,0.41,0.111,1810,1772.03,1265.73,1531.54,38400
16,2700,0.16,0.042,12.5,20,0.29,0.098,1590,1556.64,1111.89,1345.38,43200
16,3900,0.16,0.03,12.5,25,0.21,0.075,2280,2232.17,1594.41,1929.23,62400
16,4700,0.16,0.025,12.5,30,0.17,0.068,2760,2702.1,1930.07,2335.38,75200
25,820,0.14,0.084,10,16,0.76,0.226,1180,1130.54,706.59,939.76,20500
25,1200,0.14,0.062,10,20,0.55,0.177,1470,1408.38,880.24,1170.72,30000
25,1600,0.14,0.047,10,25,0.41,0.133,1810,1734.13,1083.83,1441.5,40000
25,1800,0.14,0.042,12.5,20,0.29,0.118,1590,1523.35,952.1,1266.29,45000
25,2700,0.14,0.03,12.5,25,0.21,0.088,2280,2232.17,1594.41,1929.23,67500
25,3300,0.14,0.025,12.5,30,0.17,0.08,2760,2702.1,1930.07,2335.38,82500
25,3300,0.14,0.034,16,20,0.14,0.08,1890,1850.35,1321.68,1599.23,82500
25,4300,0.14,0.033,18,20,0.12,0.068,1930,1889.51,1349.65,1633.08,107500
25,4700,0.14,0.025,16,25,0.1,0.062,3030,2966.43,2118.88,2563.85,117500
25,5600,0.14,0.02,16,30,0.08,0.057,3330,3260.14,2328.67,2817.69,140000
25,6200,0.14,0.024,18,25,0.086,0.056,3200,3132.87,2237.76,2707.69,155000
25,7500,0.14,0.02,18,30,0.07,0.05,3480,3406.99,2433.57,2944.62,187500
35,510,0.12,0.084,10,16,0.76,0.312,1180,1108.68,648.35,907.69,17850
35,750,0.12,0.062,10,20,0.55,0.212,1470,1408.38,880.24,1170.72,26250
35,1000,0.12,0.047,10,25,0.41,0.186,1810,1734.13,1083.83,1441.5,35000
35,1100,0.12,0.042,12.5,20,0.29,0.169,1590,1523.35,952.1,1266.29,38500
35,1500,0.12,0.03,12.5,25,0.21,0.124,2280,2184.43,1365.27,1815.81,52500
35,2000,0.12,0.025,12.5,30,0.17,0.106,2760,2702.1,1930.07,2335.38,70000
35,2000,0.12,0.034,16,20,0.14,0.106,1890,1850.35,1321.68,1599.23,70000
35,2700,0.12,0.033,18,20,0.12,0.079,1930,1889.51,1349.65,1633.08,94500
35,3000,0.12,0.025,16,25,0.1,0.08,3030,2966.43,2118.88,2563.85,105000
35,3600,0.12,0.02,16,30,0.08,0.066,3330,3260.14,2328.67,2817.69,126000
35,3900,0.12,0.024,18,25,0.086,0.061,3200,3132.87,2237.76,2707.69,136500
35,4700,0.12,0.02,18,30,0.07,0.056,3480,3406.99,2433.57,2944.62,164500
