Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
10,820,0.01,8,11.5,-55,105,0.08,2000,1640,2000,RNU1A821MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5800,MP,Normal,0.93
10,820,0.01,8,11.5,-55,105,0.08,5000,1640,2000,RNU1A821MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5800,MP,Normal,0.93
10,820,0.01,8,11.5,-55,105,0.08,2000,1640,2000,RNU1A821MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5800,MP,Normal,0.93
10,820,0.01,8,11.5,-55,105,0.08,5000,1640,2000,RNU1A821MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5800,MP,Normal,0.93
10,1200,0.009,10,12.5,-55,105,0.08,2000,2400,1600,RNU1A122MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6200,MP,Normal,1.35
16,100,0.025,6.3,10,-55,105,0.08,2000,320,3200,RNU1C101MCS1,Uni-Polar,Radial Lead,Hi-Cap.,2820,MP,Normal,0.54
16,100,0.025,6.3,10,-55,105,0.08,5000,320,3200,RNU1C101MCSASQ,Uni-Polar,Radial Lead,Hi-Cap.,2820,MP,Normal,0.54
16,100,0.025,6.3,10,-55,105,0.08,2000,320,3200,RNU1C101MDS1,Uni-Polar,Radial Lead,Hi-Cap.,2820,MP,Normal,0.54
16,100,0.025,6.3,10,-55,105,0.08,5000,320,3200,RNU1C101MDSASQ,Uni-Polar,Radial Lead,Hi-Cap.,2820,MP,Normal,0.54
16,180,0.008,8,11.5,-55,105,0.08,2000,576,2000,RNU1C181MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
16,180,0.008,8,11.5,-55,105,0.08,2000,576,2000,RNU1C181MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5700,MP,Normal,0.93
16,270,0.008,8,11.5,-55,105,0.08,2000,864,2000,RNU1C271MCN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,0.93
16,270,0.008,8,11.5,-55,105,0.08,5000,864,2000,RNU1C271MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,0.93
16,270,0.008,8,11.5,-55,105,0.08,2000,864,2000,RNU1C271MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,0.93
16,270,0.008,8,11.5,-55,105,0.08,5000,864,2000,RNU1C271MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,0.93
16,330,0.008,8,11.5,-55,105,0.08,2000,1056,2000,RNU1C331MCN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,0.93
16,330,0.008,8,11.5,-55,105,0.08,2000,1056,2000,RNU1C331MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,0.93
16,470,0.01,10,12.5,-55,105,0.08,2000,1504,1600,RNU1C471MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
16,470,0.01,10,12.5,-55,105,0.08,5000,1504,1600,RNU1C471MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
16,680,0.01,10,12.5,-55,105,0.08,2000,2176,1600,RNU1C681MDN1,Uni-Polar,Radial Lead,Hi-Cap.,6100,MP,Normal,1.35
20,390,0.014,8,11.5,-55,105,0.12,2000,1560,2000,RNU1D391MCN1,Uni-Polar,Radial Lead,Hi-Cap.,4970,MP,Normal,0.93
20,390,0.014,8,11.5,-55,105,0.12,5000,1560,2000,RNU1D391MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4970,MP,Normal,0.93
20,390,0.014,8,11.5,-55,105,0.12,2000,1560,2000,RNU1D391MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4970,MP,Normal,0.93
20,390,0.014,8,11.5,-55,105,0.12,5000,1560,2000,RNU1D391MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4970,MP,Normal,0.93
20,470,0.012,10,12.5,-55,105,0.12,2000,1880,1600,RNU1D471MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,MP,Normal,1.35
20,560,0.012,10,12.5,-55,105,0.12,2000,2240,1600,RNU1D561MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,MP,Normal,1.35
20,680,0.012,10,12.5,-55,105,0.12,2000,2720,1600,RNU1D681MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,MP,Normal,1.35
20,820,0.012,10,12.5,-55,105,0.12,2000,3280,1600,RNU1D821MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5400,MP,Normal,1.35
25,33,0.024,8,11.5,-55,105,0.12,2000,412,2000,RNU1E330MCN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,33,0.024,8,11.5,-55,105,0.12,2000,412,2000,RNU1E330MDN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,47,0.024,8,11.5,-55,105,0.12,2000,587,2000,RNU1E470MCN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,47,0.024,8,11.5,-55,105,0.12,2000,587,2000,RNU1E470MDN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,68,0.024,8,11.5,-55,105,0.12,2000,850,2000,RNU1E680MCN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,68,0.024,8,11.5,-55,105,0.12,2000,850,2000,RNU1E680MDN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
25,180,0.016,8,11.5,-55,105,0.12,2000,900,2000,RNU1E181MCN1,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,180,0.016,8,11.5,-55,105,0.12,2000,900,2000,RNU1E181MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,220,0.016,8,11.5,-55,105,0.12,2000,1100,2000,RNU1E221MCN1,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,220,0.016,8,11.5,-55,105,0.12,5000,1100,2000,RNU1E221MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,220,0.016,8,11.5,-55,105,0.12,2000,1100,2000,RNU1E221MDN1,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,220,0.016,8,11.5,-55,105,0.12,5000,1100,2000,RNU1E221MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4650,MP,Normal,0.93
25,330,0.014,10,12.5,-55,105,0.12,2000,1650,1600,RNU1E331MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,1.35
25,330,0.014,10,12.5,-55,105,0.12,5000,1650,1600,RNU1E331MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,1.35
25,390,0.014,10,12.5,-55,105,0.12,2000,1950,1600,RNU1E391MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,1.35
25,390,0.014,10,12.5,-55,105,0.12,5000,1950,1600,RNU1E391MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,1.35
25,470,0.014,10,12.5,-55,105,0.12,2000,2350,1600,RNU1E471MDN1,Uni-Polar,Radial Lead,Hi-Cap.,5000,MP,Normal,1.35
35,47,0.024,8,11.5,-55,105,0.12,2000,329,2000,RNU1V470MCN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
35,47,0.024,8,11.5,-55,105,0.12,2000,329,2000,RNU1V470MDN1,Uni-Polar,Radial Lead,Hi-Cap.,3600,MP,Normal,0.93
35,82,0.02,8,11.5,-55,105,0.12,5000,574,2000,RNU1V820MCNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4000,MP,Normal,0.93
35,82,0.02,8,11.5,-55,105,0.12,5000,574,2000,RNU1V820MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4000,MP,Normal,0.93
35,120,0.018,10,12.5,-55,105,0.12,5000,840,1600,RNU1V121MDNASQ,Uni-Polar,Radial Lead,Hi-Cap.,4400,MP,Normal,1.35
35,150,0.02,10,12.5,-55,105,0.12,2000,1050,1600,RNU1V151MDN1,Uni-Polar,Radial Lead,Hi-Cap.,3800,MP,Normal,1.35
50,39,0.025,8,11.5,-55,105,0.12,2000,390,2000,RNU1H390MCN1,Uni-Polar,Radial Lead,Hi-Cap.,2400,MP,Normal,0.93
50,39,0.025,8,11.5,-55,105,0.12,2000,390,2000,RNU1H390MDN1,Uni-Polar,Radial Lead,Hi-Cap.,2400,MP,Normal,0.93
50,47,0.024,10,12.5,-55,105,0.12,2000,470,1600,RNU1H470MDN1,Uni-Polar,Radial Lead,Hi-Cap.,2700,MP,Normal,1.35
50,68,0.024,10,12.5,-55,105,0.12,2000,680,1600,RNU1H680MDN1,Uni-Polar,Radial Lead,Hi-Cap.,2700,MP,Normal,1.35
63,33,0.026,8,11.5,-55,105,0.12,2000,415,2000,RNU1J330MCN1,Uni-Polar,Radial Lead,Hi-Cap.,2300,MP,Normal,0.93
63,33,0.026,8,11.5,-55,105,0.12,2000,415,2000,RNU1J330MDN1,Uni-Polar,Radial Lead,Hi-Cap.,2300,MP,Normal,0.93
63,39,0.025,10,12.5,-55,105,0.12,2000,491,1600,RNU1J390MDN1,Uni-Polar,Radial Lead,Hi-Cap.,2600,MP,Normal,1.35
63,47,0.025,10,12.5,-55,105,0.12,2000,592,1600,RNU1J470MDN1,Uni-Polar,Radial Lead,Hi-Cap.,2600,MP,Normal,1.35
63,56,0.025,10,12.5,-55,105,0.12,2000,705,1600,RNU1J560MDN1,Uni-Polar,Radial Lead,Hi-Cap.,2600,MP,Normal,1.35
